Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,Variable_index,Variable_name
Ping_index,4628,4629,4630,4631,4636,4637,4638,4639,4640,4641,4647,4648,4649,4650,4655,4656,4657,4658,5984,5985,5986,5991,5992,5993,5995,5996,5997,5998,6000,6001,6002,6003,6004,6006,6007,6954,6958,6959,6960,6961,6963,6965,6967,6968,6969,6970,6971,6972,6973,6974,6975,6976,6977,6978,6979,6980,6982,6983,6985,6986,6987,6988,6989,6990,6992,6993,6995,6996,6997,6998,6999,7000,7001,7002,7003,7004,7005,7006,7008,7009,7010,7013,7014,7015,7016,7021,7022,7023,7024,7025,7031,7032,7039,7040,7041,7042,7043,7044,7045,7046,7047,7048,7049,7050,7051,7052,7053,7054,7055,7056,7057,7058,7062,7063,7064,7066,7067,7070,7071,7072,7073,7074,7077,7079,7080,7081,7085,7086,7493,7494,7495,7496,7497,7498,7503,7504,7507,7513,7514,7515,7516,7517,8080,8081,8084,8089,8090,8091,8092,8093,8094,8097,8099,8100,8103,8108,8109,8110,8111,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,22:45:41,22:45:41,22:45:41,22:45:41,22:45:42,22:45:43,22:45:43,22:45:43,22:45:43,22:45:43,22:45:45,22:45:45,22:45:45,22:45:45,22:45:46,22:45:46,22:45:47,22:45:47,22:50:12,22:50:12,22:50:13,22:50:14,22:50:14,22:50:14,22:50:14,22:50:15,22:50:15,22:50:15,22:50:15,22:50:16,22:50:16,22:50:16,22:50:16,22:50:17,22:50:17,22:53:26,22:53:27,22:53:27,22:53:28,22:53:28,22:53:28,22:53:29,22:53:29,22:53:29,22:53:29,22:53:30,22:53:30,22:53:30,22:53:30,22:53:30,22:53:31,22:53:31,22:53:31,22:53:31,22:53:31,22:53:32,22:53:32,22:53:32,22:53:33,22:53:33,22:53:33,22:53:33,22:53:33,22:53:34,22:53:34,22:53:34,22:53:35,22:53:35,22:53:35,22:53:35,22:53:35,22:53:36,22:53:36,22:53:36,22:53:36,22:53:36,22:53:37,22:53:37,22:53:37,22:53:37,22:53:38,22:53:38,22:53:38,22:53:39,22:53:39,22:53:40,22:53:40,22:53:40,22:53:40,22:53:41,22:53:42,22:53:42,22:53:43,22:53:44,22:53:44,22:53:44,22:53:44,22:53:44,22:53:45,22:53:45,22:53:45,22:53:45,22:53:45,22:53:46,22:53:46,22:53:46,22:53:46,22:53:46,22:53:47,22:53:47,22:53:47,22:53:47,22:53:48,22:53:48,22:53:48,22:53:49,22:53:49,22:53:50,22:53:50,22:53:50,22:53:50,22:53:50,22:53:51,22:53:51,22:53:52,22:53:52,22:53:53,22:53:53,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:17,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:57:12,22:57:12,22:57:12,22:57:13,22:57:14,22:57:14,22:57:14,22:57:14,22:57:14,22:57:15,22:57:15,22:57:16,22:57:16,22:57:17,22:57:17,22:57:18,22:57:18,
Ping_milliseconds,264.0,464.0,665.0,862.0,864.0,064.0,264.0,464.0,664.0,864.0,064.0,264.0,464.0,664.0,664.0,863.0,064.0,274.0,764.0,962.0,163.0,163.0,365.0,564.0,964.0,164.0,365.0,564.0,964.0,164.0,364.0,564.0,765.0,165.0,365.0,864.0,663.0,864.0,064.0,264.0,662.0,063.0,464.0,673.0,864.0,063.0,261.0,464.0,664.0,864.0,064.0,263.0,464.0,662.0,864.0,064.0,474.0,664.0,074.0,264.0,464.0,665.0,864.0,064.0,465.0,664.0,064.0,264.0,464.0,664.0,864.0,064.0,262.0,462.0,662.0,864.0,064.0,262.0,664.0,864.0,064.0,664.0,864.0,064.0,264.0,263.0,463.0,664.0,864.0,063.0,264.0,475.0,864.0,064.0,264.0,464.0,663.0,864.0,064.0,265.0,464.0,664.0,864.0,063.0,264.0,465.0,664.0,862.0,064.0,264.0,464.0,664.0,464.0,663.0,865.0,264.0,463.0,064.0,263.0,465.0,664.0,864.0,464.0,864.0,065.0,262.0,064.0,264.0,664.0,865.0,065.0,264.0,462.0,664.0,665.0,864.0,464.0,665.0,864.0,064.0,263.0,465.0,175.0,365.0,964.0,965.0,164.0,364.0,564.0,764.0,975.0,564.0,974.0,164.0,764.0,764.0,964.0,164.0,364.0,
Range,12.1152960000,12.1152960000,12.1270016000,12.1387072000,12.1387072000,12.1270016000,12.1270016000,12.1504128000,12.1504128000,12.1621184000,12.1035904000,12.0918848000,12.0216512000,12.0918848000,11.9982400000,12.0684736000,12.0567680000,12.0567680000,11.4129600000,11.4363712000,11.4597824000,11.6002496000,11.6236608000,11.6353664000,11.6704832000,11.7173056000,11.7407168000,11.7524224000,11.7875392000,11.8109504000,11.8343616000,11.8577728000,11.8928896000,11.9982400000,11.9865344000,11.7407168000,11.8226560000,11.9163008000,11.8577728000,11.9397120000,11.9514176000,12.0099456000,12.1152960000,12.0918848000,12.0333568000,12.0333568000,12.0684736000,12.1152960000,12.1504128000,12.1855296000,12.2089408000,12.1504128000,12.1504128000,12.1504128000,12.2674688000,12.2791744000,12.2440576000,12.2557632000,12.2557632000,12.3142912000,12.3142912000,12.3142912000,12.3142912000,12.2557632000,12.3259968000,12.3611136000,12.3962304000,12.3845248000,12.4547584000,12.3377024000,12.3259968000,12.3142912000,12.3025856000,12.3142912000,12.3494080000,12.3259968000,12.4196416000,12.4196416000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.1855296000,12.2791744000,12.3025856000,12.2089408000,12.2791744000,12.2791744000,12.2791744000,12.2674688000,12.2206464000,12.2206464000,12.1972352000,12.1738240000,12.1738240000,12.1738240000,12.1855296000,12.1738240000,12.2089408000,12.2089408000,12.1972352000,12.1504128000,12.1738240000,12.1035904000,12.0918848000,12.1621184000,12.1855296000,12.2323520000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.2791744000,12.3142912000,12.3142912000,12.2908800000,12.2908800000,12.3259968000,12.3377024000,12.3377024000,12.2791744000,12.3377024000,12.3025856000,12.3494080000,12.3494080000,12.3611136000,12.3728192000,12.3494080000,12.3962304000,12.4313472000,12.4430528000,12.4313472000,12.4547584000,12.4664640000,12.5132864000,12.5015808000,12.3142912000,12.4781696000,12.4547584000,12.4547584000,12.4430528000,12.4547584000,12.0099456000,11.9982400000,11.9865344000,12.0801792000,12.0801792000,12.0684736000,12.0333568000,12.0216512000,12.0216512000,12.0918848000,12.1621184000,12.1972352000,12.3611136000,12.4313472000,12.3728192000,12.3728192000,12.3845248000,
Depth,12.1026564920,12.1044106875,12.1186300162,12.1275077835,12.1299263127,12.1229615901,12.1252337089,12.1494665435,12.1487186765,12.1563713206,12.1005910495,12.0832240311,12.0164944697,12.0810639178,11.9910366759,12.0591262905,12.0432950016,12.0436868379,11.4035312068,11.4286304926,11.4494264154,11.5931003522,11.6232282398,11.6335588498,11.6691427371,11.7091586348,11.7285477566,11.7443097625,11.7808239097,11.8019672493,11.8247239301,11.8524661856,11.8859105948,11.9850543784,11.9736389797,11.7316456996,11.8123251647,11.9062676551,11.8542639250,11.9334341371,11.9462578567,12.0015727878,12.1057055406,12.0876533259,12.0307957819,12.0291751092,12.0653265156,12.1135353120,12.1470274432,12.1803084603,12.2005003449,12.1481346563,12.1495062700,12.1500142254,12.2657069881,12.2774624359,12.2405356225,12.2527646413,12.2535209125,12.3110146737,12.3107870212,12.3125683945,12.3141561607,12.2532947622,12.3191471603,12.3579096626,12.3934069835,12.3802376548,12.4499999387,12.3349319277,12.3239023834,12.3115222752,12.2977618314,12.3073558649,12.3431155458,12.3225395326,12.4157136679,12.4091486987,12.2487638919,12.2520375755,12.1762032090,12.1845912086,12.1769861588,12.2683396032,12.2935871910,12.1953559918,12.2679431373,12.2680673972,12.2688354403,12.2535545006,12.2084836876,12.2096825456,12.1848420482,12.1638434455,12.1613559984,12.1599533036,12.1724270312,12.1612847475,12.1968407333,12.1937370859,12.1832601298,12.1383083705,12.1609336622,12.0903709065,12.0788891809,12.1501151612,12.1757956091,12.2237892719,12.2478663512,12.2488946598,12.1795622446,12.1866629729,12.2663947958,12.3046965329,12.3101595519,12.2841718001,12.2754125502,12.3145298157,12.3293832028,12.3303656299,12.2703507589,12.3224400161,12.2919199355,12.3419569815,12.3394832937,12.3456673240,12.3585799038,12.3374618739,12.3802819392,12.4208739810,12.4382746546,12.4283359498,12.4481937708,12.4539597603,12.5027880520,12.4946143553,12.3027317403,12.4662407916,12.4451045776,12.4473186303,12.4332177034,12.4399821721,11.9979498452,11.9850798678,11.9718115032,12.0656844834,12.0686303396,12.0607637530,12.0270382753,12.0108053666,12.0072030965,12.0765372040,12.1535900217,12.1909987777,12.3512900071,12.4201863147,12.3674869239,12.3679233622,12.3780954573,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
45.000,-45.524632,-44.236931,-44.374309,-44.399993,-49.032102,-66.075642,-48.046192,-51.186188,-69.000529,-60.148188,-58.139561,-59.349872,-61.754394,-62.409859,-57.178837,-50.038319,-48.635205,-49.505016,-45.027593,-44.519518,-44.989659,-39.727795,-40.444260,-46.832583,-58.491262,-44.847213,-49.841994,-45.642577,-37.529819,-34.026617,-39.678001,-46.076265,-42.587691,-42.890659,-48.743189,-55.305439,-39.858667,-38.910558,-43.560145,-51.069429,-47.202289,-68.906216,-39.772360,-45.569046,-49.268579,-47.700831,-44.623586,-35.632928,-57.912100,-37.061129,-40.898134,-44.200659,-47.146771,-65.768877,-45.998037,-46.817384,-58.551902,-48.426970,-45.934048,-55.912483,-51.131119,-53.056410,-59.337069,-47.192093,-48.172789,-48.433719,-47.769770,-56.032021,-55.340291,-60.532688,-56.297810,-54.039364,-54.061361,-53.441895,-55.173592,-49.144963,-49.531424,-48.224692,-52.443276,-53.531648,-50.214869,-53.559457,-49.952955,-50.712358,-49.326365,-52.703841,-54.249279,-58.724933,-55.440813,-50.571598,-55.705843,-51.404846,-52.833359,-74.638985,-56.436352,-57.178698,-47.439717,-52.144907,-47.980084,-53.847716,-50.556620,-49.090687,-52.919164,-54.906723,-56.395739,-47.314447,-47.187584,-47.392134,-54.747438,-52.731813,-51.143496,-50.207627,-45.622934,-47.564157,-55.042898,-55.713192,-49.755234,-51.881529,-48.616894,-51.486539,-47.402982,-51.193671,-51.981481,-58.628091,-65.063014,-47.454078,-51.515410,-53.174624,-51.363228,-54.891833,-51.958020,-51.171924,-51.686855,-52.899655,-56.648200,-58.750436,-58.059182,-57.651712,-57.656054,-52.623929,-54.038210,-49.490889,-49.183039,-49.529050,-47.721573,-48.905813,-49.936079,-50.536926,-56.863312,-59.639008,-52.143324,-52.339191,-51.020896,-54.963725,-46.492380,-49.537791,-47.824553,-48.585272,-49.760330,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-45.456620,-44.190122,-44.140080,-44.490448,-48.721037,-62.139176,-48.047100,-49.795040,-67.738100,-65.496377,-56.715524,-62.899091,-63.710708,-62.778105,-56.769380,-50.298260,-49.463447,-50.029616,-44.565243,-44.499751,-45.101509,-39.272690,-39.385832,-46.328285,-57.657509,-44.091054,-48.552478,-45.320863,-37.524972,-33.731263,-39.405844,-44.957575,-42.154330,-42.228237,-49.589532,-57.956931,-39.146926,-38.011797,-42.654187,-49.399994,-46.049400,-61.979585,-39.513905,-45.408691,-48.142872,-47.947215,-44.353826,-35.084849,-62.739708,-37.058791,-40.642985,-44.129707,-46.738349,-68.535957,-45.998444,-44.519275,-58.122936,-47.766417,-46.205629,-56.437633,-50.087031,-51.448012,-56.962746,-48.182739,-46.860306,-48.139579,-47.095629,-58.672497,-55.648973,-56.503498,-58.211261,-57.644610,-52.999219,-51.991716,-51.697314,-50.482621,-47.875310,-47.842843,-53.011453,-54.901528,-49.659516,-52.870278,-48.803235,-49.227266,-48.491417,-52.943507,-53.884338,-56.302527,-56.993725,-50.178381,-55.806081,-51.798583,-55.285142,-61.111652,-54.103681,-53.845365,-47.272721,-50.811004,-47.389271,-53.937911,-50.533102,-48.762129,-53.649067,-53.797400,-54.818907,-48.424987,-46.455050,-48.269869,-55.784310,-53.630228,-51.078546,-51.125482,-46.989204,-47.046352,-57.659169,-54.814469,-49.154093,-51.064093,-47.593996,-50.472485,-47.737935,-49.503837,-51.297998,-53.180742,-66.458123,-46.932984,-50.855556,-51.549494,-51.213006,-54.961388,-52.293159,-50.505536,-51.936053,-54.007673,-56.674012,-59.363165,-57.970754,-56.125141,-56.964885,-51.444811,-54.799632,-48.616749,-50.602290,-47.618882,-47.771590,-48.698255,-49.526089,-50.523825,-59.887165,-60.004785,-50.415259,-52.980644,-49.729890,-52.626895,-44.873805,-48.058948,-47.539546,-48.901948,-50.233454,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-45.831526,-44.452601,-44.008528,-45.011889,-48.215558,-57.673550,-48.505016,-48.707504,-70.290735,-66.570672,-56.673326,-67.964566,-65.319513,-61.102866,-57.446766,-50.155003,-50.830150,-51.624054,-44.130797,-44.652855,-45.418884,-38.838135,-38.411132,-45.874183,-57.199752,-43.247711,-47.516755,-45.143901,-37.654523,-33.580164,-39.143859,-43.742565,-41.710593,-41.730074,-50.430815,-62.861457,-38.497958,-37.274795,-41.921142,-48.062982,-45.269411,-57.786054,-39.803446,-45.263913,-47.372762,-48.909992,-44.166123,-34.577379,-60.818415,-37.280754,-40.204828,-44.025910,-46.883993,-83.933109,-45.825953,-42.598909,-57.830981,-47.118337,-46.371419,-57.355383,-49.234047,-49.980338,-55.093013,-49.374308,-46.422894,-47.986260,-46.615918,-61.598998,-53.660116,-53.362441,-56.193403,-58.341434,-51.829701,-50.391110,-48.922536,-51.722801,-47.799446,-48.076897,-53.912235,-55.433440,-48.995656,-52.683211,-48.156873,-48.328756,-48.006228,-53.325198,-52.191039,-53.889261,-57.337760,-49.216722,-55.288814,-52.283070,-56.519430,-55.556995,-52.723168,-51.833010,-47.497348,-49.695184,-47.266529,-54.246255,-51.085863,-48.124257,-53.440919,-52.598604,-53.662373,-49.445427,-46.121135,-49.380085,-55.835379,-53.975658,-50.907307,-52.106560,-48.571603,-47.186438,-62.450782,-55.269920,-49.732389,-50.254899,-48.054278,-49.498201,-48.200227,-48.867945,-51.053900,-50.767455,-58.532458,-46.970838,-50.544320,-50.240563,-51.711540,-55.313191,-52.915493,-49.937118,-52.353505,-55.661362,-56.492751,-59.230563,-57.766604,-54.793101,-56.738957,-50.324297,-55.036716,-48.238984,-51.057859,-45.859521,-48.090378,-48.353693,-49.242644,-50.537377,-64.618619,-60.747651,-49.067557,-52.996845,-48.928043,-50.958697,-43.647658,-47.072056,-47.727440,-49.557468,-50.690171,0,Fileset 1: TS pulse compressed wideband pings T1
