Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
2,"Region 2","070kHz_FishTracks",342,0.020224,4628,4658,0.000000,20220728, 22:45:44.2640,999.00000000,999.00000000,0.00001151005629,18,-47.851570,12.102290,0.5671,-0.058528,6.010000,3.4084,0.020224,13.000000,12.094689,12.156371,11.991037,-0.058970,0.819496,0.983375,0.877080,0.839720,1.003599,0.897304
3,"Region 3","070kHz_FishTracks",342,0.020224,5984,6007,0.000000,20220728, 22:50:14.9640,999.00000000,999.00000000,0.00041801502415,17,-35.330400,11.718683,0.5734,0.573574,4.601000,2.6381,0.020224,13.000000,11.711013,11.985054,11.403531,0.570108,0.983375,1.568655,1.285526,1.003599,1.588879,1.305749
4,"Region 4","070kHz_FishTracks",342,0.020224,6954,7032,0.000000,20220728, 22:53:34.6640,999.00000000,999.00000000,0.00008788793228,57,-42.998359,12.209762,0.5779,0.479930,15.611000,9.0208,0.020224,13.000000,12.203937,12.450000,11.731646,0.478037,0.526856,1.240898,0.786158,0.547080,1.261122,0.806381
5,"Region 5","070kHz_FishTracks",342,0.020224,7039,7086,0.000000,20220728, 22:53:48.4640,999.00000000,999.00000000,0.00000423814527,36,-49.203676,12.246659,0.4333,0.152173,9.400000,4.0733,0.020224,13.000000,12.235603,12.358580,12.078889,0.152620,0.608796,0.889730,0.719511,0.629019,0.909954,0.739735
6,"Region 6","070kHz_FishTracks",342,0.020224,7493,7517,0.000000,20220728, 22:55:17.0630,999.00000000,999.00000000,0.00000517235002,14,-51.169018,12.445561,0.5299,0.058528,4.801000,2.5442,0.020224,13.000000,12.435851,12.502788,12.302732,0.059700,0.468328,0.667324,0.541840,0.488552,0.687547,0.562063
7,"Region 7","070kHz_FishTracks",342,0.020224,8080,8111,0.000000,20220728, 22:57:15.1640,999.00000000,999.00000000,0.00001769919326,17,-47.637887,12.157298,0.3741,0.374579,6.189000,2.3156,0.020224,13.000000,12.147122,12.420186,11.971812,0.380146,0.550268,0.995080,0.819862,0.570491,1.015304,0.840086
