Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,Variable_index,Variable_name
Ping_index,4628,4629,4630,4631,4636,4637,4638,4639,4640,4641,4647,4648,4649,4650,4655,4656,4657,4658,5984,5985,5986,5991,5992,5993,5995,5996,5997,5998,6000,6001,6002,6003,6004,6006,6007,6954,6958,6959,6960,6961,6963,6965,6967,6968,6969,6970,6971,6972,6973,6974,6975,6976,6977,6978,6979,6980,6982,6983,6985,6986,6987,6988,6989,6990,6992,6993,6995,6996,6997,6998,6999,7000,7001,7002,7003,7004,7005,7006,7008,7009,7010,7013,7014,7015,7016,7021,7022,7023,7024,7025,7031,7032,7039,7040,7041,7042,7043,7044,7045,7046,7047,7048,7049,7050,7051,7052,7053,7054,7055,7056,7057,7058,7062,7063,7064,7066,7067,7070,7071,7072,7073,7074,7077,7079,7080,7081,7085,7086,7493,7494,7495,7496,7497,7498,7503,7504,7507,7513,7514,7515,7516,7517,8080,8081,8084,8089,8090,8091,8092,8093,8094,8097,8099,8100,8103,8108,8109,8110,8111,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,22:45:41,22:45:41,22:45:41,22:45:41,22:45:42,22:45:43,22:45:43,22:45:43,22:45:43,22:45:43,22:45:45,22:45:45,22:45:45,22:45:45,22:45:46,22:45:46,22:45:47,22:45:47,22:50:12,22:50:12,22:50:13,22:50:14,22:50:14,22:50:14,22:50:14,22:50:15,22:50:15,22:50:15,22:50:15,22:50:16,22:50:16,22:50:16,22:50:16,22:50:17,22:50:17,22:53:26,22:53:27,22:53:27,22:53:28,22:53:28,22:53:28,22:53:29,22:53:29,22:53:29,22:53:29,22:53:30,22:53:30,22:53:30,22:53:30,22:53:30,22:53:31,22:53:31,22:53:31,22:53:31,22:53:31,22:53:32,22:53:32,22:53:32,22:53:33,22:53:33,22:53:33,22:53:33,22:53:33,22:53:34,22:53:34,22:53:34,22:53:35,22:53:35,22:53:35,22:53:35,22:53:35,22:53:36,22:53:36,22:53:36,22:53:36,22:53:36,22:53:37,22:53:37,22:53:37,22:53:37,22:53:38,22:53:38,22:53:38,22:53:39,22:53:39,22:53:40,22:53:40,22:53:40,22:53:40,22:53:41,22:53:42,22:53:42,22:53:43,22:53:44,22:53:44,22:53:44,22:53:44,22:53:44,22:53:45,22:53:45,22:53:45,22:53:45,22:53:45,22:53:46,22:53:46,22:53:46,22:53:46,22:53:46,22:53:47,22:53:47,22:53:47,22:53:47,22:53:48,22:53:48,22:53:48,22:53:49,22:53:49,22:53:50,22:53:50,22:53:50,22:53:50,22:53:50,22:53:51,22:53:51,22:53:52,22:53:52,22:53:53,22:53:53,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:17,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:57:12,22:57:12,22:57:12,22:57:13,22:57:14,22:57:14,22:57:14,22:57:14,22:57:14,22:57:15,22:57:15,22:57:16,22:57:16,22:57:17,22:57:17,22:57:18,22:57:18,
Ping_milliseconds,264.0,464.0,665.0,862.0,864.0,064.0,264.0,464.0,664.0,864.0,064.0,264.0,464.0,664.0,664.0,863.0,064.0,274.0,764.0,962.0,163.0,163.0,365.0,564.0,964.0,164.0,365.0,564.0,964.0,164.0,364.0,564.0,765.0,165.0,365.0,864.0,663.0,864.0,064.0,264.0,662.0,063.0,464.0,673.0,864.0,063.0,261.0,464.0,664.0,864.0,064.0,263.0,464.0,662.0,864.0,064.0,474.0,664.0,074.0,264.0,464.0,665.0,864.0,064.0,465.0,664.0,064.0,264.0,464.0,664.0,864.0,064.0,262.0,462.0,662.0,864.0,064.0,262.0,664.0,864.0,064.0,664.0,864.0,064.0,264.0,263.0,463.0,664.0,864.0,063.0,264.0,475.0,864.0,064.0,264.0,464.0,663.0,864.0,064.0,265.0,464.0,664.0,864.0,063.0,264.0,465.0,664.0,862.0,064.0,264.0,464.0,664.0,464.0,663.0,865.0,264.0,463.0,064.0,263.0,465.0,664.0,864.0,464.0,864.0,065.0,262.0,064.0,264.0,664.0,865.0,065.0,264.0,462.0,664.0,665.0,864.0,464.0,665.0,864.0,064.0,263.0,465.0,175.0,365.0,964.0,965.0,164.0,364.0,564.0,764.0,975.0,564.0,974.0,164.0,764.0,764.0,964.0,164.0,364.0,
Range,12.1152960000,12.1152960000,12.1270016000,12.1387072000,12.1387072000,12.1270016000,12.1270016000,12.1504128000,12.1504128000,12.1621184000,12.1035904000,12.0918848000,12.0216512000,12.0918848000,11.9982400000,12.0684736000,12.0567680000,12.0567680000,11.4129600000,11.4363712000,11.4597824000,11.6002496000,11.6236608000,11.6353664000,11.6704832000,11.7173056000,11.7407168000,11.7524224000,11.7875392000,11.8109504000,11.8343616000,11.8577728000,11.8928896000,11.9982400000,11.9865344000,11.7407168000,11.8226560000,11.9163008000,11.8577728000,11.9397120000,11.9514176000,12.0099456000,12.1152960000,12.0918848000,12.0333568000,12.0333568000,12.0684736000,12.1152960000,12.1504128000,12.1855296000,12.2089408000,12.1504128000,12.1504128000,12.1504128000,12.2674688000,12.2791744000,12.2440576000,12.2557632000,12.2557632000,12.3142912000,12.3142912000,12.3142912000,12.3142912000,12.2557632000,12.3259968000,12.3611136000,12.3962304000,12.3845248000,12.4547584000,12.3377024000,12.3259968000,12.3142912000,12.3025856000,12.3142912000,12.3494080000,12.3259968000,12.4196416000,12.4196416000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.1855296000,12.2791744000,12.3025856000,12.2089408000,12.2791744000,12.2791744000,12.2791744000,12.2674688000,12.2206464000,12.2206464000,12.1972352000,12.1738240000,12.1738240000,12.1738240000,12.1855296000,12.1738240000,12.2089408000,12.2089408000,12.1972352000,12.1504128000,12.1738240000,12.1035904000,12.0918848000,12.1621184000,12.1855296000,12.2323520000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.2791744000,12.3142912000,12.3142912000,12.2908800000,12.2908800000,12.3259968000,12.3377024000,12.3377024000,12.2791744000,12.3377024000,12.3025856000,12.3494080000,12.3494080000,12.3611136000,12.3728192000,12.3494080000,12.3962304000,12.4313472000,12.4430528000,12.4313472000,12.4547584000,12.4664640000,12.5132864000,12.5015808000,12.3142912000,12.4781696000,12.4547584000,12.4547584000,12.4430528000,12.4547584000,12.0099456000,11.9982400000,11.9865344000,12.0801792000,12.0801792000,12.0684736000,12.0333568000,12.0216512000,12.0216512000,12.0918848000,12.1621184000,12.1972352000,12.3611136000,12.4313472000,12.3728192000,12.3728192000,12.3845248000,
Depth,12.1026564920,12.1044106875,12.1186300162,12.1275077835,12.1299263127,12.1229615901,12.1252337089,12.1494665435,12.1487186765,12.1563713206,12.1005910495,12.0832240311,12.0164944697,12.0810639178,11.9910366759,12.0591262905,12.0432950016,12.0436868379,11.4035312068,11.4286304926,11.4494264154,11.5931003522,11.6232282398,11.6335588498,11.6691427371,11.7091586348,11.7285477566,11.7443097625,11.7808239097,11.8019672493,11.8247239301,11.8524661856,11.8859105948,11.9850543784,11.9736389797,11.7316456996,11.8123251647,11.9062676551,11.8542639250,11.9334341371,11.9462578567,12.0015727878,12.1057055406,12.0876533259,12.0307957819,12.0291751092,12.0653265156,12.1135353120,12.1470274432,12.1803084603,12.2005003449,12.1481346563,12.1495062700,12.1500142254,12.2657069881,12.2774624359,12.2405356225,12.2527646413,12.2535209125,12.3110146737,12.3107870212,12.3125683945,12.3141561607,12.2532947622,12.3191471603,12.3579096626,12.3934069835,12.3802376548,12.4499999387,12.3349319277,12.3239023834,12.3115222752,12.2977618314,12.3073558649,12.3431155458,12.3225395326,12.4157136679,12.4091486987,12.2487638919,12.2520375755,12.1762032090,12.1845912086,12.1769861588,12.2683396032,12.2935871910,12.1953559918,12.2679431373,12.2680673972,12.2688354403,12.2535545006,12.2084836876,12.2096825456,12.1848420482,12.1638434455,12.1613559984,12.1599533036,12.1724270312,12.1612847475,12.1968407333,12.1937370859,12.1832601298,12.1383083705,12.1609336622,12.0903709065,12.0788891809,12.1501151612,12.1757956091,12.2237892719,12.2478663512,12.2488946598,12.1795622446,12.1866629729,12.2663947958,12.3046965329,12.3101595519,12.2841718001,12.2754125502,12.3145298157,12.3293832028,12.3303656299,12.2703507589,12.3224400161,12.2919199355,12.3419569815,12.3394832937,12.3456673240,12.3585799038,12.3374618739,12.3802819392,12.4208739810,12.4382746546,12.4283359498,12.4481937708,12.4539597603,12.5027880520,12.4946143553,12.3027317403,12.4662407916,12.4451045776,12.4473186303,12.4332177034,12.4399821721,11.9979498452,11.9850798678,11.9718115032,12.0656844834,12.0686303396,12.0607637530,12.0270382753,12.0108053666,12.0072030965,12.0765372040,12.1535900217,12.1909987777,12.3512900071,12.4201863147,12.3674869239,12.3679233622,12.3780954573,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
171.000,-41.092841,-41.869775,-50.778401,-46.714339,-48.580611,-52.501374,-54.284134,-49.223933,-53.765513,-52.454762,-60.835472,-55.602599,-52.551495,-54.640922,-59.127244,-60.800734,-65.623967,-62.180454,-52.476543,-50.773242,-55.932082,-41.676113,-47.042017,-45.761712,-47.026363,-55.641299,-51.260937,-43.905918,-44.830607,-36.530752,-41.081701,-45.789789,-46.206129,-52.168637,-50.393679,-52.784676,-64.340690,-49.285405,-52.215469,-50.607423,-51.184516,-50.161351,-38.598213,-39.652237,-46.049379,-37.036885,-52.374618,-43.203806,-37.814775,-43.506841,-45.401842,-44.268421,-44.356222,-45.604070,-31.397568,-54.396704,-46.815911,-44.278012,-48.371141,-46.321222,-48.116265,-54.065416,-48.622520,-60.104866,-50.324243,-67.130836,-49.250456,-58.113414,-45.814089,-61.045841,-70.011020,-58.468862,-57.772725,-57.441847,-70.100088,-53.856456,-45.002032,-74.070605,-61.842236,-51.389940,-51.747783,-64.826810,-54.917372,-51.860220,-51.044103,-57.103565,-68.904609,-64.560604,-57.240461,-53.254384,-64.119818,-60.413033,-63.935819,-54.393663,-68.440628,-59.145866,-53.674482,-56.132244,-66.930625,-70.443153,-54.851050,-53.419456,-56.787879,-67.110652,-58.517495,-58.714993,-54.199342,-58.082889,-48.821915,-49.434066,-52.009355,-56.147856,-48.607929,-70.025934,-55.369362,-51.996939,-62.254820,-58.845244,-55.614322,-57.150987,-59.302765,-52.741960,-62.242615,-66.059650,-68.723493,-64.444313,-60.533926,-57.204924,-46.301020,-58.456140,-48.224478,-53.807772,-50.475245,-58.945219,-56.211300,-50.173369,-51.436318,-53.142501,-54.010916,-50.180990,-60.350269,-51.656421,-52.660038,-59.154623,-51.458899,-56.291940,-59.703768,-64.205996,-50.650121,-55.693058,-55.366569,-54.363086,-55.898920,-69.417483,-47.865765,-52.474071,-57.281388,-50.583410,-45.180399,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-40.752272,-43.456176,-50.990814,-44.835188,-48.627055,-50.927274,-54.609593,-48.946488,-56.846130,-56.974541,-59.256583,-55.261666,-57.534272,-57.031290,-61.602262,-64.952170,-57.221166,-58.299693,-52.197258,-50.375881,-59.815011,-40.869124,-48.579512,-47.276484,-46.331384,-54.126163,-52.028905,-43.731535,-45.600522,-35.218537,-43.101592,-47.482527,-46.590109,-50.788422,-50.330815,-55.792067,-63.819852,-47.162208,-53.171493,-51.504154,-49.492326,-49.378819,-37.120231,-39.984885,-47.114260,-37.790683,-53.501685,-44.667543,-39.542506,-47.016657,-46.587337,-45.381496,-40.844664,-43.759230,-31.251879,-55.948987,-47.382522,-44.145245,-48.680771,-45.535154,-47.739276,-58.924271,-50.088406,-66.329261,-49.277811,-57.592111,-46.031573,-60.620458,-45.266814,-59.229680,-63.648587,-57.048293,-52.843209,-59.203269,-56.540441,-53.787624,-45.174326,-69.067766,-60.580438,-50.869382,-53.903639,-67.355385,-57.412162,-53.348414,-49.593979,-58.927439,-76.616414,-64.876268,-57.827720,-50.887885,-62.501180,-59.238832,-61.022279,-53.697729,-71.866645,-63.901096,-53.630577,-54.840919,-72.408582,-66.724412,-59.326255,-52.419809,-56.393417,-65.334998,-56.326830,-57.557481,-56.488486,-58.902777,-48.470209,-48.838045,-50.624958,-55.831935,-50.083675,-57.503044,-53.767890,-52.739732,-63.762648,-56.787346,-54.680615,-58.679859,-63.454046,-54.237729,-58.132242,-68.954896,-70.689385,-62.682371,-62.062389,-55.181931,-47.532246,-61.849062,-48.958961,-52.230940,-53.951670,-60.724738,-56.427347,-49.766510,-51.922141,-52.828755,-55.669070,-48.574875,-53.328777,-48.799023,-53.156918,-54.785054,-51.926863,-55.911303,-58.573549,-58.954297,-50.198580,-56.860745,-58.029328,-55.592508,-55.575113,-63.797092,-48.866453,-56.766062,-57.798676,-48.103866,-45.991983,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-40.754210,-46.318549,-49.467790,-44.098843,-50.025002,-54.580082,-55.936516,-48.787376,-56.878309,-77.531717,-57.380379,-55.174475,-65.385013,-61.280778,-58.908364,-54.530849,-55.195210,-58.888068,-50.331002,-49.693732,-68.698493,-41.007809,-50.537863,-48.222846,-44.997389,-52.103530,-54.428955,-42.931991,-47.329444,-33.733089,-47.992145,-49.720573,-46.417615,-49.761051,-50.327223,-58.955249,-60.661520,-45.817797,-53.504529,-52.256848,-48.890094,-49.239738,-36.081429,-40.345452,-47.736234,-39.299155,-57.210070,-45.577482,-40.752781,-51.229898,-47.162070,-45.774055,-38.964229,-42.827123,-31.438116,-56.673237,-48.554341,-44.409003,-49.305168,-45.043467,-47.785370,-69.104114,-51.894623,-58.477067,-49.693286,-54.678258,-44.699111,-65.536055,-50.104436,-56.757050,-55.009813,-56.126313,-50.064965,-61.656200,-53.071337,-54.189968,-45.049837,-61.397209,-58.495725,-51.122791,-57.618901,-60.869278,-62.730101,-56.465522,-48.777768,-61.048368,-70.062156,-66.482068,-56.517196,-50.081826,-62.920190,-60.034465,-60.047965,-52.874267,-78.763654,-68.492228,-54.898397,-54.045603,-67.691944,-61.176110,-67.380625,-52.015565,-56.698114,-64.041458,-55.510531,-58.290147,-58.549120,-58.233966,-48.050778,-48.778260,-48.774589,-54.538712,-51.602865,-53.569094,-51.595716,-55.304581,-57.594640,-54.612892,-54.117750,-59.993411,-58.873701,-56.756561,-56.990893,-70.524719,-62.969031,-64.700023,-65.678616,-52.978204,-49.507907,-63.201433,-49.995204,-50.979304,-57.343194,-60.924550,-56.364487,-49.503521,-53.480694,-53.537274,-55.821947,-48.600599,-48.259628,-49.024200,-54.660250,-51.386744,-52.232614,-57.085984,-57.633264,-55.072503,-50.325554,-58.553909,-60.943366,-54.540915,-56.891231,-61.251232,-54.002423,-57.369491,-56.963518,-46.239521,-48.483960,0,Fileset 1: TS pulse compressed wideband pings T2
