Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,Variable_index,Variable_name
Ping_index,4628,4629,4630,4631,4636,4637,4638,4639,4640,4641,4647,4648,4649,4650,4655,4656,4657,4658,5984,5985,5986,5991,5992,5993,5995,5996,5997,5998,6000,6001,6002,6003,6004,6006,6007,6954,6958,6959,6960,6961,6963,6965,6967,6968,6969,6970,6971,6972,6973,6974,6975,6976,6977,6978,6979,6980,6982,6983,6985,6986,6987,6988,6989,6990,6992,6993,6995,6996,6997,6998,6999,7000,7001,7002,7003,7004,7005,7006,7008,7009,7010,7013,7014,7015,7016,7021,7022,7023,7024,7025,7031,7032,7039,7040,7041,7042,7043,7044,7045,7046,7047,7048,7049,7050,7051,7052,7053,7054,7055,7056,7057,7058,7062,7063,7064,7066,7067,7070,7071,7072,7073,7074,7077,7079,7080,7081,7085,7086,7493,7494,7495,7496,7497,7498,7503,7504,7507,7513,7514,7515,7516,7517,8080,8081,8084,8089,8090,8091,8092,8093,8094,8097,8099,8100,8103,8108,8109,8110,8111,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,22:45:41,22:45:41,22:45:41,22:45:41,22:45:42,22:45:43,22:45:43,22:45:43,22:45:43,22:45:43,22:45:45,22:45:45,22:45:45,22:45:45,22:45:46,22:45:46,22:45:47,22:45:47,22:50:12,22:50:12,22:50:13,22:50:14,22:50:14,22:50:14,22:50:14,22:50:15,22:50:15,22:50:15,22:50:15,22:50:16,22:50:16,22:50:16,22:50:16,22:50:17,22:50:17,22:53:26,22:53:27,22:53:27,22:53:28,22:53:28,22:53:28,22:53:29,22:53:29,22:53:29,22:53:29,22:53:30,22:53:30,22:53:30,22:53:30,22:53:30,22:53:31,22:53:31,22:53:31,22:53:31,22:53:31,22:53:32,22:53:32,22:53:32,22:53:33,22:53:33,22:53:33,22:53:33,22:53:33,22:53:34,22:53:34,22:53:34,22:53:35,22:53:35,22:53:35,22:53:35,22:53:35,22:53:36,22:53:36,22:53:36,22:53:36,22:53:36,22:53:37,22:53:37,22:53:37,22:53:37,22:53:38,22:53:38,22:53:38,22:53:39,22:53:39,22:53:40,22:53:40,22:53:40,22:53:40,22:53:41,22:53:42,22:53:42,22:53:43,22:53:44,22:53:44,22:53:44,22:53:44,22:53:44,22:53:45,22:53:45,22:53:45,22:53:45,22:53:45,22:53:46,22:53:46,22:53:46,22:53:46,22:53:46,22:53:47,22:53:47,22:53:47,22:53:47,22:53:48,22:53:48,22:53:48,22:53:49,22:53:49,22:53:50,22:53:50,22:53:50,22:53:50,22:53:50,22:53:51,22:53:51,22:53:52,22:53:52,22:53:53,22:53:53,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:17,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:57:12,22:57:12,22:57:12,22:57:13,22:57:14,22:57:14,22:57:14,22:57:14,22:57:14,22:57:15,22:57:15,22:57:16,22:57:16,22:57:17,22:57:17,22:57:18,22:57:18,
Ping_milliseconds,264.0,464.0,665.0,862.0,864.0,064.0,264.0,464.0,664.0,864.0,064.0,264.0,464.0,664.0,664.0,863.0,064.0,274.0,764.0,962.0,163.0,163.0,365.0,564.0,964.0,164.0,365.0,564.0,964.0,164.0,364.0,564.0,765.0,165.0,365.0,864.0,663.0,864.0,064.0,264.0,662.0,063.0,464.0,673.0,864.0,063.0,261.0,464.0,664.0,864.0,064.0,263.0,464.0,662.0,864.0,064.0,474.0,664.0,074.0,264.0,464.0,665.0,864.0,064.0,465.0,664.0,064.0,264.0,464.0,664.0,864.0,064.0,262.0,462.0,662.0,864.0,064.0,262.0,664.0,864.0,064.0,664.0,864.0,064.0,264.0,263.0,463.0,664.0,864.0,063.0,264.0,475.0,864.0,064.0,264.0,464.0,663.0,864.0,064.0,265.0,464.0,664.0,864.0,063.0,264.0,465.0,664.0,862.0,064.0,264.0,464.0,664.0,464.0,663.0,865.0,264.0,463.0,064.0,263.0,465.0,664.0,864.0,464.0,864.0,065.0,262.0,064.0,264.0,664.0,865.0,065.0,264.0,462.0,664.0,665.0,864.0,464.0,665.0,864.0,064.0,263.0,465.0,175.0,365.0,964.0,965.0,164.0,364.0,564.0,764.0,975.0,564.0,974.0,164.0,764.0,764.0,964.0,164.0,364.0,
Range,12.1152960000,12.1152960000,12.1270016000,12.1387072000,12.1387072000,12.1270016000,12.1270016000,12.1504128000,12.1504128000,12.1621184000,12.1035904000,12.0918848000,12.0216512000,12.0918848000,11.9982400000,12.0684736000,12.0567680000,12.0567680000,11.4129600000,11.4363712000,11.4597824000,11.6002496000,11.6236608000,11.6353664000,11.6704832000,11.7173056000,11.7407168000,11.7524224000,11.7875392000,11.8109504000,11.8343616000,11.8577728000,11.8928896000,11.9982400000,11.9865344000,11.7407168000,11.8226560000,11.9163008000,11.8577728000,11.9397120000,11.9514176000,12.0099456000,12.1152960000,12.0918848000,12.0333568000,12.0333568000,12.0684736000,12.1152960000,12.1504128000,12.1855296000,12.2089408000,12.1504128000,12.1504128000,12.1504128000,12.2674688000,12.2791744000,12.2440576000,12.2557632000,12.2557632000,12.3142912000,12.3142912000,12.3142912000,12.3142912000,12.2557632000,12.3259968000,12.3611136000,12.3962304000,12.3845248000,12.4547584000,12.3377024000,12.3259968000,12.3142912000,12.3025856000,12.3142912000,12.3494080000,12.3259968000,12.4196416000,12.4196416000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.1855296000,12.2791744000,12.3025856000,12.2089408000,12.2791744000,12.2791744000,12.2791744000,12.2674688000,12.2206464000,12.2206464000,12.1972352000,12.1738240000,12.1738240000,12.1738240000,12.1855296000,12.1738240000,12.2089408000,12.2089408000,12.1972352000,12.1504128000,12.1738240000,12.1035904000,12.0918848000,12.1621184000,12.1855296000,12.2323520000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.2791744000,12.3142912000,12.3142912000,12.2908800000,12.2908800000,12.3259968000,12.3377024000,12.3377024000,12.2791744000,12.3377024000,12.3025856000,12.3494080000,12.3494080000,12.3611136000,12.3728192000,12.3494080000,12.3962304000,12.4313472000,12.4430528000,12.4313472000,12.4547584000,12.4664640000,12.5132864000,12.5015808000,12.3142912000,12.4781696000,12.4547584000,12.4547584000,12.4430528000,12.4547584000,12.0099456000,11.9982400000,11.9865344000,12.0801792000,12.0801792000,12.0684736000,12.0333568000,12.0216512000,12.0216512000,12.0918848000,12.1621184000,12.1972352000,12.3611136000,12.4313472000,12.3728192000,12.3728192000,12.3845248000,
Depth,12.1026564920,12.1044106875,12.1186300162,12.1275077835,12.1299263127,12.1229615901,12.1252337089,12.1494665435,12.1487186765,12.1563713206,12.1005910495,12.0832240311,12.0164944697,12.0810639178,11.9910366759,12.0591262905,12.0432950016,12.0436868379,11.4035312068,11.4286304926,11.4494264154,11.5931003522,11.6232282398,11.6335588498,11.6691427371,11.7091586348,11.7285477566,11.7443097625,11.7808239097,11.8019672493,11.8247239301,11.8524661856,11.8859105948,11.9850543784,11.9736389797,11.7316456996,11.8123251647,11.9062676551,11.8542639250,11.9334341371,11.9462578567,12.0015727878,12.1057055406,12.0876533259,12.0307957819,12.0291751092,12.0653265156,12.1135353120,12.1470274432,12.1803084603,12.2005003449,12.1481346563,12.1495062700,12.1500142254,12.2657069881,12.2774624359,12.2405356225,12.2527646413,12.2535209125,12.3110146737,12.3107870212,12.3125683945,12.3141561607,12.2532947622,12.3191471603,12.3579096626,12.3934069835,12.3802376548,12.4499999387,12.3349319277,12.3239023834,12.3115222752,12.2977618314,12.3073558649,12.3431155458,12.3225395326,12.4157136679,12.4091486987,12.2487638919,12.2520375755,12.1762032090,12.1845912086,12.1769861588,12.2683396032,12.2935871910,12.1953559918,12.2679431373,12.2680673972,12.2688354403,12.2535545006,12.2084836876,12.2096825456,12.1848420482,12.1638434455,12.1613559984,12.1599533036,12.1724270312,12.1612847475,12.1968407333,12.1937370859,12.1832601298,12.1383083705,12.1609336622,12.0903709065,12.0788891809,12.1501151612,12.1757956091,12.2237892719,12.2478663512,12.2488946598,12.1795622446,12.1866629729,12.2663947958,12.3046965329,12.3101595519,12.2841718001,12.2754125502,12.3145298157,12.3293832028,12.3303656299,12.2703507589,12.3224400161,12.2919199355,12.3419569815,12.3394832937,12.3456673240,12.3585799038,12.3374618739,12.3802819392,12.4208739810,12.4382746546,12.4283359498,12.4481937708,12.4539597603,12.5027880520,12.4946143553,12.3027317403,12.4662407916,12.4451045776,12.4473186303,12.4332177034,12.4399821721,11.9979498452,11.9850798678,11.9718115032,12.0656844834,12.0686303396,12.0607637530,12.0270382753,12.0108053666,12.0072030965,12.0765372040,12.1535900217,12.1909987777,12.3512900071,12.4201863147,12.3674869239,12.3679233622,12.3780954573,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
171.000,-36.937143,-38.178887,-48.176381,-43.420988,-45.986204,-51.273282,-53.701788,-48.841203,-53.111803,-50.448819,-59.745281,-52.841915,-50.716943,-50.187445,-55.936712,-57.173173,-60.594370,-56.484104,-49.380883,-48.217139,-52.606583,-39.397512,-46.842906,-45.158000,-46.571492,-53.133069,-47.529225,-41.349666,-42.362738,-32.892424,-37.052292,-43.569154,-43.351869,-46.453074,-45.049350,-49.388374,-60.760200,-45.638645,-50.937875,-48.307966,-49.452825,-46.777735,-34.483581,-38.026666,-45.286697,-35.751107,-51.384270,-42.587774,-36.382845,-41.289750,-41.772348,-43.363594,-44.052372,-45.486927,-30.722627,-53.754478,-45.789816,-43.404552,-47.595955,-44.930558,-46.625208,-53.356123,-48.565615,-59.347880,-48.312470,-66.177967,-48.036209,-56.268157,-43.836112,-59.844508,-69.183964,-57.616428,-56.371879,-55.383485,-68.231719,-52.855160,-43.506696,-69.611083,-58.811275,-50.109687,-49.013082,-61.039525,-51.805236,-47.323567,-47.206316,-52.852764,-65.060754,-60.374602,-53.280096,-48.318435,-59.741347,-56.593842,-59.855164,-51.273896,-64.587273,-54.915592,-49.708286,-52.323340,-63.064656,-65.440381,-50.259439,-49.583483,-52.920547,-63.214975,-54.629075,-55.169548,-51.342587,-55.398584,-46.091745,-47.008852,-50.172734,-53.041887,-44.827149,-66.875615,-53.991163,-50.040631,-57.764267,-55.515323,-53.208887,-55.030216,-56.677998,-48.276427,-59.128784,-63.887059,-65.794236,-59.839495,-56.291438,-53.611360,-41.230854,-55.127169,-46.575312,-52.567980,-47.676196,-53.759003,-53.157205,-47.978936,-47.519077,-49.729490,-51.219132,-47.997410,-57.495621,-47.381490,-48.209579,-54.541905,-46.973287,-51.539951,-55.823896,-61.645634,-48.727710,-52.463701,-50.885389,-49.630806,-53.384465,-67.585698,-44.772903,-48.972490,-55.316191,-48.586922,-42.624605,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-36.596574,-39.765288,-48.388795,-41.541837,-46.032649,-49.699183,-54.027247,-48.563759,-56.192421,-54.968598,-58.166393,-52.500982,-55.699720,-52.577812,-58.411730,-61.324610,-52.191570,-52.603343,-49.101597,-47.819777,-56.489512,-38.590523,-48.380401,-46.672773,-45.876514,-51.617932,-48.297194,-41.175283,-43.132653,-31.580209,-39.072183,-45.261893,-43.735848,-45.072859,-44.986486,-52.395765,-60.239361,-43.515449,-51.893899,-49.204697,-47.760634,-45.995202,-33.005600,-38.359314,-46.351578,-36.504905,-52.511337,-44.051511,-38.110576,-44.799565,-42.957843,-44.476668,-40.540814,-43.642086,-30.576938,-55.306760,-46.356427,-43.271786,-47.905586,-44.144489,-46.248219,-58.214978,-50.031501,-65.572274,-47.266038,-56.639242,-44.817326,-58.775201,-43.288837,-58.028346,-62.821532,-56.195858,-51.442364,-57.144907,-54.672073,-52.786328,-43.678990,-64.608243,-57.549477,-49.589129,-51.168938,-63.568099,-54.300026,-48.811762,-45.756192,-54.676639,-72.772559,-60.690266,-53.867354,-45.951935,-58.122709,-55.419642,-56.941623,-50.577961,-68.013291,-59.670822,-49.664381,-51.032015,-68.542613,-61.721640,-54.734644,-48.583835,-52.526085,-61.439321,-52.438410,-54.012036,-53.631731,-56.218472,-45.740039,-46.412832,-48.788338,-52.725966,-46.302895,-54.352725,-52.389692,-50.783425,-59.272095,-53.457425,-52.275181,-56.559088,-60.829279,-49.772196,-55.018410,-66.782305,-67.760129,-58.077554,-57.819900,-51.588367,-42.462080,-58.520091,-47.309795,-50.991148,-51.152620,-55.538522,-53.373252,-47.572077,-48.004900,-49.415744,-52.877286,-46.391295,-50.474129,-44.524092,-48.706458,-50.172337,-47.441251,-51.159314,-54.693677,-56.393936,-48.276169,-53.631388,-53.548147,-50.860228,-53.060658,-61.965308,-45.773591,-53.264481,-55.833480,-46.107378,-43.436189,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-36.598512,-42.627660,-46.865770,-40.805493,-47.430596,-53.351990,-55.354169,-48.404646,-56.224599,-75.525775,-56.290189,-52.413791,-63.550460,-56.827300,-55.717832,-50.903289,-50.165614,-53.191718,-47.235341,-47.137628,-65.372994,-38.729208,-50.338752,-47.619134,-44.542518,-49.595299,-50.697244,-40.375739,-44.861575,-30.094760,-43.962735,-47.499939,-43.563354,-44.045488,-44.982894,-55.558947,-57.081030,-42.171037,-52.226936,-49.957391,-47.158403,-45.856122,-31.966797,-38.719881,-46.973553,-38.013377,-56.219722,-44.961451,-39.320851,-49.012807,-43.532576,-44.869227,-38.660379,-42.709980,-30.763175,-56.031010,-47.528245,-43.535544,-48.529983,-43.652803,-46.294313,-68.394821,-51.837718,-57.720081,-47.681514,-53.725389,-43.484864,-63.690798,-48.126459,-55.555716,-54.182757,-55.273878,-48.664120,-59.597838,-51.202968,-53.188672,-43.554501,-56.937687,-55.464764,-49.842538,-54.884200,-57.081992,-59.617965,-51.928869,-44.939981,-56.797568,-66.218301,-62.296066,-52.556831,-45.145877,-58.541719,-56.215275,-55.967309,-49.754500,-74.910299,-64.261954,-50.932201,-50.236699,-63.825975,-56.173338,-62.789014,-48.179592,-52.830782,-60.145781,-51.622111,-54.744702,-55.692365,-55.549661,-45.320607,-46.353046,-46.937968,-51.432743,-47.822085,-50.418775,-50.217518,-53.348273,-53.104087,-51.282971,-51.712315,-57.872640,-56.248934,-52.291028,-53.877062,-68.352128,-60.039774,-60.095206,-61.436127,-49.384640,-44.437741,-59.872462,-48.346038,-49.739513,-54.544145,-55.738335,-53.310392,-47.309089,-49.563453,-50.124263,-53.030163,-46.417019,-45.404981,-44.749269,-50.209791,-46.774027,-47.747001,-52.333995,-53.753392,-52.512142,-48.403143,-55.324552,-56.462186,-49.808635,-54.376776,-59.419447,-50.909561,-53.867910,-54.998322,-44.243033,-45.928167,0,Fileset 1: TS pulse compressed wideband pings T2
