Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,Variable_index,Variable_name
Ping_index,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3424,3425,3426,3427,3428,9718,9719,9720,9721,9722,9723,9724,9725,9726,9727,9728,9729,9730,9731,9732,9733,9734,9735,9736,9737,9738,9739,9740,9741,9742,9743,9744,9745,9746,9747,9748,9751,9752,9753,9754,9755,9756,9757,9760,9761,9762,9763,9764,10159,10160,10165,10166,10167,10169,10171,10172,10173,10174,10175,10176,10177,10178,10180,10181,10184,10185,10186,10187,10188,10189,10191,10197,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10218,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,15:11:04,15:11:05,15:11:05,15:11:05,15:11:05,15:11:05,15:11:06,15:11:06,15:11:06,15:11:06,15:11:06,15:11:07,15:11:07,15:11:07,15:11:07,15:11:07,15:11:08,15:11:08,15:11:08,15:11:08,15:11:08,15:11:09,15:11:09,15:11:09,15:11:09,15:11:09,15:11:10,15:11:10,15:11:10,15:11:10,15:11:10,15:11:11,15:11:11,15:11:11,15:11:11,15:11:11,15:11:12,15:11:12,15:11:12,15:11:12,15:11:13,15:11:13,15:11:13,15:11:13,15:31:50,15:31:50,15:31:50,15:31:51,15:31:51,15:31:51,15:31:51,15:31:51,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:55,15:31:55,15:31:55,15:31:55,15:31:55,15:31:56,15:31:56,15:31:56,15:31:56,15:31:57,15:31:57,15:31:57,15:31:58,15:31:58,15:31:58,15:31:58,15:31:58,15:33:09,15:33:09,15:33:10,15:33:10,15:33:10,15:33:11,15:33:11,15:33:11,15:33:11,15:33:11,15:33:12,15:33:12,15:33:12,15:33:12,15:33:12,15:33:13,15:33:13,15:33:13,15:33:14,15:33:14,15:33:14,15:33:14,15:33:15,15:33:16,15:33:16,15:33:16,15:33:16,15:33:17,15:33:17,15:33:17,15:33:17,15:33:17,15:33:18,15:33:18,15:33:18,15:33:18,15:33:18,15:33:19,15:33:19,15:33:19,15:33:19,15:33:19,15:33:20,
Ping_milliseconds,903.0,102.0,313.0,502.0,702.0,903.0,102.0,303.0,503.0,702.0,902.0,103.0,304.0,503.0,702.0,902.0,113.0,304.0,502.0,702.0,902.0,103.0,301.0,503.0,703.0,902.0,103.0,302.0,503.0,703.0,903.0,103.0,302.0,502.0,702.0,902.0,113.0,303.0,503.0,902.0,103.0,302.0,503.0,703.0,603.0,703.0,902.0,102.0,201.0,402.0,611.0,803.0,003.0,203.0,403.0,504.0,702.0,903.0,102.0,302.0,502.0,602.0,702.0,902.0,102.0,202.0,304.0,503.0,601.0,802.0,013.0,202.0,403.0,603.0,804.0,303.0,503.0,703.0,801.0,003.0,203.0,403.0,002.0,212.0,403.0,602.0,803.0,012.0,202.0,202.0,402.0,602.0,003.0,401.0,502.0,601.0,803.0,002.0,213.0,403.0,603.0,904.0,103.0,702.0,903.0,103.0,302.0,502.0,703.0,103.0,201.0,503.0,702.0,903.0,103.0,303.0,502.0,602.0,802.0,003.0,201.0,404.0,603.0,803.0,002.0,211.0,403.0,602.0,701.0,102.0,
Range,13.0634496000,13.0868608000,13.1219776000,13.1453888000,13.1688000000,13.1805056000,13.1922112000,13.2156224000,13.2390336000,13.2507392000,13.2741504000,13.2858560000,13.2975616000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.3209728000,13.3326784000,13.3443840000,13.3443840000,13.3560896000,13.3677952000,13.3677952000,13.3912064000,13.4029120000,13.4146176000,13.4263232000,13.4263232000,13.4263232000,13.4263232000,13.4380288000,13.4380288000,13.4497344000,13.4614400000,13.4731456000,13.4731456000,13.4731456000,13.4848512000,13.5082624000,13.5199680000,13.5433792000,13.5667904000,13.2858560000,13.2858560000,13.2858560000,13.2858560000,13.2741504000,13.2741504000,13.2741504000,13.2858560000,13.3092672000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.2975616000,13.2039168000,13.1805056000,13.1688000000,13.1688000000,13.1805056000,13.1102720000,13.0868608000,13.0634496000,13.0634496000,13.0634496000,13.0517440000,13.0517440000,12.8761600000,12.8761600000,12.8995712000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9229824000,12.9229824000,12.9229824000,12.9346880000,12.9346880000,12.9229824000,12.9346880000,12.9580992000,12.9346880000,12.9229824000,12.9229824000,12.9346880000,12.9698048000,12.9932160000,12.9932160000,12.9932160000,13.0049216000,13.0049216000,13.0166272000,13.0166272000,13.0400384000,13.0517440000,13.0517440000,13.0634496000,13.0751552000,13.0868608000,13.0985664000,13.0985664000,13.0985664000,13.1102720000,13.1219776000,13.1336832000,
Depth,13.0483092479,13.0770865027,13.1107019354,13.1303303111,13.1526026363,13.1681611044,13.1852695281,13.2103695590,13.2325166324,13.2413511937,13.2645670371,13.2779315012,13.2915176153,13.3046632027,13.3175650528,13.3176986566,13.3062191401,13.3070379021,13.3189576203,13.3299452979,13.3414256768,13.3420816651,13.3550319113,13.3673180025,13.3672272041,13.3908563601,13.4028156605,13.4146049665,13.4262978993,13.4262587503,13.4258055948,13.4252301399,13.4358261470,13.4356142320,13.4476840440,13.4593150578,13.4699916095,13.4686104208,13.4679445773,13.4757214049,13.4965918446,13.5061641736,13.5281744981,13.5511606075,13.2695422573,13.2728105802,13.2777815731,13.2756655114,13.2619655561,13.2634776616,13.2683638688,13.2804137832,13.3008741019,13.3112240015,13.3020775039,13.3033018773,13.2919280203,13.2911468493,13.2894340539,13.3031822350,13.3037566748,13.3146588849,13.3127711685,13.2998569999,13.3000462046,13.2891068989,13.2900695205,13.2901059408,13.2895135293,13.2861063657,13.2842489015,13.2889126139,13.3062985418,13.3076234311,13.2935108524,13.1961876824,13.1735565895,13.1620014049,13.1628071964,13.1777959699,13.1084264424,13.0835631834,13.0594944237,13.0597458277,13.0558924330,13.0417787172,13.0418491354,12.8657437712,12.8629697701,12.8884404888,12.8981840052,12.8963214774,12.8992995135,12.9160070671,12.9040159341,12.9039474968,12.9015652686,12.9108717907,12.9146891357,12.9191590892,12.9195391675,12.9293377008,12.9309220770,12.9218706535,12.9336527986,12.9565556897,12.9333680002,12.9211353380,12.9212842109,12.9322885200,12.9655817049,12.9908394683,12.9928576667,12.9931826331,13.0044971164,13.0030634562,13.0147753619,13.0141095314,13.0360066369,13.0473234598,13.0480390871,13.0608003316,13.0718163727,13.0849276241,13.0975238271,13.0952752084,13.0916776164,13.1036534989,13.1158318473,13.1211520229,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3",
171.000,-42.113940,-40.331806,-43.916125,-44.228503,-39.759269,-50.131469,-41.631280,-45.696955,-44.108701,-37.257774,-35.723396,-39.740668,-36.007540,-35.737567,-41.253564,-36.974326,-38.345330,-43.263118,-39.763485,-38.448343,-43.301695,-43.121011,-44.374939,-39.561372,-34.529793,-36.606540,-38.082579,-40.695007,-35.478256,-42.993203,-45.926516,-43.335585,-49.341188,-46.909374,-43.190775,-47.038174,-36.599240,-56.939417,-44.334194,-41.239522,-48.796343,-38.754311,-39.623800,-41.152629,-38.248089,-37.035467,-38.833286,-38.786678,-38.811575,-39.839038,-41.961146,-54.645061,-42.977841,-40.160591,-46.638051,-55.506515,-51.316787,-58.344780,-47.881222,-48.689141,-66.818493,-48.534548,-44.724148,-51.005405,-46.557930,-42.694667,-42.193247,-39.285587,-46.312010,-48.331431,-53.124610,-44.691014,-55.635756,-48.991984,-56.453248,-50.895129,-47.886897,-58.491764,-54.705723,-52.949716,-49.918923,-45.789784,-45.209611,-43.030555,-46.583207,-66.795230,-41.940663,-50.372678,-46.625540,-44.828373,-49.918315,-48.350525,-47.784727,-49.804582,-55.193944,-60.075848,-45.717212,-40.695919,-43.273343,-50.966017,-51.292751,-50.571322,-55.775284,-50.329186,-56.177596,-58.495760,-56.860032,-54.110455,-54.581769,-54.397798,-53.425001,-55.450368,-56.715047,-49.641956,-50.193257,-47.273300,-59.631492,-58.785478,-47.004907,-43.192446,-50.246372,-52.524718,-45.327651,-45.705120,-52.611513,-51.019329,-46.967121,-55.993359,-56.426388,-45.885216,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-42.458864,-38.659782,-44.339853,-46.203605,-40.631656,-51.970772,-41.660575,-43.217908,-46.786600,-38.184107,-36.074621,-42.569447,-38.246434,-35.528752,-40.213707,-36.614820,-37.702401,-42.442189,-38.024632,-39.338254,-47.876008,-44.051715,-44.650065,-39.211693,-33.924212,-36.960260,-38.179109,-41.350798,-36.938828,-46.306052,-46.405050,-41.319780,-49.162947,-48.071413,-44.644651,-46.073543,-35.397464,-56.545451,-42.928296,-41.197373,-55.517909,-39.336606,-40.964905,-41.260635,-37.853911,-35.876187,-39.287416,-39.277225,-38.524964,-40.024716,-42.038935,-55.177713,-41.767786,-40.566665,-45.892388,-53.347198,-52.674331,-54.945448,-49.096532,-46.388428,-74.841999,-47.720998,-44.736263,-49.868095,-45.887840,-42.848770,-41.620694,-38.690214,-42.873604,-47.546578,-54.233870,-45.769543,-54.858892,-48.024886,-55.877151,-50.658688,-48.406449,-57.939189,-59.765066,-51.801891,-50.867281,-45.978923,-45.136399,-42.977711,-45.891747,-63.964768,-42.394445,-54.782923,-46.183561,-45.527329,-51.369676,-48.517595,-46.778808,-49.990923,-60.370383,-59.818911,-43.926406,-40.654431,-42.584048,-50.611196,-50.568759,-50.419668,-60.410452,-51.151909,-57.751403,-55.662983,-58.626027,-54.523573,-59.695768,-52.421033,-51.747195,-57.069123,-53.523717,-48.098968,-49.208549,-48.482375,-59.694809,-59.167538,-47.698494,-43.467527,-49.784476,-49.158277,-45.959307,-45.086487,-51.789517,-52.746472,-46.666932,-55.792610,-54.562544,-48.179561,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-42.908497,-37.429319,-44.791469,-47.413652,-41.269800,-54.489454,-43.264161,-41.225109,-48.660033,-38.842616,-36.345132,-43.208829,-40.816532,-35.711000,-39.584710,-36.165435,-37.115719,-41.284476,-37.140885,-41.099419,-52.779448,-44.304544,-43.901323,-38.768853,-33.400631,-36.922117,-38.580398,-43.057534,-38.849137,-53.512871,-45.409131,-39.600803,-49.322356,-49.982182,-46.813235,-44.080462,-34.487371,-54.442982,-41.984632,-41.368667,-64.830046,-38.587393,-42.179713,-41.539355,-37.168339,-34.589843,-39.646620,-39.377996,-38.432490,-40.532022,-41.866871,-57.895078,-40.761553,-40.910713,-45.345636,-51.213767,-52.906180,-52.813572,-50.366825,-44.996025,-75.610611,-47.143942,-44.341328,-48.909485,-45.461088,-43.035230,-41.025880,-38.106728,-40.347283,-46.004167,-54.381157,-46.896688,-54.092402,-47.244188,-56.247865,-49.702081,-49.030014,-56.397099,-65.104619,-50.067624,-52.306902,-46.659810,-45.593172,-42.896706,-45.574987,-60.629739,-43.151042,-56.546478,-46.046205,-46.309353,-52.979916,-48.828921,-46.101943,-50.060956,-71.401797,-60.494426,-42.442637,-40.492549,-42.308887,-50.618212,-50.215079,-50.209413,-69.356830,-53.024381,-59.534358,-53.108213,-61.867811,-53.937059,-79.684034,-50.844926,-50.431290,-59.224761,-50.329326,-47.082138,-47.961033,-50.617537,-55.799633,-59.824871,-48.691859,-43.688363,-49.583542,-46.441780,-46.785656,-45.122915,-51.067758,-53.623708,-46.444705,-56.338326,-51.010743,-51.041452,0,Fileset 1: TS pulse compressed wideband pings T2
