Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,Variable_index,Variable_name
Ping_index,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3424,3425,3426,3427,3428,9718,9719,9720,9721,9722,9723,9724,9725,9726,9727,9728,9729,9730,9731,9732,9733,9734,9735,9736,9737,9738,9739,9740,9741,9742,9743,9744,9745,9746,9747,9748,9751,9752,9753,9754,9755,9756,9757,9760,9761,9762,9763,9764,10159,10160,10165,10166,10167,10169,10171,10172,10173,10174,10175,10176,10177,10178,10180,10181,10184,10185,10186,10187,10188,10189,10191,10197,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10218,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,15:11:04,15:11:05,15:11:05,15:11:05,15:11:05,15:11:05,15:11:06,15:11:06,15:11:06,15:11:06,15:11:06,15:11:07,15:11:07,15:11:07,15:11:07,15:11:07,15:11:08,15:11:08,15:11:08,15:11:08,15:11:08,15:11:09,15:11:09,15:11:09,15:11:09,15:11:09,15:11:10,15:11:10,15:11:10,15:11:10,15:11:10,15:11:11,15:11:11,15:11:11,15:11:11,15:11:11,15:11:12,15:11:12,15:11:12,15:11:12,15:11:13,15:11:13,15:11:13,15:11:13,15:31:50,15:31:50,15:31:50,15:31:51,15:31:51,15:31:51,15:31:51,15:31:51,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:55,15:31:55,15:31:55,15:31:55,15:31:55,15:31:56,15:31:56,15:31:56,15:31:56,15:31:57,15:31:57,15:31:57,15:31:58,15:31:58,15:31:58,15:31:58,15:31:58,15:33:09,15:33:09,15:33:10,15:33:10,15:33:10,15:33:11,15:33:11,15:33:11,15:33:11,15:33:11,15:33:12,15:33:12,15:33:12,15:33:12,15:33:12,15:33:13,15:33:13,15:33:13,15:33:14,15:33:14,15:33:14,15:33:14,15:33:15,15:33:16,15:33:16,15:33:16,15:33:16,15:33:17,15:33:17,15:33:17,15:33:17,15:33:17,15:33:18,15:33:18,15:33:18,15:33:18,15:33:18,15:33:19,15:33:19,15:33:19,15:33:19,15:33:19,15:33:20,
Ping_milliseconds,903.0,102.0,313.0,502.0,702.0,903.0,102.0,303.0,503.0,702.0,902.0,103.0,304.0,503.0,702.0,902.0,113.0,304.0,502.0,702.0,902.0,103.0,301.0,503.0,703.0,902.0,103.0,302.0,503.0,703.0,903.0,103.0,302.0,502.0,702.0,902.0,113.0,303.0,503.0,902.0,103.0,302.0,503.0,703.0,603.0,703.0,902.0,102.0,201.0,402.0,611.0,803.0,003.0,203.0,403.0,504.0,702.0,903.0,102.0,302.0,502.0,602.0,702.0,902.0,102.0,202.0,304.0,503.0,601.0,802.0,013.0,202.0,403.0,603.0,804.0,303.0,503.0,703.0,801.0,003.0,203.0,403.0,002.0,212.0,403.0,602.0,803.0,012.0,202.0,202.0,402.0,602.0,003.0,401.0,502.0,601.0,803.0,002.0,213.0,403.0,603.0,904.0,103.0,702.0,903.0,103.0,302.0,502.0,703.0,103.0,201.0,503.0,702.0,903.0,103.0,303.0,502.0,602.0,802.0,003.0,201.0,404.0,603.0,803.0,002.0,211.0,403.0,602.0,701.0,102.0,
Range,13.0634496000,13.0868608000,13.1219776000,13.1453888000,13.1688000000,13.1805056000,13.1922112000,13.2156224000,13.2390336000,13.2507392000,13.2741504000,13.2858560000,13.2975616000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.3209728000,13.3326784000,13.3443840000,13.3443840000,13.3560896000,13.3677952000,13.3677952000,13.3912064000,13.4029120000,13.4146176000,13.4263232000,13.4263232000,13.4263232000,13.4263232000,13.4380288000,13.4380288000,13.4497344000,13.4614400000,13.4731456000,13.4731456000,13.4731456000,13.4848512000,13.5082624000,13.5199680000,13.5433792000,13.5667904000,13.2858560000,13.2858560000,13.2858560000,13.2858560000,13.2741504000,13.2741504000,13.2741504000,13.2858560000,13.3092672000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.2975616000,13.2039168000,13.1805056000,13.1688000000,13.1688000000,13.1805056000,13.1102720000,13.0868608000,13.0634496000,13.0634496000,13.0634496000,13.0517440000,13.0517440000,12.8761600000,12.8761600000,12.8995712000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9229824000,12.9229824000,12.9229824000,12.9346880000,12.9346880000,12.9229824000,12.9346880000,12.9580992000,12.9346880000,12.9229824000,12.9229824000,12.9346880000,12.9698048000,12.9932160000,12.9932160000,12.9932160000,13.0049216000,13.0049216000,13.0166272000,13.0166272000,13.0400384000,13.0517440000,13.0517440000,13.0634496000,13.0751552000,13.0868608000,13.0985664000,13.0985664000,13.0985664000,13.1102720000,13.1219776000,13.1336832000,
Depth,13.0483092479,13.0770865027,13.1107019354,13.1303303111,13.1526026363,13.1681611044,13.1852695281,13.2103695590,13.2325166324,13.2413511937,13.2645670371,13.2779315012,13.2915176153,13.3046632027,13.3175650528,13.3176986566,13.3062191401,13.3070379021,13.3189576203,13.3299452979,13.3414256768,13.3420816651,13.3550319113,13.3673180025,13.3672272041,13.3908563601,13.4028156605,13.4146049665,13.4262978993,13.4262587503,13.4258055948,13.4252301399,13.4358261470,13.4356142320,13.4476840440,13.4593150578,13.4699916095,13.4686104208,13.4679445773,13.4757214049,13.4965918446,13.5061641736,13.5281744981,13.5511606075,13.2695422573,13.2728105802,13.2777815731,13.2756655114,13.2619655561,13.2634776616,13.2683638688,13.2804137832,13.3008741019,13.3112240015,13.3020775039,13.3033018773,13.2919280203,13.2911468493,13.2894340539,13.3031822350,13.3037566748,13.3146588849,13.3127711685,13.2998569999,13.3000462046,13.2891068989,13.2900695205,13.2901059408,13.2895135293,13.2861063657,13.2842489015,13.2889126139,13.3062985418,13.3076234311,13.2935108524,13.1961876824,13.1735565895,13.1620014049,13.1628071964,13.1777959699,13.1084264424,13.0835631834,13.0594944237,13.0597458277,13.0558924330,13.0417787172,13.0418491354,12.8657437712,12.8629697701,12.8884404888,12.8981840052,12.8963214774,12.8992995135,12.9160070671,12.9040159341,12.9039474968,12.9015652686,12.9108717907,12.9146891357,12.9191590892,12.9195391675,12.9293377008,12.9309220770,12.9218706535,12.9336527986,12.9565556897,12.9333680002,12.9211353380,12.9212842109,12.9322885200,12.9655817049,12.9908394683,12.9928576667,12.9931826331,13.0044971164,13.0030634562,13.0147753619,13.0141095314,13.0360066369,13.0473234598,13.0480390871,13.0608003316,13.0718163727,13.0849276241,13.0975238271,13.0952752084,13.0916776164,13.1036534989,13.1158318473,13.1211520229,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3",
45.000,-43.828893,-43.023010,-43.260145,-43.654806,-43.893186,-47.026347,-40.588718,-39.055556,-38.857210,-36.529681,-36.833988,-39.150853,-41.330300,-43.253038,-43.872685,-44.657412,-43.920725,-44.731994,-43.498016,-40.763800,-41.153128,-40.228494,-39.207488,-38.175077,-37.350062,-36.758624,-37.435580,-39.810552,-41.072065,-41.867063,-42.873946,-43.144609,-45.760690,-43.486079,-44.158991,-46.451239,-45.847220,-44.512176,-41.276469,-39.576728,-38.601630,-39.103077,-36.987355,-36.437511,-46.708681,-46.833645,-47.352176,-45.559063,-46.457650,-46.786314,-48.970962,-48.555349,-48.806969,-50.919111,-52.014925,-55.967762,-55.544659,-52.371094,-59.512129,-55.889996,-55.747658,-51.804325,-51.096759,-52.448421,-55.809457,-51.737777,-50.218249,-50.295769,-51.097756,-54.053513,-60.002732,-55.048606,-52.413009,-54.422172,-57.525250,-58.217993,-66.850905,-56.212777,-56.798189,-65.642742,-72.260261,-59.729840,-57.003717,-58.207982,-56.792792,-54.638133,-52.076943,-57.791519,-58.545657,-54.214921,-57.899424,-57.075661,-57.384816,-53.998995,-54.247086,-54.770323,-52.993185,-53.824807,-54.604031,-54.341869,-53.882905,-52.766738,-56.916182,-54.209548,-53.499054,-52.683343,-57.545589,-53.826260,-53.277540,-59.066186,-57.482935,-51.615579,-55.456633,-53.195645,-54.484538,-51.284322,-50.544691,-48.252138,-46.866157,-46.445105,-48.348919,-46.872631,-49.098843,-47.113596,-48.541656,-49.108096,-48.432768,-49.870959,-48.990085,-52.072333,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-42.991411,-42.707226,-43.049476,-43.494368,-43.162924,-46.876851,-40.244598,-38.773845,-38.592751,-36.071937,-36.319481,-38.487373,-40.828484,-43.030052,-44.039556,-44.645946,-43.772399,-44.571681,-43.343699,-40.425264,-40.967009,-39.174050,-38.615785,-37.504905,-36.745887,-36.237978,-36.722209,-39.166064,-40.422762,-41.112620,-42.602267,-42.961145,-46.035633,-43.559336,-43.735762,-46.623940,-46.115812,-44.633457,-41.295182,-38.749448,-37.872463,-38.259114,-36.550099,-35.962504,-46.541180,-46.690720,-47.124014,-45.285753,-46.336692,-46.691137,-48.854170,-48.398488,-48.442790,-50.748235,-52.824494,-56.955368,-55.712345,-52.082983,-60.500428,-57.591087,-56.779302,-52.251841,-51.373702,-52.805828,-56.682932,-51.610383,-50.682785,-50.494286,-51.360731,-55.053198,-61.016651,-54.513796,-52.096348,-53.740831,-57.891752,-56.367894,-68.823904,-56.754453,-57.437158,-62.671625,-74.672719,-59.322480,-57.465808,-57.549633,-57.807595,-54.204606,-52.932919,-56.852528,-57.282039,-53.789541,-59.359701,-56.621382,-57.663127,-52.997286,-53.767622,-54.566401,-51.835581,-53.846078,-55.143906,-53.518426,-53.283842,-52.394911,-56.965962,-53.448892,-52.592282,-52.428469,-58.263335,-52.857141,-52.314126,-60.161374,-58.095942,-51.203636,-55.262900,-52.471251,-54.243959,-50.992586,-49.898441,-48.060898,-46.492264,-46.238349,-47.798484,-46.950790,-49.069005,-46.571989,-47.866382,-48.602837,-48.174409,-49.719380,-49.016390,-52.326339,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-42.318125,-42.497192,-43.000757,-43.184213,-42.586368,-46.366674,-40.048941,-38.652499,-38.362823,-35.676510,-36.007182,-38.042020,-40.209855,-42.881788,-44.488839,-45.052218,-43.522465,-44.404918,-43.254125,-40.246940,-40.985086,-38.255996,-38.101960,-37.077286,-36.062744,-35.958740,-36.290733,-38.710758,-40.013705,-40.591327,-42.704518,-42.952880,-46.437769,-43.776378,-43.549167,-47.200820,-46.779458,-44.909517,-41.485075,-38.189971,-37.383286,-37.376522,-36.124325,-35.688862,-46.445638,-46.808130,-47.230355,-45.286410,-46.339223,-46.813744,-49.027329,-48.229409,-48.224281,-50.714893,-53.968346,-58.285283,-56.173505,-51.804323,-61.767851,-60.138134,-58.004147,-52.787748,-51.885003,-53.784832,-57.853925,-51.522669,-50.975715,-50.960221,-51.744308,-56.521649,-63.315766,-54.467977,-51.980052,-53.160672,-58.358454,-55.543749,-69.651791,-57.555317,-58.050178,-60.399292,-69.616218,-58.676237,-58.001796,-56.934513,-58.714416,-54.182550,-54.197762,-56.115518,-56.456765,-53.309948,-60.561491,-55.815620,-57.262875,-52.156543,-53.337031,-54.181231,-50.955545,-54.208076,-56.078526,-53.276896,-53.075651,-52.172334,-56.938227,-52.848413,-51.959637,-52.044124,-59.408238,-52.214179,-51.612152,-60.757052,-58.314611,-50.906972,-55.672003,-52.243465,-54.336956,-51.028203,-49.307638,-47.776532,-46.359083,-46.266663,-47.386570,-47.401235,-49.215669,-46.260718,-47.452228,-48.316159,-48.108537,-49.444382,-49.159425,-52.675772,0,Fileset 1: TS pulse compressed wideband pings T1
