Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,Variable_index,Variable_name
Ping_index,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3424,3425,3426,3427,3428,9718,9719,9720,9721,9722,9723,9724,9725,9726,9727,9728,9729,9730,9731,9732,9733,9734,9735,9736,9737,9738,9739,9740,9741,9742,9743,9744,9745,9746,9747,9748,9751,9752,9753,9754,9755,9756,9757,9760,9761,9762,9763,9764,10159,10160,10165,10166,10167,10169,10171,10172,10173,10174,10175,10176,10177,10178,10180,10181,10184,10185,10186,10187,10188,10189,10191,10197,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10218,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,15:11:04,15:11:05,15:11:05,15:11:05,15:11:05,15:11:05,15:11:06,15:11:06,15:11:06,15:11:06,15:11:06,15:11:07,15:11:07,15:11:07,15:11:07,15:11:07,15:11:08,15:11:08,15:11:08,15:11:08,15:11:08,15:11:09,15:11:09,15:11:09,15:11:09,15:11:09,15:11:10,15:11:10,15:11:10,15:11:10,15:11:10,15:11:11,15:11:11,15:11:11,15:11:11,15:11:11,15:11:12,15:11:12,15:11:12,15:11:12,15:11:13,15:11:13,15:11:13,15:11:13,15:31:50,15:31:50,15:31:50,15:31:51,15:31:51,15:31:51,15:31:51,15:31:51,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:55,15:31:55,15:31:55,15:31:55,15:31:55,15:31:56,15:31:56,15:31:56,15:31:56,15:31:57,15:31:57,15:31:57,15:31:58,15:31:58,15:31:58,15:31:58,15:31:58,15:33:09,15:33:09,15:33:10,15:33:10,15:33:10,15:33:11,15:33:11,15:33:11,15:33:11,15:33:11,15:33:12,15:33:12,15:33:12,15:33:12,15:33:12,15:33:13,15:33:13,15:33:13,15:33:14,15:33:14,15:33:14,15:33:14,15:33:15,15:33:16,15:33:16,15:33:16,15:33:16,15:33:17,15:33:17,15:33:17,15:33:17,15:33:17,15:33:18,15:33:18,15:33:18,15:33:18,15:33:18,15:33:19,15:33:19,15:33:19,15:33:19,15:33:19,15:33:20,
Ping_milliseconds,903.0,102.0,313.0,502.0,702.0,903.0,102.0,303.0,503.0,702.0,902.0,103.0,304.0,503.0,702.0,902.0,113.0,304.0,502.0,702.0,902.0,103.0,301.0,503.0,703.0,902.0,103.0,302.0,503.0,703.0,903.0,103.0,302.0,502.0,702.0,902.0,113.0,303.0,503.0,902.0,103.0,302.0,503.0,703.0,603.0,703.0,902.0,102.0,201.0,402.0,611.0,803.0,003.0,203.0,403.0,504.0,702.0,903.0,102.0,302.0,502.0,602.0,702.0,902.0,102.0,202.0,304.0,503.0,601.0,802.0,013.0,202.0,403.0,603.0,804.0,303.0,503.0,703.0,801.0,003.0,203.0,403.0,002.0,212.0,403.0,602.0,803.0,012.0,202.0,202.0,402.0,602.0,003.0,401.0,502.0,601.0,803.0,002.0,213.0,403.0,603.0,904.0,103.0,702.0,903.0,103.0,302.0,502.0,703.0,103.0,201.0,503.0,702.0,903.0,103.0,303.0,502.0,602.0,802.0,003.0,201.0,404.0,603.0,803.0,002.0,211.0,403.0,602.0,701.0,102.0,
Range,13.0634496000,13.0868608000,13.1219776000,13.1453888000,13.1688000000,13.1805056000,13.1922112000,13.2156224000,13.2390336000,13.2507392000,13.2741504000,13.2858560000,13.2975616000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.3209728000,13.3326784000,13.3443840000,13.3443840000,13.3560896000,13.3677952000,13.3677952000,13.3912064000,13.4029120000,13.4146176000,13.4263232000,13.4263232000,13.4263232000,13.4263232000,13.4380288000,13.4380288000,13.4497344000,13.4614400000,13.4731456000,13.4731456000,13.4731456000,13.4848512000,13.5082624000,13.5199680000,13.5433792000,13.5667904000,13.2858560000,13.2858560000,13.2858560000,13.2858560000,13.2741504000,13.2741504000,13.2741504000,13.2858560000,13.3092672000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.2975616000,13.2039168000,13.1805056000,13.1688000000,13.1688000000,13.1805056000,13.1102720000,13.0868608000,13.0634496000,13.0634496000,13.0634496000,13.0517440000,13.0517440000,12.8761600000,12.8761600000,12.8995712000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9229824000,12.9229824000,12.9229824000,12.9346880000,12.9346880000,12.9229824000,12.9346880000,12.9580992000,12.9346880000,12.9229824000,12.9229824000,12.9346880000,12.9698048000,12.9932160000,12.9932160000,12.9932160000,13.0049216000,13.0049216000,13.0166272000,13.0166272000,13.0400384000,13.0517440000,13.0517440000,13.0634496000,13.0751552000,13.0868608000,13.0985664000,13.0985664000,13.0985664000,13.1102720000,13.1219776000,13.1336832000,
Depth,13.0483092479,13.0770865027,13.1107019354,13.1303303111,13.1526026363,13.1681611044,13.1852695281,13.2103695590,13.2325166324,13.2413511937,13.2645670371,13.2779315012,13.2915176153,13.3046632027,13.3175650528,13.3176986566,13.3062191401,13.3070379021,13.3189576203,13.3299452979,13.3414256768,13.3420816651,13.3550319113,13.3673180025,13.3672272041,13.3908563601,13.4028156605,13.4146049665,13.4262978993,13.4262587503,13.4258055948,13.4252301399,13.4358261470,13.4356142320,13.4476840440,13.4593150578,13.4699916095,13.4686104208,13.4679445773,13.4757214049,13.4965918446,13.5061641736,13.5281744981,13.5511606075,13.2695422573,13.2728105802,13.2777815731,13.2756655114,13.2619655561,13.2634776616,13.2683638688,13.2804137832,13.3008741019,13.3112240015,13.3020775039,13.3033018773,13.2919280203,13.2911468493,13.2894340539,13.3031822350,13.3037566748,13.3146588849,13.3127711685,13.2998569999,13.3000462046,13.2891068989,13.2900695205,13.2901059408,13.2895135293,13.2861063657,13.2842489015,13.2889126139,13.3062985418,13.3076234311,13.2935108524,13.1961876824,13.1735565895,13.1620014049,13.1628071964,13.1777959699,13.1084264424,13.0835631834,13.0594944237,13.0597458277,13.0558924330,13.0417787172,13.0418491354,12.8657437712,12.8629697701,12.8884404888,12.8981840052,12.8963214774,12.8992995135,12.9160070671,12.9040159341,12.9039474968,12.9015652686,12.9108717907,12.9146891357,12.9191590892,12.9195391675,12.9293377008,12.9309220770,12.9218706535,12.9336527986,12.9565556897,12.9333680002,12.9211353380,12.9212842109,12.9322885200,12.9655817049,12.9908394683,12.9928576667,12.9931826331,13.0044971164,13.0030634562,13.0147753619,13.0141095314,13.0360066369,13.0473234598,13.0480390871,13.0608003316,13.0718163727,13.0849276241,13.0975238271,13.0952752084,13.0916776164,13.1036534989,13.1158318473,13.1211520229,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3",
90.000,-40.845805,-44.839341,-53.692455,-50.262609,-41.731899,-49.546859,-48.887905,-40.835975,-45.449422,-38.266112,-36.480583,-38.414476,-37.461903,-45.713657,-42.259842,-39.947085,-41.739202,-42.738948,-39.931528,-36.249459,-38.237817,-37.394828,-38.621421,-36.688800,-36.204847,-37.982471,-36.573209,-38.089846,-37.873379,-36.247780,-41.090360,-41.408681,-43.654382,-43.443151,-43.508026,-40.231623,-38.137981,-42.043670,-40.916809,-39.229867,-40.911493,-39.156675,-39.667226,-37.361764,-45.957188,-44.511168,-44.800266,-47.779501,-50.637378,-46.288559,-45.318187,-52.178127,-47.854333,-48.049919,-54.110755,-56.622751,-51.475657,-51.264577,-53.807099,-61.317300,-52.538101,-55.113725,-53.422177,-51.139023,-51.367123,-51.536938,-49.114219,-51.114703,-52.069730,-60.004320,-59.183698,-51.296735,-65.942877,-56.546609,-50.331324,-46.650568,-48.626567,-59.531974,-57.647667,-56.500478,-61.924652,-52.051917,-48.979181,-60.012234,-53.103126,-56.083081,-52.294991,-50.940004,-51.462730,-56.969039,-53.572300,-48.970088,-59.224296,-64.695863,-58.419976,-62.433361,-63.836064,-53.681329,-50.408235,-48.728491,-53.531144,-61.330160,-54.493245,-54.022039,-51.526943,-51.681216,-57.318465,-53.691824,-58.480891,-50.663134,-60.515652,-61.159475,-49.355146,-49.588073,-53.397574,-48.124469,-43.638514,-48.657041,-48.560238,-42.805119,-44.715046,-46.980161,-44.525448,-45.095991,-42.472134,-47.758028,-49.154153,-44.662609,-43.994093,-50.228600,0,Fileset 1: TS pulse compressed wideband pings T3
90.500,-40.496946,-45.347988,-49.272473,-51.652758,-42.319984,-47.478815,-48.787708,-40.719478,-44.088697,-38.140129,-36.481130,-38.664751,-37.412390,-45.508329,-42.446924,-39.976550,-41.503434,-43.281146,-40.146591,-36.173465,-37.505630,-37.709268,-38.729776,-36.581387,-36.260269,-37.897679,-36.576445,-38.026611,-37.883228,-36.262163,-40.927228,-41.405967,-43.177499,-42.524478,-42.992009,-40.159354,-38.317547,-41.480752,-41.055443,-38.847718,-39.454410,-39.434447,-39.700283,-37.338044,-45.930545,-44.342535,-44.276572,-46.437219,-49.530988,-45.112118,-44.488171,-50.856536,-47.856854,-47.189609,-55.115080,-55.299580,-51.133976,-50.105886,-52.878127,-57.376041,-51.252473,-53.058250,-54.290956,-51.557963,-49.997684,-51.113580,-48.380646,-50.264206,-49.773107,-56.775953,-60.390511,-51.015570,-66.110492,-55.997042,-50.149965,-46.705693,-48.572945,-60.885482,-57.743436,-54.434038,-58.564677,-54.089254,-48.829494,-58.209653,-52.646999,-54.758626,-51.988777,-49.973195,-50.944673,-55.331378,-53.783034,-48.755320,-57.547262,-63.749968,-56.291838,-65.773524,-72.413477,-53.525787,-50.334679,-48.402141,-53.666911,-62.445884,-54.116650,-53.588344,-50.912403,-51.771974,-56.299462,-54.042748,-59.315370,-50.447395,-64.143940,-60.814291,-49.521166,-49.906846,-51.410657,-47.639814,-43.595990,-48.041628,-46.867654,-42.043880,-44.431418,-45.897807,-44.254121,-45.013450,-42.751165,-46.616151,-48.264219,-43.872248,-43.763974,-49.557811,0,Fileset 1: TS pulse compressed wideband pings T3
91.000,-40.318063,-45.554564,-46.778259,-54.311005,-43.094986,-45.794065,-48.091042,-40.917585,-42.789569,-37.916252,-36.531682,-38.736369,-37.415969,-45.411577,-42.946039,-40.143274,-41.352770,-43.441817,-40.237517,-36.159354,-37.070190,-37.706591,-39.095803,-36.782161,-36.098175,-38.093472,-36.730919,-37.900492,-37.692449,-36.410549,-41.008588,-41.580649,-43.004434,-41.329387,-42.164306,-40.245625,-38.724336,-41.024398,-41.377539,-38.760403,-38.687001,-39.517554,-39.859644,-37.441573,-45.620609,-44.481225,-44.007969,-45.553859,-48.224755,-44.243563,-43.765938,-49.703087,-47.877938,-46.569208,-56.258354,-54.733900,-50.627426,-49.253896,-52.203115,-54.908994,-50.176598,-51.574221,-55.218084,-51.622993,-48.911186,-50.284102,-47.809377,-48.865662,-48.356393,-53.550132,-60.784356,-50.464847,-67.146658,-56.063014,-50.266021,-46.680359,-48.927140,-63.330067,-58.561364,-52.507103,-55.535102,-57.215157,-48.856788,-56.840610,-52.247621,-53.262063,-51.253368,-49.420990,-50.683564,-54.097158,-54.070204,-48.691991,-55.853296,-62.813386,-54.141412,-64.027628,-75.589196,-53.730362,-50.607089,-48.385395,-53.245600,-64.999975,-53.934040,-53.388820,-50.651333,-51.772495,-55.545192,-54.580731,-59.300557,-50.726988,-73.485657,-57.923077,-49.703356,-50.075828,-50.323938,-47.600651,-43.732206,-47.049860,-45.732691,-41.297031,-43.936834,-45.207217,-44.140605,-44.766676,-43.043352,-45.638119,-47.493153,-43.223242,-43.442305,-48.351219,0,Fileset 1: TS pulse compressed wideband pings T3
