Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,Variable_index,Variable_name
Ping_index,1967,1968,1969,1970,1971,1977,1978,1979,1980,1981,1982,1983,1988,1989,1990,1991,1992,1993,2495,2496,2497,2498,2503,3271,3273,3274,3275,3276,4312,4313,4314,4315,4316,4318,4319,4327,4328,4329,4330,4331,4332,4333,4334,4336,4338,4339,4340,4341,4346,4347,4348,4349,4350,4352,4353,4358,4360,4361,4362,4363,4368,4369,4370,5628,5629,5630,5631,5632,5633,5634,5641,5642,5643,5644,5645,5646,5647,5648,5654,5655,5656,5657,5658,5667,5668,5669,5675,5677,5678,5679,5680,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5697,5698,5700,5701,5703,5704,5708,5709,5710,5711,5712,5713,5714,5715,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:09:21,15:09:21,15:09:22,15:09:22,15:09:22,15:09:23,15:09:23,15:09:23,15:09:23,15:09:23,15:09:24,15:09:24,15:09:24,15:09:25,15:09:25,15:09:25,15:09:25,15:09:25,15:10:38,15:10:38,15:10:39,15:10:39,15:10:39,15:12:34,15:12:34,15:12:34,15:12:34,15:12:34,15:15:08,15:15:08,15:15:08,15:15:08,15:15:08,15:15:09,15:15:09,15:15:10,15:15:10,15:15:10,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:12,15:15:12,15:15:12,15:15:12,15:15:13,15:15:13,15:15:13,15:15:13,15:15:13,15:15:14,15:15:14,15:15:15,15:15:15,15:15:15,15:15:15,15:15:15,15:15:16,15:15:16,15:15:16,15:18:24,15:18:24,15:18:25,15:18:25,15:18:25,15:18:25,15:18:25,15:18:26,15:18:26,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:28,15:18:28,15:18:28,15:18:29,15:18:29,15:18:30,15:18:30,15:18:30,15:18:31,15:18:32,15:18:32,15:18:32,15:18:32,15:18:33,15:18:33,15:18:33,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:35,15:18:35,15:18:35,15:18:35,15:18:36,15:18:36,15:18:36,15:18:36,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,
Ping_milliseconds,815.0,960.0,104.0,251.0,406.0,291.0,438.0,581.0,731.0,875.0,020.0,171.0,899.0,053.0,199.0,343.0,489.0,632.0,833.0,977.0,120.0,267.0,996.0,219.0,517.0,664.0,813.0,962.0,406.0,553.0,699.0,846.0,993.0,290.0,435.0,603.0,749.0,895.0,040.0,186.0,333.0,479.0,624.0,916.0,215.0,362.0,507.0,655.0,387.0,544.0,689.0,837.0,982.0,277.0,422.0,156.0,446.0,593.0,739.0,884.0,617.0,762.0,911.0,771.0,916.0,065.0,226.0,375.0,523.0,676.0,727.0,885.0,032.0,183.0,340.0,487.0,631.0,782.0,693.0,840.0,991.0,138.0,284.0,631.0,778.0,929.0,831.0,127.0,278.0,427.0,578.0,616.0,767.0,914.0,061.0,213.0,363.0,513.0,663.0,813.0,961.0,108.0,267.0,572.0,721.0,020.0,174.0,782.0,935.0,081.0,228.0,381.0,530.0,688.0,836.0,
Range,14.1286592000,14.1403648000,14.1403648000,14.1988928000,14.1286592000,14.2105984000,14.2223040000,14.1286592000,14.1052480000,14.0818368000,14.0584256000,14.0350144000,14.0233088000,14.0116032000,13.9881920000,13.9764864000,13.9530752000,13.9413696000,14.1286592000,14.1403648000,14.2105984000,14.1520704000,14.1403648000,14.0467200000,14.0818368000,14.1169536000,14.1052480000,14.1286592000,14.0233088000,14.0935424000,14.0467200000,14.0116032000,14.0116032000,13.9530752000,14.0233088000,13.8711360000,13.8711360000,13.8594304000,13.8711360000,13.9062528000,13.9530752000,13.8711360000,13.8594304000,13.8360192000,13.9179584000,13.7774912000,13.7657856000,13.7657856000,13.6955520000,13.6838464000,13.6838464000,13.6721408000,13.6721408000,13.6838464000,13.6721408000,13.5667904000,13.5550848000,13.5433792000,13.5433792000,13.5316736000,13.4965568000,13.4848512000,13.4848512000,13.6838464000,13.6955520000,13.6604352000,13.6253184000,13.6487296000,13.7774912000,13.8243136000,13.9998976000,14.0116032000,14.0116032000,14.0233088000,13.9998976000,14.0584256000,14.0935424000,14.1286592000,14.2340096000,14.3042432000,14.3159488000,14.3393600000,14.3510656000,14.3861824000,14.3861824000,14.3978880000,14.4798272000,14.4681216000,14.4681216000,14.4681216000,14.4915328000,14.5383552000,14.5851776000,14.5266496000,14.5149440000,14.4915328000,14.4915328000,14.4681216000,14.5032384000,14.5266496000,14.5383552000,14.4798272000,14.5500608000,14.4330048000,14.4798272000,14.3393600000,14.4095936000,14.3393600000,14.4095936000,14.3159488000,14.3042432000,14.3627712000,14.3627712000,14.3276544000,14.2925376000,
Depth,14.0833022231,14.1007410530,14.1010785345,14.1569902357,14.0833996376,14.1656895662,14.1881026160,14.1033090381,14.0765902149,14.0489125801,14.0216062469,13.9901565015,13.9779869765,13.9750131164,13.9574017171,13.9453699645,13.9187811576,13.9004235035,14.0927683963,14.1039500991,14.1769201932,14.1127808234,14.0951751014,14.0007036421,14.0447173826,14.0865589511,14.0706394361,14.0964951701,13.9808305809,14.0586430589,14.0151575273,13.9728790652,13.9709551474,13.9147991361,13.9849866806,13.8265179843,13.8328406056,13.8245243300,13.8384849271,13.8682840466,13.9129919121,13.8282646947,13.8159875311,13.7968454473,13.8927323967,13.7608390702,13.7465501996,13.7388874916,13.6543264529,13.6519319452,13.6614879398,13.6520644380,13.6519447621,13.6499611996,13.6301054768,13.5227093203,13.5179172708,13.5094552683,13.5063939504,13.4920547456,13.4561832715,13.4499117211,13.4541392298,13.6420805752,13.6640738510,13.6342485594,13.5980134187,13.6198777324,13.7537195310,13.7908308590,13.9596351357,13.9850463849,13.9923754157,14.0069594467,13.9792614272,14.0342644127,14.0612934530,14.0854750210,14.1920968685,14.2700619511,14.2864009729,14.3087404929,14.3126935354,14.3435656503,14.3430862734,14.3502481366,14.4362965124,14.4513649102,14.4518555775,14.4442098606,14.4534787098,14.4999248544,14.5562947299,14.5123810368,14.5047062207,14.4819865394,14.4781096233,14.4480592040,14.4702662006,14.4843476340,14.4916847590,14.4369639223,14.5104780551,14.3894973006,14.4361352362,14.3079907130,14.3769846540,14.2977396352,14.3668817431,14.2810925283,14.2718831552,14.3355078958,14.3340752134,14.2967973556,14.2557153627,
Region_name,"Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11",
45.000,-43.568835,-48.759727,-56.483274,-46.118409,-45.075015,-39.985885,-44.504459,-45.847821,-44.299850,-42.853241,-42.564716,-43.936330,-49.549634,-51.123372,-48.316957,-47.280663,-48.565732,-50.611079,-38.866516,-44.699865,-50.678367,-52.771826,-54.476988,-51.958968,-39.673907,-39.210542,-52.545637,-41.991644,-51.909061,-48.173705,-48.607574,-47.221870,-68.034004,-44.795790,-42.796036,-48.634325,-53.742352,-62.137774,-51.694318,-46.611615,-46.085544,-48.110044,-51.122622,-47.842467,-45.296315,-45.110842,-49.529548,-49.425226,-43.279560,-40.972790,-40.245729,-40.758820,-42.715986,-49.030912,-51.402019,-49.959582,-48.985567,-48.559054,-49.082165,-49.651627,-47.332228,-45.145015,-43.506667,-61.461132,-60.030726,-58.164925,-48.606132,-48.404481,-59.863559,-56.164142,-59.135221,-59.817686,-59.467372,-75.657340,-60.279918,-63.437069,-60.595157,-62.589000,-76.940376,-54.678583,-46.049581,-45.051204,-45.401632,-39.262366,-39.099705,-39.275530,-38.267854,-37.437651,-38.556274,-41.035581,-39.934005,-43.827650,-56.387972,-40.740098,-44.540992,-52.068061,-50.981269,-49.382595,-62.309126,-56.473584,-53.114585,-52.334099,-54.185288,-54.986536,-56.266236,-59.503681,-56.532766,-57.975190,-58.255408,-56.346702,-53.400552,-51.435379,-51.885265,-55.631888,-65.222780,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-43.483463,-46.795037,-58.691576,-45.490443,-45.417527,-39.749264,-44.644402,-47.325700,-43.044641,-41.597722,-43.179927,-43.182029,-49.097797,-50.437081,-47.495284,-47.221395,-48.578056,-51.116188,-38.528116,-44.468728,-48.099028,-52.717311,-53.156975,-54.575220,-39.397736,-38.644764,-51.152229,-41.887011,-49.277294,-48.796074,-50.104614,-48.336498,-59.371320,-44.951856,-42.582711,-49.270952,-55.213569,-72.557357,-50.094599,-45.226571,-45.264288,-47.554014,-50.378444,-46.999764,-45.187484,-46.563857,-52.990184,-50.454784,-43.201997,-41.108036,-40.382885,-41.026077,-43.352518,-49.229884,-50.191352,-48.828190,-48.028067,-48.072796,-48.813036,-49.639668,-46.809526,-44.613342,-43.207419,-59.392484,-58.327622,-61.332651,-49.489911,-49.239176,-56.231280,-54.796117,-60.606304,-60.760194,-62.779365,-68.128400,-70.778649,-73.165593,-64.764996,-64.360571,-69.425213,-55.877455,-45.202007,-43.898721,-44.304494,-39.217768,-38.701133,-38.688693,-38.058120,-36.242908,-38.047270,-40.122202,-39.293932,-43.766940,-55.143172,-40.263645,-44.321621,-56.111771,-53.497041,-46.500778,-67.366107,-54.234793,-54.634463,-53.197615,-54.782998,-54.046265,-56.128965,-57.846146,-55.710360,-56.408335,-57.340906,-56.363331,-53.843837,-51.576940,-51.308941,-54.874528,-71.059199,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-43.445279,-45.183027,-57.127370,-45.030233,-45.925082,-39.580628,-45.189084,-49.898103,-42.338450,-40.878282,-43.312054,-42.810031,-49.014460,-49.473526,-47.156054,-47.301536,-48.850357,-51.934918,-38.161633,-44.327862,-45.810937,-51.921231,-52.127866,-57.008055,-39.121452,-38.215006,-49.791539,-41.689438,-47.100556,-50.399872,-51.065013,-49.716294,-55.473224,-44.885115,-42.254162,-49.939027,-56.293990,-60.125835,-49.081008,-44.403852,-44.582281,-47.142333,-49.662386,-46.131887,-45.394513,-48.612688,-57.202213,-52.280023,-42.838035,-41.057437,-40.511184,-41.248471,-43.763181,-48.418588,-48.845880,-48.073377,-47.544298,-48.031483,-48.932894,-49.871262,-46.226293,-44.013241,-42.740824,-57.594375,-57.278933,-62.053276,-50.147890,-49.873188,-54.459486,-54.539791,-59.115216,-59.142179,-60.012577,-59.773248,-59.015986,-61.797009,-60.599154,-60.069707,-61.860667,-59.404294,-45.339013,-42.927852,-43.133170,-39.466370,-38.509426,-38.289556,-37.894457,-35.164436,-37.605500,-39.050277,-38.854223,-43.305015,-54.522498,-39.983330,-44.187152,-57.091886,-55.994794,-44.546702,-64.270433,-51.282414,-54.314249,-53.815006,-54.080421,-53.597610,-56.344013,-57.401244,-55.108969,-55.492849,-56.382235,-56.255738,-54.427783,-51.915810,-50.759614,-53.785404,-84.638905,0,Fileset 1: TS pulse compressed wideband pings T1
