Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,Variable_index,Variable_name
Ping_index,1967,1968,1969,1970,1971,1977,1978,1979,1980,1981,1982,1983,1988,1989,1990,1991,1992,1993,2495,2496,2497,2498,2503,3271,3273,3274,3275,3276,4312,4313,4314,4315,4316,4318,4319,4327,4328,4329,4330,4331,4332,4333,4334,4336,4338,4339,4340,4341,4346,4347,4348,4349,4350,4352,4353,4358,4360,4361,4362,4363,4368,4369,4370,5628,5629,5630,5631,5632,5633,5634,5641,5642,5643,5644,5645,5646,5647,5648,5654,5655,5656,5657,5658,5667,5668,5669,5675,5677,5678,5679,5680,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5697,5698,5700,5701,5703,5704,5708,5709,5710,5711,5712,5713,5714,5715,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:09:21,15:09:21,15:09:22,15:09:22,15:09:22,15:09:23,15:09:23,15:09:23,15:09:23,15:09:23,15:09:24,15:09:24,15:09:24,15:09:25,15:09:25,15:09:25,15:09:25,15:09:25,15:10:38,15:10:38,15:10:39,15:10:39,15:10:39,15:12:34,15:12:34,15:12:34,15:12:34,15:12:34,15:15:08,15:15:08,15:15:08,15:15:08,15:15:08,15:15:09,15:15:09,15:15:10,15:15:10,15:15:10,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:12,15:15:12,15:15:12,15:15:12,15:15:13,15:15:13,15:15:13,15:15:13,15:15:13,15:15:14,15:15:14,15:15:15,15:15:15,15:15:15,15:15:15,15:15:15,15:15:16,15:15:16,15:15:16,15:18:24,15:18:24,15:18:25,15:18:25,15:18:25,15:18:25,15:18:25,15:18:26,15:18:26,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:28,15:18:28,15:18:28,15:18:29,15:18:29,15:18:30,15:18:30,15:18:30,15:18:31,15:18:32,15:18:32,15:18:32,15:18:32,15:18:33,15:18:33,15:18:33,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:35,15:18:35,15:18:35,15:18:35,15:18:36,15:18:36,15:18:36,15:18:36,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,
Ping_milliseconds,815.0,960.0,104.0,251.0,406.0,291.0,438.0,581.0,731.0,875.0,020.0,171.0,899.0,053.0,199.0,343.0,489.0,632.0,833.0,977.0,120.0,267.0,996.0,219.0,517.0,664.0,813.0,962.0,406.0,553.0,699.0,846.0,993.0,290.0,435.0,603.0,749.0,895.0,040.0,186.0,333.0,479.0,624.0,916.0,215.0,362.0,507.0,655.0,387.0,544.0,689.0,837.0,982.0,277.0,422.0,156.0,446.0,593.0,739.0,884.0,617.0,762.0,911.0,771.0,916.0,065.0,226.0,375.0,523.0,676.0,727.0,885.0,032.0,183.0,340.0,487.0,631.0,782.0,693.0,840.0,991.0,138.0,284.0,631.0,778.0,929.0,831.0,127.0,278.0,427.0,578.0,616.0,767.0,914.0,061.0,213.0,363.0,513.0,663.0,813.0,961.0,108.0,267.0,572.0,721.0,020.0,174.0,782.0,935.0,081.0,228.0,381.0,530.0,688.0,836.0,
Range,14.1286592000,14.1403648000,14.1403648000,14.1988928000,14.1286592000,14.2105984000,14.2223040000,14.1286592000,14.1052480000,14.0818368000,14.0584256000,14.0350144000,14.0233088000,14.0116032000,13.9881920000,13.9764864000,13.9530752000,13.9413696000,14.1286592000,14.1403648000,14.2105984000,14.1520704000,14.1403648000,14.0467200000,14.0818368000,14.1169536000,14.1052480000,14.1286592000,14.0233088000,14.0935424000,14.0467200000,14.0116032000,14.0116032000,13.9530752000,14.0233088000,13.8711360000,13.8711360000,13.8594304000,13.8711360000,13.9062528000,13.9530752000,13.8711360000,13.8594304000,13.8360192000,13.9179584000,13.7774912000,13.7657856000,13.7657856000,13.6955520000,13.6838464000,13.6838464000,13.6721408000,13.6721408000,13.6838464000,13.6721408000,13.5667904000,13.5550848000,13.5433792000,13.5433792000,13.5316736000,13.4965568000,13.4848512000,13.4848512000,13.6838464000,13.6955520000,13.6604352000,13.6253184000,13.6487296000,13.7774912000,13.8243136000,13.9998976000,14.0116032000,14.0116032000,14.0233088000,13.9998976000,14.0584256000,14.0935424000,14.1286592000,14.2340096000,14.3042432000,14.3159488000,14.3393600000,14.3510656000,14.3861824000,14.3861824000,14.3978880000,14.4798272000,14.4681216000,14.4681216000,14.4681216000,14.4915328000,14.5383552000,14.5851776000,14.5266496000,14.5149440000,14.4915328000,14.4915328000,14.4681216000,14.5032384000,14.5266496000,14.5383552000,14.4798272000,14.5500608000,14.4330048000,14.4798272000,14.3393600000,14.4095936000,14.3393600000,14.4095936000,14.3159488000,14.3042432000,14.3627712000,14.3627712000,14.3276544000,14.2925376000,
Depth,14.0833022231,14.1007410530,14.1010785345,14.1569902357,14.0833996376,14.1656895662,14.1881026160,14.1033090381,14.0765902149,14.0489125801,14.0216062469,13.9901565015,13.9779869765,13.9750131164,13.9574017171,13.9453699645,13.9187811576,13.9004235035,14.0927683963,14.1039500991,14.1769201932,14.1127808234,14.0951751014,14.0007036421,14.0447173826,14.0865589511,14.0706394361,14.0964951701,13.9808305809,14.0586430589,14.0151575273,13.9728790652,13.9709551474,13.9147991361,13.9849866806,13.8265179843,13.8328406056,13.8245243300,13.8384849271,13.8682840466,13.9129919121,13.8282646947,13.8159875311,13.7968454473,13.8927323967,13.7608390702,13.7465501996,13.7388874916,13.6543264529,13.6519319452,13.6614879398,13.6520644380,13.6519447621,13.6499611996,13.6301054768,13.5227093203,13.5179172708,13.5094552683,13.5063939504,13.4920547456,13.4561832715,13.4499117211,13.4541392298,13.6420805752,13.6640738510,13.6342485594,13.5980134187,13.6198777324,13.7537195310,13.7908308590,13.9596351357,13.9850463849,13.9923754157,14.0069594467,13.9792614272,14.0342644127,14.0612934530,14.0854750210,14.1920968685,14.2700619511,14.2864009729,14.3087404929,14.3126935354,14.3435656503,14.3430862734,14.3502481366,14.4362965124,14.4513649102,14.4518555775,14.4442098606,14.4534787098,14.4999248544,14.5562947299,14.5123810368,14.5047062207,14.4819865394,14.4781096233,14.4480592040,14.4702662006,14.4843476340,14.4916847590,14.4369639223,14.5104780551,14.3894973006,14.4361352362,14.3079907130,14.3769846540,14.2977396352,14.3668817431,14.2810925283,14.2718831552,14.3355078958,14.3340752134,14.2967973556,14.2557153627,
Region_name,"Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11",
45.000,-38.814772,-44.603438,-52.359911,-41.738457,-40.327526,-35.314765,-40.937709,-43.185322,-41.285181,-39.383484,-38.680942,-39.217630,-44.779848,-47.253342,-45.051048,-43.977095,-44.919382,-46.260595,-35.097876,-40.878070,-47.161614,-48.654198,-49.751353,-47.127457,-35.760658,-35.991743,-48.890751,-38.604802,-47.259138,-44.346590,-45.150241,-42.983402,-63.560744,-40.608579,-38.669173,-43.844262,-49.596677,-58.349532,-48.147277,-42.472398,-41.729503,-43.441849,-46.399504,-43.558103,-42.516744,-43.269912,-47.408968,-46.471457,-38.698023,-37.407332,-37.736057,-38.501848,-40.437991,-45.186321,-46.623047,-44.965896,-44.707691,-44.606967,-44.746730,-44.983397,-42.539865,-40.983900,-39.849031,-56.949357,-56.623101,-55.320299,-45.632608,-45.268723,-57.303102,-52.572601,-54.878810,-57.004989,-57.429046,-73.923575,-58.090525,-60.879026,-57.192739,-58.071122,-72.589453,-51.137118,-42.987417,-41.879394,-41.439705,-34.886603,-34.675991,-34.396954,-33.826053,-35.709053,-36.868287,-38.564404,-36.035719,-39.914209,-53.445659,-39.275530,-43.486946,-51.081806,-49.594707,-47.315193,-58.936777,-52.171272,-48.382154,-47.960016,-50.157916,-50.532088,-51.801470,-56.258984,-53.177501,-53.683687,-53.869566,-52.735454,-50.043515,-48.618629,-48.920400,-52.435847,-61.399572,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-38.830886,-42.725789,-54.653565,-41.201149,-40.770263,-35.181564,-41.153040,-44.718398,-40.093127,-38.199790,-39.378187,-38.570404,-44.436780,-46.650433,-44.297703,-43.986563,-45.007957,-46.859011,-34.838242,-40.726074,-44.655310,-48.686029,-48.534831,-49.869859,-35.588631,-35.515233,-47.597532,-38.588532,-44.792309,-45.106544,-46.767988,-44.246434,-55.059205,-40.907749,-38.588212,-44.623729,-51.195715,-68.885275,-46.656548,-41.223416,-41.052685,-43.038792,-45.808234,-42.855422,-42.501264,-44.779367,-50.933569,-47.591249,-38.776461,-37.663226,-37.957510,-38.844540,-41.152325,-45.526266,-45.590696,-44.013630,-43.911013,-44.274810,-44.650391,-45.160040,-42.213372,-40.623702,-39.700509,-54.981440,-54.994799,-58.547130,-46.581788,-46.173419,-53.724304,-51.281133,-56.443384,-58.008110,-60.785007,-66.432848,-68.636750,-70.668863,-61.450524,-59.961451,-65.174701,-52.414571,-42.207892,-40.804175,-40.444198,-34.944518,-34.386827,-33.937546,-33.717704,-34.555452,-36.403271,-37.715402,-35.499164,-39.949670,-52.270814,-38.832800,-43.292289,-55.149197,-52.144412,-44.482717,-64.074259,-50.034523,-50.017839,-48.934057,-50.857127,-49.692824,-51.761800,-54.675611,-52.431340,-52.213967,-53.051340,-52.828341,-50.556482,-48.818837,-48.405438,-51.744628,-67.315272,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-38.890894,-41.198087,-53.172086,-40.828811,-41.374854,-35.112785,-41.770704,-47.344297,-39.448107,-37.549967,-39.589732,-38.301654,-44.458298,-45.767508,-44.024658,-44.133307,-45.354121,-47.767994,-34.548060,-40.661916,-42.437995,-47.973577,-47.605710,-52.423458,-35.411941,-35.170669,-46.332515,-38.475537,-42.771361,-46.840223,-47.842459,-45.766471,-51.313227,-40.976368,-38.385189,-45.427699,-52.397557,-56.564118,-45.746498,-40.529598,-40.507469,-42.772059,-45.237137,-42.120232,-42.796644,-46.881812,-55.206405,-49.502227,-38.560085,-37.726787,-38.165587,-39.138338,-41.636570,-44.847951,-44.413329,-43.427941,-43.578811,-44.378534,-44.932751,-45.568923,-41.814493,-40.184679,-39.375501,-53.280547,-54.018366,-59.325032,-47.302933,-46.874984,-52.004321,-51.098883,-55.042606,-56.448705,-58.060730,-58.114597,-56.919993,-59.359216,-57.368900,-55.784233,-57.706886,-56.017271,-42.410585,-39.907518,-39.370241,-35.291796,-34.300137,-33.660398,-33.651768,-33.516538,-36.003600,-36.705095,-35.158462,-39.580081,-51.717417,-38.584970,-43.181603,-56.152070,-54.674745,-42.576079,-61.055990,-47.180301,-49.808847,-49.657422,-50.251881,-49.341569,-52.071155,-54.302186,-51.903456,-51.392154,-52.185672,-52.794575,-51.207956,-49.214532,-47.915587,-50.719614,-80.971814,0,Fileset 1: TS pulse compressed wideband pings T1
