Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
14,"Region 14","070kHz_FishTracks",132,0.020478,205,498,0.000000,20220721, 20:57:48.0850,999.00000000,999.00000000,0.00021963959626,78,-36.232447,12.286078,0.3984,0.081939,37.253000,14.8404,0.020478,16.500000,12.258647,12.445328,12.104637,0.086322,4.003445,4.354613,4.205881,4.023669,4.374837,4.226359
16,"Region 16","070kHz_FishTracks",132,0.020224,631,654,0.000000,20220721, 20:58:24.9860,999.00000000,999.00000000,0.00015495380099,12,-36.736835,12.586446,0.3919,-0.058528,2.904000,1.1380,0.020224,16.500000,12.550359,12.605208,12.499215,-0.059266,3.839567,3.944917,3.876147,3.859791,3.965141,3.896371
21,"Region 21","070kHz_FishTracks",132,0.020224,725,867,0.000000,20220721, 20:58:44.6230,999.00000000,999.00000000,0.00024225928392,82,-34.911075,12.525991,1.0453,-0.140467,18.097000,18.9167,0.020224,16.500000,12.509297,12.836905,12.264273,-0.143131,3.628866,4.202440,3.940947,3.649090,4.222664,3.961171
23,"Region 23","070kHz_FishTracks",132,0.020224,1002,1094,0.000000,20220721, 20:59:16.6240,999.00000000,999.00000000,0.00019283551243,10,-38.052557,12.653754,0.1283,0.163878,11.619000,1.4906,0.020224,16.500000,12.632940,12.772411,12.462744,0.163146,3.687394,3.991740,3.859202,3.707618,4.011963,3.879426
24,"Region 24","070kHz_FishTracks",132,0.020224,1250,1256,0.000000,20220721, 20:59:42.5300,999.00000000,999.00000000,0.00008733806720,7,-33.181593,12.809271,1.4312,0.011706,0.753000,1.0777,0.020224,16.500000,12.779018,12.791946,12.765364,0.016687,3.663983,3.675688,3.672344,3.684207,3.695912,3.692568
25,"Region 25","070kHz_FishTracks",132,0.020224,2505,2509,0.000000,20220721, 21:02:18.3170,999.00000000,999.00000000,0.00004519386942,5,-36.202009,12.134025,0.7523,0.023411,0.502000,0.3777,0.020224,16.500000,12.105142,12.118667,12.089886,0.028781,4.331202,4.354613,4.347590,4.351426,4.374837,4.367814
30,"Region 30","070kHz_FishTracks",132,0.020224,2706,2796,0.000000,20220721, 21:02:48.4330,999.00000000,999.00000000,0.00002157047894,34,-45.263928,11.235999,0.5246,-0.140467,11.194000,5.8722,0.020224,16.500000,11.204315,11.295652,11.113581,-0.138507,5.150594,5.337884,5.249834,5.170818,5.358107,5.270058
35,"Region 35","070kHz_FishTracks",132,0.020224,2882,2977,0.000000,20220721, 21:03:10.2380,999.00000000,999.00000000,0.00017607742356,52,-39.990401,11.257636,1.3846,0.046822,11.617000,16.0847,0.020224,16.500000,11.237789,11.420896,11.066902,0.046311,5.045244,5.396412,5.219304,5.065467,5.416635,5.239527
36,"Region 36","070kHz_FishTracks",132,0.020224,4046,4097,0.000000,20220721, 21:05:31.8210,999.00000000,999.00000000,0.00001262374130,34,-47.881438,14.990054,1.6097,0.339462,6.369000,10.2521,0.020224,16.500000,14.971206,15.131898,14.723136,0.351402,1.334568,1.720853,1.492031,1.354792,1.741077,1.512255
37,"Region 37","070kHz_FishTracks",132,0.020224,4105,4214,0.000000,20220721, 21:05:42.8460,999.00000000,999.00000000,0.00002600804503,81,-46.130630,15.208320,1.9896,0.070234,13.636000,27.1298,0.020224,16.500000,15.192366,15.368508,15.023409,0.041183,1.100456,1.428213,1.266889,1.120680,1.448437,1.287112
38,"Region 38","070kHz_FishTracks",132,0.020224,4221,4227,0.000000,20220721, 21:05:50.9510,999.00000000,999.00000000,0.00001344378701,6,-47.846402,15.250446,2.2390,0.093645,0.749000,1.6770,0.020224,16.500000,15.225329,15.294651,15.108194,0.111614,1.170690,1.322863,1.230054,1.190914,1.343087,1.250278
39,"Region 39","070kHz_FishTracks",132,0.020224,4628,4632,0.000000,20220721, 21:06:41.8320,999.00000000,999.00000000,0.00000044600723,5,-55.679365,15.383500,3.2356,0.351168,0.491000,1.5887,0.020224,16.500000,15.360400,15.530359,15.182519,0.347840,0.913167,1.264335,1.098115,0.933391,1.284559,1.118339
43,"Region 43","070kHz_FishTracks",132,0.020224,5065,5182,0.000000,20220721, 21:07:43.6950,999.00000000,999.00000000,0.00009438671614,61,-44.738615,15.288473,1.2184,-0.163878,14.537000,17.7123,0.020224,16.500000,15.263552,15.447161,15.018703,-0.163755,1.030223,1.428213,1.217116,1.050447,1.448437,1.237339
45,"Region 45","070kHz_FishTracks",132,0.020224,5303,5339,0.000000,20220721, 21:08:08.2410,999.00000000,999.00000000,0.00000132997510,11,-53.054631,15.522690,0.9611,0.913037,4.629000,4.4487,0.020224,16.500000,15.488111,15.882446,14.951643,0.910939,0.573704,1.486741,0.972011,0.593928,1.506965,0.992235
46,"Region 46","070kHz_FishTracks",132,0.020224,8700,8706,0.000000,20220721, 21:16:49.4450,999.00000000,999.00000000,0.00000837313811,7,-47.533626,11.807606,0.9439,-0.152173,0.756000,0.7136,0.020224,16.500000,11.780999,11.857539,11.703919,-0.153620,4.588725,4.740898,4.674009,4.608949,4.761122,4.694233
