Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
3,"Region 3","070kHz_FishTracks",337,0.020224,1344,1362,0.000000,20220728, 01:32:43.1690,999.00000000,999.00000000,0.00000603922627,14,-49.172936,15.609418,0.3311,0.140467,3.600000,1.1920,0.020224,16.700000,15.604932,15.694254,15.549212,0.145042,0.984405,1.124872,1.059876,1.004629,1.145096,1.080099
5,"Region 5","070kHz_FishTracks",337,0.020224,1369,1405,0.000000,20220728, 01:32:49.9800,999.00000000,999.00000000,0.00000279892445,35,-49.010107,15.776808,0.2498,0.011706,7.400000,1.8485,0.020224,16.700000,15.769670,15.799476,15.717611,-0.002411,0.879055,0.960994,0.906263,0.899279,0.981218,0.926486
6,"Region 6","070kHz_FishTracks",337,0.020224,1505,1531,0.000000,20220728, 01:33:16.3690,999.00000000,999.00000000,0.00007534179278,18,-43.235573,15.598362,0.2003,0.245818,5.199000,1.0414,0.020224,16.700000,15.588236,15.666013,15.362364,0.255374,1.007816,1.300456,1.093007,1.028040,1.320680,1.113231
7,"Region 7","070kHz_FishTracks",337,0.020224,1621,1635,0.000000,20220728, 01:33:38.5680,999.00000000,999.00000000,0.00010202707831,14,-40.952617,15.561759,0.2335,0.058528,2.810000,0.6561,0.020224,16.700000,15.550767,15.572247,15.479359,0.069486,1.101461,1.183400,1.118630,1.121685,1.203624,1.138853
8,"Region 8","070kHz_FishTracks",337,0.020224,1692,1725,0.000000,20220728, 01:33:54.5680,999.00000000,999.00000000,0.00000749166795,29,-45.624669,13.587376,0.1773,0.093645,6.601000,1.1705,0.020224,16.700000,13.585410,13.648243,13.503119,0.095356,3.032885,3.173352,3.088659,3.053109,3.193576,3.108883
9,"Region 9","070kHz_FishTracks",337,0.020224,1774,1790,0.000000,20220728, 01:34:09.5680,999.00000000,999.00000000,0.00008638656204,14,-42.598405,15.563431,0.2002,0.046822,3.401000,0.6808,0.020224,16.700000,15.549854,15.580796,15.491565,0.053487,1.089756,1.171695,1.119708,1.109979,1.191919,1.139932
11,"Region 11","070kHz_FishTracks",337,0.020224,1808,1962,0.000000,20220728, 01:34:30.1790,999.00000000,999.00000000,0.00001152457783,137,-48.121799,15.648507,0.1468,0.351168,30.799000,4.5216,0.020224,16.700000,15.641436,15.806642,15.386535,0.345321,0.855644,1.288751,1.029302,0.875867,1.308975,1.049526
12,"Region 12","070kHz_FishTracks",337,0.020224,1969,2180,0.000000,20220728, 01:35:08.1690,999.00000000,999.00000000,0.00000997798111,198,-46.505154,16.043589,0.1540,0.515046,42.600000,6.5586,0.020224,16.700000,16.035162,16.243860,15.733103,0.507255,0.422536,0.937583,0.648173,0.442760,0.957807,0.668397
14,"Region 14","070kHz_FishTracks",337,0.020224,3269,3408,0.000000,20220728, 01:39:22.5690,999.00000000,999.00000000,0.00003006529564,126,-45.766719,15.796521,0.3116,0.140467,27.999000,8.7250,0.020224,16.700000,15.791630,15.845822,15.585031,0.145989,0.832232,1.078050,0.881521,0.852456,1.098274,0.901745
15,"Region 15","070kHz_FishTracks",337,0.020224,3431,3723,0.000000,20220728, 01:40:10.5690,999.00000000,999.00000000,0.00003555929675,237,-45.906985,15.763196,0.2604,0.292640,58.600000,15.2567,0.020224,16.700000,15.760032,15.872396,15.470390,0.296007,0.808821,1.206812,0.907020,0.829045,1.227035,0.927244
18,"Region 18","070kHz_FishTracks",337,0.020224,3791,3833,0.000000,20220728, 01:40:57.7690,999.00000000,999.00000000,0.00009622046988,42,-39.263674,15.553398,0.2248,0.234112,8.400000,1.8885,0.020224,16.700000,15.550803,15.662080,15.411052,0.237094,1.019522,1.265340,1.126097,1.039746,1.285563,1.146321
19,"Region 19","070kHz_FishTracks",337,0.020224,3851,3941,0.000000,20220728, 01:41:14.5700,999.00000000,999.00000000,0.00001734828151,77,-48.061172,15.661333,0.3476,0.327757,18.200000,6.3256,0.020224,16.700000,15.660309,15.837303,15.472770,0.329196,0.843938,1.206812,1.009553,0.864162,1.227035,1.029777
20,"Region 20","070kHz_FishTracks",337,0.020224,3949,4065,0.000000,20220728, 01:41:36.9690,999.00000000,999.00000000,0.00000130308314,83,-51.964913,15.875191,0.2514,0.035117,23.201000,5.8317,0.020224,16.700000,15.871349,15.905296,15.822731,0.022436,0.773704,0.855644,0.807020,0.793928,0.875867,0.827244
21,"Region 21","070kHz_FishTracks",337,0.020224,4073,4085,0.000000,20220728, 01:41:51.3700,999.00000000,999.00000000,0.00000156037566,5,-51.480269,15.847041,0.0764,-0.035117,2.399000,0.1833,0.020224,16.700000,15.829598,15.855643,15.818584,-0.037059,0.808821,0.843938,0.838085,0.829045,0.864162,0.858309
22,"Region 22","070kHz_FishTracks",337,0.020224,4125,4206,0.000000,20220728, 01:42:08.7700,999.00000000,999.00000000,0.00000984943900,66,-48.818953,15.797594,0.2891,-0.011706,16.500000,4.7702,0.020224,16.700000,15.793372,15.848612,15.751598,-0.001368,0.832232,0.925877,0.879911,0.852456,0.946101,0.900135
23,"Region 23","070kHz_FishTracks",337,0.020224,4218,4222,0.000000,20220728, 01:42:20.0690,999.00000000,999.00000000,0.00000034173526,5,-51.964650,15.790854,0.2507,0.000000,0.800000,0.2006,0.020224,16.700000,15.788210,15.789327,15.787395,0.001611,0.890760,0.890760,0.890760,0.910984,0.910984,0.910984
24,"Region 24","070kHz_FishTracks",337,0.020224,4232,4241,0.000000,20220728, 01:42:23.2700,999.00000000,999.00000000,0.00000143232241,7,-51.633505,15.767443,0.1459,0.000000,1.800000,0.2627,0.020224,16.700000,15.765470,15.766741,15.764543,-0.002199,0.914172,0.914172,0.914172,0.934395,0.934395,0.934395
25,"Region 25","070kHz_FishTracks",337,0.020224,4250,4296,0.000000,20220728, 01:42:30.6690,999.00000000,999.00000000,0.00000757599397,44,-48.378970,15.711310,0.3458,-0.152173,9.200000,3.1813,0.020224,16.700000,15.708388,15.775998,15.626649,-0.149349,0.902466,1.054639,0.971454,0.922690,1.074863,0.991678
26,"Region 26","070kHz_FishTracks",337,0.020224,4315,4351,0.000000,20220728, 01:42:42.6690,999.00000000,999.00000000,0.00004803436921,35,-42.846664,15.525639,0.3042,0.093645,7.200000,2.1903,0.020224,16.700000,15.520439,15.583446,15.450213,0.083334,1.089756,1.230223,1.156667,1.109979,1.250447,1.176891
27,"Region 27","070kHz_FishTracks",337,0.020224,4433,4449,0.000000,20220728, 01:43:04.2690,999.00000000,999.00000000,0.00000383444776,15,-50.468342,15.186065,0.2621,0.046822,3.200000,0.8387,0.020224,16.700000,15.171835,15.235851,15.152294,0.043647,1.429218,1.511157,1.494287,1.449442,1.531381,1.514511
28,"Region 28","070kHz_FishTracks",337,0.020224,4464,4589,0.000000,20220728, 01:43:21.4680,999.00000000,999.00000000,0.00007323663319,119,-41.843217,15.494181,0.4057,0.421402,25.200000,10.2230,0.020224,16.700000,15.489082,15.666541,15.166461,0.413619,1.007816,1.511157,1.184144,1.028040,1.531381,1.204367
29,"Region 29","070kHz_FishTracks",337,0.020224,4607,4617,0.000000,20220728, 01:43:38.6680,999.00000000,999.00000000,0.00002109452129,8,-46.634047,15.207038,0.2116,0.000000,1.999000,0.4230,0.020224,16.700000,15.188928,15.200260,15.174502,-0.000629,1.464335,1.487746,1.476573,1.484559,1.507970,1.496796
30,"Region 30","070kHz_FishTracks",337,0.020224,4625,4649,0.000000,20220728, 01:43:43.6700,999.00000000,999.00000000,0.00007879127460,17,-43.446474,15.489263,0.2861,0.304346,4.800000,1.3734,0.020224,16.700000,15.476327,15.582445,15.259371,0.312441,1.089756,1.405807,1.208450,1.109979,1.426031,1.228674
31,"Region 31","070kHz_FishTracks",337,0.020224,4698,4740,0.000000,20220728, 01:44:00.0690,999.00000000,999.00000000,0.00009290977838,38,-40.648464,15.447387,0.3008,0.234112,8.399000,2.5265,0.020224,16.700000,15.437600,15.594117,15.323741,0.233022,1.078050,1.347279,1.226276,1.098274,1.367503,1.246499
32,"Region 32","070kHz_FishTracks",337,0.020224,4762,4786,0.000000,20220728, 01:44:11.0690,999.00000000,999.00000000,0.00000426802813,18,-49.588816,15.315477,0.1500,0.023411,4.799000,0.7199,0.020224,16.700000,15.305377,15.360652,15.288641,0.025709,1.312162,1.382396,1.366476,1.332386,1.402619,1.386700
33,"Region 33","070kHz_FishTracks",337,0.020224,4806,4835,0.000000,20220728, 01:44:20.2690,999.00000000,999.00000000,0.00004421464519,28,-42.700311,15.277480,0.5045,0.128762,5.800000,2.9260,0.020224,16.700000,15.267948,15.336113,15.174822,0.128648,1.335573,1.499452,1.409709,1.355797,1.519675,1.429932
34,"Region 34","070kHz_FishTracks",337,0.020224,4854,4880,0.000000,20220728, 01:44:29.6690,999.00000000,999.00000000,0.00004862437560,25,-42.545777,15.277213,0.3832,0.163878,5.201000,1.9932,0.020224,16.700000,15.266471,15.366675,15.195201,0.159927,1.300456,1.476040,1.400171,1.320680,1.496264,1.420394
35,"Region 35","070kHz_FishTracks",337,0.020224,4908,4928,0.000000,20220728, 01:44:40.0680,999.00000000,999.00000000,0.00003975960637,19,-44.113355,15.132876,0.3823,0.000000,3.990000,1.5255,0.020224,16.700000,15.121762,15.155930,15.077873,-0.003194,1.511157,1.593096,1.549619,1.531381,1.613320,1.569842
36,"Region 36","070kHz_FishTracks",337,0.020224,4971,4988,0.000000,20220728, 01:44:52.2690,999.00000000,999.00000000,0.00002980293766,15,-45.360747,15.001897,0.2580,0.093645,3.402000,0.8776,0.020224,16.700000,14.988301,15.069151,14.956926,0.086257,1.593096,1.710152,1.678612,1.613320,1.730376,1.698836
38,"Region 38","070kHz_FishTracks",337,0.020224,5095,5116,0.000000,20220728, 01:45:17.6670,999.00000000,999.00000000,0.00009196004252,13,-39.308117,14.847203,0.2022,0.163878,4.200000,0.8493,0.020224,16.700000,14.830959,14.968997,14.754070,0.167374,1.698447,1.909148,1.826942,1.718671,1.929371,1.847166
