Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",345,0.020224,187,210,0.000000,20220729, 00:29:25.7640,999.00000000,999.00000000,0.00001327875581,15,-48.726705,12.265128,0.7581,-0.093645,4.600000,3.4871,0.020224,13.000000,12.258772,12.335115,12.185916,-0.098920,0.643912,0.784380,0.725364,0.664136,0.804603,0.745588
2,"Region 2","070kHz_FishTracks",345,0.020224,1728,1769,0.000000,20220729, 00:34:35.9630,999.00000000,999.00000000,0.00001733863421,20,-48.556628,12.221232,0.3802,0.163878,8.209000,3.1211,0.020224,13.000000,12.211090,12.293655,12.057692,0.162160,0.679029,0.913141,0.765706,0.699253,0.933365,0.785930
3,"Region 3","070kHz_FishTracks",345,0.020224,1806,1824,0.000000,20220729, 00:34:49.3640,999.00000000,999.00000000,0.00000244901454,9,-51.338674,12.292181,0.3907,0.000000,3.611000,1.4108,0.020224,13.000000,12.281708,12.310675,12.249852,0.000593,0.655618,0.725852,0.690119,0.675842,0.746075,0.710342
4,"Region 4","070kHz_FishTracks",345,0.020224,3404,3505,0.000000,20220729, 00:40:17.4650,999.00000000,999.00000000,0.00002078129459,84,-48.412616,12.253394,0.8256,0.023411,20.201000,16.6772,0.020224,13.000000,12.247829,12.344420,12.149176,0.025192,0.632207,0.819496,0.730155,0.652431,0.839720,0.750379
5,"Region 5","070kHz_FishTracks",345,0.020224,3513,3620,0.000000,20220729, 00:40:39.8640,999.00000000,999.00000000,0.00003552239550,67,-47.226318,12.295073,0.6987,-0.011706,21.400000,14.9514,0.020224,13.000000,12.286730,12.397065,12.129342,-0.020645,0.573679,0.842908,0.690735,0.593903,0.863131,0.710959
6,"Region 6","070kHz_FishTracks",345,0.020224,3659,3666,0.000000,20220729, 00:40:59.0640,999.00000000,999.00000000,0.00000049293132,5,-55.182535,12.281516,0.2948,-0.023411,1.400000,0.4127,0.020224,13.000000,12.269094,12.300852,12.233553,-0.024085,0.667324,0.737557,0.700977,0.687547,0.757781,0.721201
7,"Region 7","070kHz_FishTracks",345,0.020224,3673,3839,0.000000,20220729, 00:41:17.8650,999.00000000,999.00000000,0.00000246437808,115,-51.940925,12.300244,0.5652,0.046822,33.201000,18.7652,0.020224,13.000000,12.292384,12.339843,12.228563,0.051243,0.632207,0.737557,0.681518,0.652431,0.757781,0.701741
8,"Region 8","070kHz_FishTracks",345,0.020224,3949,4052,0.000000,20220729, 00:42:06.6720,999.00000000,999.00000000,0.00002602646354,53,-48.274812,12.261285,0.7446,-0.140467,20.591000,15.3319,0.020224,13.000000,12.255022,12.382180,12.123520,-0.133315,0.597090,0.854613,0.721237,0.617314,0.874837,0.741461
9,"Region 9","070kHz_FishTracks",345,0.020224,4291,4315,0.000000,20220729, 00:43:07.3640,999.00000000,999.00000000,0.00000455715766,11,-52.211696,12.296201,0.4274,0.140467,4.799000,2.0512,0.020224,13.000000,12.284646,12.394163,12.148796,0.143908,0.573679,0.819496,0.694481,0.593903,0.839720,0.714704
10,"Region 10","070kHz_FishTracks",345,0.020224,6023,6078,0.000000,20220729, 00:48:56.8640,999.00000000,999.00000000,0.00001051460204,37,-49.417694,12.178570,0.4813,0.023411,11.000000,5.2948,0.020224,13.000000,12.170031,12.274097,11.976937,0.022594,0.702440,0.995080,0.814166,0.722664,1.015304,0.834390
11,"Region 11","070kHz_FishTracks",345,0.020224,6108,6131,0.000000,20220729, 00:49:10.7640,999.00000000,999.00000000,0.00001111413521,9,-49.037024,12.163419,1.0977,0.175584,4.601000,5.0506,0.020224,13.000000,12.157318,12.276048,12.049073,0.170309,0.702440,0.924847,0.829983,0.722664,0.945071,0.850206
12,"Region 12","070kHz_FishTracks",345,0.020224,6145,6174,0.000000,20220729, 00:49:18.7640,999.00000000,999.00000000,0.00000167516643,15,-51.612860,12.294001,0.6735,0.035117,5.800000,3.9063,0.020224,13.000000,12.286876,12.348684,12.228621,0.025073,0.632207,0.749263,0.686833,0.652431,0.769487,0.707057
