Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,Variable_index,Variable_name
Ping_index,1103,1109,1110,1111,1112,1119,1120,1121,1122,1123,1128,1132,1133,1134,1138,1139,1141,1142,1143,1144,1153,1155,1156,1162,1166,1167,1168,1172,1173,1174,1175,1176,1177,1178,1179,1180,1185,1186,1187,1188,1189,1190,1191,1193,1194,1195,1196,1203,1204,1205,1206,1207,1208,1209,1210,1211,1231,1232,1233,1234,1237,1239,1240,1241,1242,1243,1244,1249,1250,1251,1252,1264,1268,1269,1270,1276,1277,1283,1284,1285,1286,1287,1288,1962,1963,1964,1965,1966,1967,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2044,2045,2046,2050,2051,2055,2056,2057,2058,2059,2060,2062,2066,2067,2069,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:27:58,15:27:58,15:27:59,15:27:59,15:27:59,15:28:00,15:28:00,15:28:00,15:28:00,15:28:01,15:28:01,15:28:02,15:28:02,15:28:02,15:28:03,15:28:03,15:28:03,15:28:04,15:28:04,15:28:04,15:28:05,15:28:06,15:28:06,15:28:07,15:28:07,15:28:07,15:28:08,15:28:08,15:28:08,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:10,15:28:10,15:28:11,15:28:11,15:28:11,15:28:11,15:28:11,15:28:12,15:28:12,15:28:12,15:28:12,15:28:13,15:28:13,15:28:13,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:17,15:28:18,15:28:18,15:28:18,15:28:18,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:20,15:28:20,15:28:20,15:28:21,15:28:23,15:28:23,15:28:23,15:28:23,15:28:24,15:28:25,15:28:25,15:28:26,15:28:26,15:28:26,15:28:26,15:28:26,15:30:11,15:30:11,15:30:11,15:30:11,15:30:12,15:30:12,15:30:12,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:17,15:30:17,15:30:17,15:30:17,15:30:17,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:24,15:30:24,15:30:24,15:30:25,15:30:25,15:30:25,15:30:25,15:30:26,15:30:26,15:30:26,15:30:26,15:30:26,15:30:27,15:30:27,15:30:28,
Ping_milliseconds,059.0,974.0,130.0,293.0,449.0,534.0,689.0,841.0,998.0,158.0,970.0,585.0,747.0,899.0,508.0,661.0,971.0,124.0,279.0,431.0,808.0,115.0,267.0,183.0,807.0,967.0,118.0,724.0,891.0,045.0,195.0,358.0,510.0,675.0,826.0,979.0,764.0,931.0,085.0,239.0,393.0,546.0,699.0,012.0,170.0,327.0,491.0,560.0,713.0,865.0,016.0,169.0,322.0,492.0,645.0,807.0,899.0,053.0,206.0,361.0,818.0,124.0,278.0,446.0,598.0,751.0,904.0,676.0,828.0,980.0,135.0,022.0,634.0,787.0,939.0,854.0,006.0,993.0,144.0,295.0,447.0,600.0,751.0,399.0,557.0,711.0,863.0,018.0,173.0,962.0,121.0,274.0,436.0,589.0,742.0,897.0,053.0,209.0,363.0,516.0,671.0,826.0,977.0,133.0,286.0,439.0,597.0,750.0,911.0,063.0,216.0,383.0,539.0,691.0,843.0,018.0,171.0,325.0,476.0,781.0,087.0,241.0,393.0,554.0,705.0,859.0,013.0,167.0,319.0,480.0,633.0,801.0,954.0,106.0,263.0,414.0,578.0,741.0,894.0,057.0,211.0,365.0,522.0,673.0,826.0,987.0,140.0,292.0,444.0,596.0,750.0,905.0,055.0,207.0,359.0,512.0,671.0,821.0,128.0,278.0,429.0,050.0,204.0,823.0,981.0,133.0,285.0,438.0,590.0,909.0,538.0,689.0,003.0,
Range,11.9045952000,11.8811840000,11.8694784000,11.8694784000,11.8694784000,11.8928896000,11.8928896000,11.8928896000,11.8811840000,11.8811840000,11.8694784000,11.9280064000,11.9397120000,11.9397120000,12.0918848000,11.9397120000,11.9631232000,11.9631232000,11.9514176000,11.9280064000,11.9631232000,11.9631232000,11.9397120000,11.9163008000,11.9397120000,11.9397120000,11.9514176000,11.9631232000,11.9397120000,11.9163008000,11.9045952000,11.8928896000,12.0684736000,11.9397120000,11.9748288000,11.9631232000,11.9045952000,11.9045952000,11.9280064000,11.9280064000,11.9280064000,11.9280064000,11.9045952000,11.8694784000,11.8577728000,11.8577728000,12.0450624000,11.8928896000,11.8811840000,11.8811840000,11.8811840000,11.8928896000,11.9045952000,11.9045952000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9163008000,12.0801792000,11.9163008000,11.9163008000,11.9163008000,11.9514176000,11.9514176000,11.9514176000,11.9514176000,11.9748288000,11.9748288000,12.1621184000,11.9748288000,11.9748288000,11.9982400000,11.9631232000,11.9631232000,11.9631232000,11.9748288000,11.9865344000,11.9865344000,12.7591040000,12.7473984000,12.7473984000,12.7239872000,12.7005760000,12.6654592000,12.5484032000,12.5249920000,12.5249920000,12.5015808000,12.4898752000,12.4781696000,12.4664640000,12.4547584000,12.4313472000,12.4079360000,12.3845248000,12.3611136000,12.3494080000,12.3259968000,12.3142912000,12.3142912000,12.3025856000,12.3025856000,12.3025856000,12.2908800000,12.2791744000,12.2557632000,12.2323520000,12.2089408000,12.1972352000,12.1855296000,12.1738240000,12.1738240000,12.1738240000,12.1621184000,12.1387072000,12.2557632000,12.1152960000,12.0918848000,12.0801792000,12.0684736000,12.1855296000,12.0684736000,12.0801792000,12.0801792000,12.0801792000,12.0801792000,12.0684736000,12.0567680000,12.0450624000,12.0216512000,12.0216512000,12.0099456000,12.0216512000,12.0216512000,12.0216512000,12.0099456000,11.9982400000,11.9865344000,11.9748288000,11.9631232000,11.9748288000,11.9865344000,11.9982400000,12.0099456000,12.0099456000,12.0099456000,11.9982400000,11.9982400000,11.9865344000,11.9748288000,11.9514176000,11.9280064000,11.9280064000,11.9280064000,11.9397120000,11.9280064000,11.9865344000,11.9748288000,11.9514176000,11.9397120000,11.9397120000,11.9514176000,11.9514176000,11.9748288000,11.9865344000,11.9982400000,11.9982400000,11.9982400000,
Depth,11.8672200274,11.8462968506,11.8400160018,11.8404661911,11.8338824781,11.8646622142,11.8713996243,11.8715629736,11.8534638863,11.8440797376,11.8333878117,11.9047817010,11.9120816654,11.9040224934,12.0644184137,11.9211129481,11.9506469676,11.9487037789,11.9294726467,11.8908954961,11.9408866074,11.9409077484,11.9120916473,11.8794560321,11.9132344704,11.9086550204,11.9132339610,11.9234256092,11.9048898406,11.8811994009,11.8712302251,11.8603732493,12.0436742026,11.9109304557,11.9422768420,11.9270720100,11.8705983525,11.8754556356,11.9032740248,11.9051529048,11.9017971763,11.8974022083,11.8673329949,11.8303541224,11.8229990155,11.8233444905,12.0181767978,11.8615354327,11.8484623078,11.8421854172,11.8451059470,11.8562808875,11.8707106225,11.8751329137,11.8684766106,11.8566793539,11.8804583792,11.8921348182,11.8727757717,11.8597797379,11.8662958397,11.8864939222,11.8818097496,12.0492111342,11.8779929336,11.8776426772,11.8764291722,11.9156403551,11.9189181393,11.9192187153,11.9155755024,11.9356877571,11.9394511804,12.1296337470,11.9355301438,11.9373582434,11.9633913953,11.9236415206,11.9266842799,11.9324494656,11.9441724820,11.9540542131,11.9552134583,12.7265199795,12.7263435358,12.7318420121,12.7081582006,12.6773664607,12.6260315645,12.5063725086,12.4937595762,12.4991211751,12.4778028680,12.4663493577,12.4555265382,12.4429826085,12.4307836201,12.4046648089,12.3769213548,12.3467897205,12.3214475662,12.3100949693,12.2909188373,12.2853271002,12.2903593658,12.2828988759,12.2873815028,12.2904622983,12.2810419137,12.2696079081,12.2438446665,12.2137699686,12.1857340652,12.1738250535,12.1626905296,12.1530118026,12.1548469122,12.1572439978,12.1481291782,12.1248354334,12.2488171011,12.1002172837,12.0764115509,12.0654267641,12.0534025654,12.1752347769,12.0498223389,12.0589723894,12.0606495477,12.0646694945,12.0681177452,12.0583631406,12.0471097417,12.0320364116,12.0025281236,11.9984422857,11.9876845162,12.0029453328,12.0041911537,12.0043259300,11.9938956965,11.9839450913,11.9686491368,11.9484903337,11.9325927766,11.9432100700,11.9575426718,11.9665210545,11.9746951824,11.9695454529,11.9707811158,11.9615705637,11.9641524963,11.9534476036,11.9461168870,11.9272402739,11.9074074216,11.9016695963,11.8969623568,11.9113037800,11.8941241764,11.9530636072,11.9352478599,11.9122477314,11.9010049505,11.9045383921,11.9205552479,11.9229842657,11.9425031412,11.9495549398,11.9590975782,11.9584592506,11.9588911794,
Region_name,"Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
160.000,-45.707279,-45.483913,-41.747338,-46.426195,-45.007290,-50.082051,-44.253821,-44.282557,-46.401638,-44.180423,-44.016535,-45.193383,-48.224964,-47.267818,-50.666219,-46.031514,-42.109079,-45.393250,-45.280930,-45.157890,-48.971173,-51.359843,-42.795001,-44.503037,-46.191230,-51.739928,-48.396827,-52.575301,-46.384647,-46.262904,-39.537794,-42.394600,-52.317047,-43.782996,-46.677928,-45.358231,-45.231724,-40.349303,-43.637125,-45.748872,-39.594217,-41.920793,-47.430502,-40.642828,-37.256478,-45.440227,-59.601272,-50.221534,-54.249124,-57.162146,-36.925821,-41.947853,-45.086752,-51.410768,-46.361064,-42.655527,-50.031186,-45.863352,-53.726197,-52.579032,-45.899655,-48.861511,-43.197564,-51.717707,-43.540925,-41.596335,-42.696642,-48.746736,-49.699317,-45.590583,-39.560260,-46.613022,-45.361976,-44.504668,-40.973685,-54.828245,-45.644777,-39.490674,-40.368463,-40.889396,-46.200155,-42.812964,-44.193132,-47.247685,-49.686677,-49.905319,-40.958271,-38.352681,-35.122698,-44.530087,-42.499079,-48.533139,-41.451235,-40.895681,-49.941580,-37.248936,-47.965350,-58.574581,-37.425530,-44.950613,-34.791981,-37.885266,-34.243254,-40.750488,-36.679139,-47.395138,-51.915927,-44.148804,-48.827580,-47.629019,-45.032173,-42.554814,-45.400481,-38.481698,-38.016869,-41.564826,-38.487083,-43.434483,-42.913702,-48.822172,-47.981002,-48.596355,-41.170318,-49.716155,-44.112679,-48.116439,-42.498772,-50.888576,-45.965294,-48.071409,-46.580498,-52.878907,-50.229537,-46.979376,-48.751826,-42.896568,-41.294530,-41.123283,-46.090130,-51.043844,-48.055757,-52.217348,-52.054696,-45.040160,-38.440575,-37.682423,-37.830694,-39.448931,-47.845124,-48.975015,-53.775344,-51.553245,-51.356635,-45.130729,-40.704463,-46.437866,-43.459449,-49.944863,-56.459600,-45.875014,-38.981163,-43.608319,-49.405974,-38.621743,-38.297935,-39.948005,-47.739659,-44.210730,-46.816665,-55.952148,-56.307565,-49.619189,-42.038381,0,Fileset 1: TS pulse compressed wideband pings T2
160.500,-45.542227,-44.639818,-41.557376,-46.336478,-49.627386,-47.932066,-43.414607,-44.761863,-47.562291,-42.173360,-44.545514,-45.533027,-48.924407,-45.234954,-52.712861,-45.388132,-40.807190,-43.694765,-43.115573,-50.336651,-49.340301,-50.456196,-45.107107,-44.586668,-48.112867,-52.475582,-48.600997,-56.467395,-49.288030,-46.519240,-39.626209,-55.298299,-52.838666,-42.084061,-46.163216,-46.187654,-49.986939,-39.962949,-42.604861,-45.168895,-40.494781,-42.531158,-43.415138,-42.067438,-37.490049,-45.201882,-49.991376,-45.829820,-49.839832,-63.060522,-36.733873,-43.188801,-51.944987,-51.125854,-45.088772,-43.211404,-55.055532,-49.314018,-47.820164,-50.013825,-51.200588,-45.571036,-46.025876,-49.464997,-40.572275,-40.809354,-42.329019,-50.119939,-50.396430,-44.624275,-41.195118,-48.650200,-45.487193,-44.760026,-41.191226,-47.488023,-48.291062,-40.136156,-43.862467,-43.659788,-53.188537,-41.783866,-46.324613,-48.554863,-56.033963,-50.711784,-42.887357,-40.032259,-36.999174,-44.322276,-45.729957,-43.325790,-42.616163,-38.288149,-45.373163,-38.604306,-50.554263,-49.804578,-39.838388,-40.525711,-34.113721,-43.516460,-36.522157,-46.398068,-36.323582,-44.760262,-46.684082,-43.546269,-52.786264,-49.275782,-49.884842,-42.561899,-48.542542,-38.445766,-37.547591,-46.378112,-38.499350,-51.420077,-43.653762,-53.421814,-44.399501,-51.312498,-39.690923,-60.041846,-48.669327,-51.872395,-48.871261,-55.700683,-45.416265,-45.900103,-44.698246,-47.284360,-53.055603,-50.030144,-51.521234,-41.791983,-40.228131,-42.650841,-44.306712,-51.693427,-49.241672,-57.444125,-51.002585,-43.870676,-39.094155,-38.293673,-38.442491,-38.963611,-46.494929,-49.594599,-55.836553,-48.739172,-52.074909,-44.688973,-40.876554,-45.228887,-44.045850,-50.936522,-49.406186,-44.167951,-39.462134,-44.722261,-49.195443,-39.471296,-37.370884,-41.482310,-52.581082,-44.427785,-47.460953,-56.298528,-59.928368,-46.583668,-41.384175,0,Fileset 1: TS pulse compressed wideband pings T2
161.000,-44.981710,-44.116418,-42.153189,-45.527447,-56.599763,-46.219639,-42.663739,-45.445073,-48.510331,-41.045163,-45.329263,-47.011483,-49.525202,-44.055019,-52.506086,-42.933354,-40.279710,-42.498565,-41.821298,-53.968254,-48.773277,-51.429841,-47.494536,-44.983988,-49.421978,-48.343811,-47.562389,-46.480455,-52.947276,-46.592493,-40.164721,-47.347582,-51.208193,-40.971312,-46.897675,-47.310918,-49.946613,-40.440816,-42.254371,-45.522149,-43.094742,-42.949379,-41.465870,-44.081809,-38.097310,-46.223251,-46.228777,-43.538639,-47.954717,-67.803285,-37.169159,-43.312576,-49.719208,-47.858193,-43.520671,-44.174988,-60.176538,-52.458842,-44.766561,-48.083968,-56.075597,-43.292271,-48.179473,-47.596469,-39.093780,-40.678869,-41.863236,-54.007600,-51.386619,-43.461176,-42.378859,-51.495676,-42.746273,-45.271412,-40.953534,-44.377496,-49.577226,-40.988030,-48.022446,-46.905855,-46.558830,-41.519561,-49.316435,-50.295964,-57.287046,-47.198145,-45.441058,-42.568908,-40.192063,-44.093045,-49.328059,-40.314916,-44.624484,-36.757114,-41.386304,-40.966124,-46.447177,-43.704877,-43.761342,-37.986959,-34.141697,-69.620071,-40.622337,-55.396140,-36.616101,-43.042040,-44.296474,-43.602067,-52.587008,-50.974394,-53.249258,-43.952716,-49.509643,-38.939622,-37.636982,-53.167971,-39.622214,-56.965400,-45.540255,-54.099778,-43.420998,-51.245676,-39.184524,-49.656388,-55.530188,-44.669549,-57.154969,-64.508391,-45.066812,-44.167129,-44.013828,-44.101184,-57.016813,-60.192758,-47.610771,-41.906298,-40.313959,-45.159886,-44.128800,-55.094371,-52.716420,-53.246956,-46.512180,-43.204084,-39.825101,-39.201058,-39.682113,-39.182254,-43.954726,-49.246156,-59.584412,-48.291282,-52.968234,-45.511359,-41.554236,-45.079094,-44.283221,-48.864173,-44.362917,-43.450782,-40.559433,-47.992756,-50.741758,-41.436337,-37.159534,-44.684675,-54.198523,-45.340687,-48.910089,-55.207531,-49.294294,-45.570701,-41.528620,0,Fileset 1: TS pulse compressed wideband pings T2
