Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,Variable_index,Variable_name
Ping_index,1103,1109,1110,1111,1112,1119,1120,1121,1122,1123,1128,1132,1133,1134,1138,1139,1141,1142,1143,1144,1153,1155,1156,1162,1166,1167,1168,1172,1173,1174,1175,1176,1177,1178,1179,1180,1185,1186,1187,1188,1189,1190,1191,1193,1194,1195,1196,1203,1204,1205,1206,1207,1208,1209,1210,1211,1231,1232,1233,1234,1237,1239,1240,1241,1242,1243,1244,1249,1250,1251,1252,1264,1268,1269,1270,1276,1277,1283,1284,1285,1286,1287,1288,1962,1963,1964,1965,1966,1967,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2044,2045,2046,2050,2051,2055,2056,2057,2058,2059,2060,2062,2066,2067,2069,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:27:58,15:27:58,15:27:59,15:27:59,15:27:59,15:28:00,15:28:00,15:28:00,15:28:00,15:28:01,15:28:01,15:28:02,15:28:02,15:28:02,15:28:03,15:28:03,15:28:03,15:28:04,15:28:04,15:28:04,15:28:05,15:28:06,15:28:06,15:28:07,15:28:07,15:28:07,15:28:08,15:28:08,15:28:08,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:10,15:28:10,15:28:11,15:28:11,15:28:11,15:28:11,15:28:11,15:28:12,15:28:12,15:28:12,15:28:12,15:28:13,15:28:13,15:28:13,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:17,15:28:18,15:28:18,15:28:18,15:28:18,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:20,15:28:20,15:28:20,15:28:21,15:28:23,15:28:23,15:28:23,15:28:23,15:28:24,15:28:25,15:28:25,15:28:26,15:28:26,15:28:26,15:28:26,15:28:26,15:30:11,15:30:11,15:30:11,15:30:11,15:30:12,15:30:12,15:30:12,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:17,15:30:17,15:30:17,15:30:17,15:30:17,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:24,15:30:24,15:30:24,15:30:25,15:30:25,15:30:25,15:30:25,15:30:26,15:30:26,15:30:26,15:30:26,15:30:26,15:30:27,15:30:27,15:30:28,
Ping_milliseconds,059.0,974.0,130.0,293.0,449.0,534.0,689.0,841.0,998.0,158.0,970.0,585.0,747.0,899.0,508.0,661.0,971.0,124.0,279.0,431.0,808.0,115.0,267.0,183.0,807.0,967.0,118.0,724.0,891.0,045.0,195.0,358.0,510.0,675.0,826.0,979.0,764.0,931.0,085.0,239.0,393.0,546.0,699.0,012.0,170.0,327.0,491.0,560.0,713.0,865.0,016.0,169.0,322.0,492.0,645.0,807.0,899.0,053.0,206.0,361.0,818.0,124.0,278.0,446.0,598.0,751.0,904.0,676.0,828.0,980.0,135.0,022.0,634.0,787.0,939.0,854.0,006.0,993.0,144.0,295.0,447.0,600.0,751.0,399.0,557.0,711.0,863.0,018.0,173.0,962.0,121.0,274.0,436.0,589.0,742.0,897.0,053.0,209.0,363.0,516.0,671.0,826.0,977.0,133.0,286.0,439.0,597.0,750.0,911.0,063.0,216.0,383.0,539.0,691.0,843.0,018.0,171.0,325.0,476.0,781.0,087.0,241.0,393.0,554.0,705.0,859.0,013.0,167.0,319.0,480.0,633.0,801.0,954.0,106.0,263.0,414.0,578.0,741.0,894.0,057.0,211.0,365.0,522.0,673.0,826.0,987.0,140.0,292.0,444.0,596.0,750.0,905.0,055.0,207.0,359.0,512.0,671.0,821.0,128.0,278.0,429.0,050.0,204.0,823.0,981.0,133.0,285.0,438.0,590.0,909.0,538.0,689.0,003.0,
Range,11.9045952000,11.8811840000,11.8694784000,11.8694784000,11.8694784000,11.8928896000,11.8928896000,11.8928896000,11.8811840000,11.8811840000,11.8694784000,11.9280064000,11.9397120000,11.9397120000,12.0918848000,11.9397120000,11.9631232000,11.9631232000,11.9514176000,11.9280064000,11.9631232000,11.9631232000,11.9397120000,11.9163008000,11.9397120000,11.9397120000,11.9514176000,11.9631232000,11.9397120000,11.9163008000,11.9045952000,11.8928896000,12.0684736000,11.9397120000,11.9748288000,11.9631232000,11.9045952000,11.9045952000,11.9280064000,11.9280064000,11.9280064000,11.9280064000,11.9045952000,11.8694784000,11.8577728000,11.8577728000,12.0450624000,11.8928896000,11.8811840000,11.8811840000,11.8811840000,11.8928896000,11.9045952000,11.9045952000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9163008000,12.0801792000,11.9163008000,11.9163008000,11.9163008000,11.9514176000,11.9514176000,11.9514176000,11.9514176000,11.9748288000,11.9748288000,12.1621184000,11.9748288000,11.9748288000,11.9982400000,11.9631232000,11.9631232000,11.9631232000,11.9748288000,11.9865344000,11.9865344000,12.7591040000,12.7473984000,12.7473984000,12.7239872000,12.7005760000,12.6654592000,12.5484032000,12.5249920000,12.5249920000,12.5015808000,12.4898752000,12.4781696000,12.4664640000,12.4547584000,12.4313472000,12.4079360000,12.3845248000,12.3611136000,12.3494080000,12.3259968000,12.3142912000,12.3142912000,12.3025856000,12.3025856000,12.3025856000,12.2908800000,12.2791744000,12.2557632000,12.2323520000,12.2089408000,12.1972352000,12.1855296000,12.1738240000,12.1738240000,12.1738240000,12.1621184000,12.1387072000,12.2557632000,12.1152960000,12.0918848000,12.0801792000,12.0684736000,12.1855296000,12.0684736000,12.0801792000,12.0801792000,12.0801792000,12.0801792000,12.0684736000,12.0567680000,12.0450624000,12.0216512000,12.0216512000,12.0099456000,12.0216512000,12.0216512000,12.0216512000,12.0099456000,11.9982400000,11.9865344000,11.9748288000,11.9631232000,11.9748288000,11.9865344000,11.9982400000,12.0099456000,12.0099456000,12.0099456000,11.9982400000,11.9982400000,11.9865344000,11.9748288000,11.9514176000,11.9280064000,11.9280064000,11.9280064000,11.9397120000,11.9280064000,11.9865344000,11.9748288000,11.9514176000,11.9397120000,11.9397120000,11.9514176000,11.9514176000,11.9748288000,11.9865344000,11.9982400000,11.9982400000,11.9982400000,
Depth,11.8672200274,11.8462968506,11.8400160018,11.8404661911,11.8338824781,11.8646622142,11.8713996243,11.8715629736,11.8534638863,11.8440797376,11.8333878117,11.9047817010,11.9120816654,11.9040224934,12.0644184137,11.9211129481,11.9506469676,11.9487037789,11.9294726467,11.8908954961,11.9408866074,11.9409077484,11.9120916473,11.8794560321,11.9132344704,11.9086550204,11.9132339610,11.9234256092,11.9048898406,11.8811994009,11.8712302251,11.8603732493,12.0436742026,11.9109304557,11.9422768420,11.9270720100,11.8705983525,11.8754556356,11.9032740248,11.9051529048,11.9017971763,11.8974022083,11.8673329949,11.8303541224,11.8229990155,11.8233444905,12.0181767978,11.8615354327,11.8484623078,11.8421854172,11.8451059470,11.8562808875,11.8707106225,11.8751329137,11.8684766106,11.8566793539,11.8804583792,11.8921348182,11.8727757717,11.8597797379,11.8662958397,11.8864939222,11.8818097496,12.0492111342,11.8779929336,11.8776426772,11.8764291722,11.9156403551,11.9189181393,11.9192187153,11.9155755024,11.9356877571,11.9394511804,12.1296337470,11.9355301438,11.9373582434,11.9633913953,11.9236415206,11.9266842799,11.9324494656,11.9441724820,11.9540542131,11.9552134583,12.7265199795,12.7263435358,12.7318420121,12.7081582006,12.6773664607,12.6260315645,12.5063725086,12.4937595762,12.4991211751,12.4778028680,12.4663493577,12.4555265382,12.4429826085,12.4307836201,12.4046648089,12.3769213548,12.3467897205,12.3214475662,12.3100949693,12.2909188373,12.2853271002,12.2903593658,12.2828988759,12.2873815028,12.2904622983,12.2810419137,12.2696079081,12.2438446665,12.2137699686,12.1857340652,12.1738250535,12.1626905296,12.1530118026,12.1548469122,12.1572439978,12.1481291782,12.1248354334,12.2488171011,12.1002172837,12.0764115509,12.0654267641,12.0534025654,12.1752347769,12.0498223389,12.0589723894,12.0606495477,12.0646694945,12.0681177452,12.0583631406,12.0471097417,12.0320364116,12.0025281236,11.9984422857,11.9876845162,12.0029453328,12.0041911537,12.0043259300,11.9938956965,11.9839450913,11.9686491368,11.9484903337,11.9325927766,11.9432100700,11.9575426718,11.9665210545,11.9746951824,11.9695454529,11.9707811158,11.9615705637,11.9641524963,11.9534476036,11.9461168870,11.9272402739,11.9074074216,11.9016695963,11.8969623568,11.9113037800,11.8941241764,11.9530636072,11.9352478599,11.9122477314,11.9010049505,11.9045383921,11.9205552479,11.9229842657,11.9425031412,11.9495549398,11.9590975782,11.9584592506,11.9588911794,
Region_name,"Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
160.000,-56.913341,-55.984339,-50.606263,-55.146168,-55.707496,-58.569069,-50.705607,-50.699717,-54.728891,-55.358921,-54.976972,-52.140861,-56.537241,-58.049920,-58.987542,-51.670352,-45.828830,-49.698392,-51.903644,-56.352699,-55.615173,-57.986730,-51.087155,-55.695857,-54.106044,-61.098851,-59.996903,-64.697895,-56.891121,-56.809860,-49.600237,-52.185233,-59.665197,-52.447898,-56.512321,-56.259044,-55.543268,-49.192785,-51.223819,-52.885373,-47.824067,-51.498627,-58.964019,-52.631239,-47.887985,-55.908595,-67.682870,-60.149316,-64.573281,-69.234094,-48.135648,-53.261426,-55.556302,-60.534990,-57.410551,-53.736519,-57.824219,-53.567736,-63.846038,-63.252791,-57.983371,-58.590890,-54.109750,-61.224927,-55.429805,-53.579122,-54.886741,-60.072198,-60.114035,-56.015574,-50.926259,-58.512313,-56.444468,-54.479223,-52.962341,-66.132213,-56.381672,-51.395690,-51.280814,-50.107160,-55.439440,-52.625412,-53.841053,-56.690787,-55.806243,-54.490217,-45.743724,-45.509077,-47.030199,-57.320658,-52.349966,-56.906787,-49.253339,-48.716476,-57.686529,-45.463585,-56.553173,-67.998286,-47.975146,-57.381058,-47.858200,-50.914633,-46.083964,-50.836945,-45.427812,-55.047728,-58.070472,-49.157270,-52.995218,-51.663664,-50.063748,-50.342172,-54.935862,-47.864587,-47.207238,-50.361315,-46.769123,-50.723407,-49.048875,-54.892536,-50.927904,-55.215833,-48.004526,-56.250396,-50.771519,-52.626075,-50.767184,-60.211910,-54.398951,-54.557419,-51.377575,-56.816598,-54.042533,-52.377573,-56.923013,-52.989182,-50.909431,-49.075635,-53.078031,-57.403375,-53.980945,-57.874684,-59.778245,-56.796710,-52.080631,-51.445282,-49.401789,-50.462839,-59.126309,-61.398667,-65.756518,-62.815444,-61.894220,-55.509986,-50.047611,-55.018500,-51.793774,-61.443177,-70.236862,-58.244418,-52.342104,-53.839616,-61.512895,-51.475393,-51.241484,-51.949214,-58.150035,-53.721671,-57.304413,-67.923133,-68.872064,-61.998864,-54.081173,0,Fileset 1: TS pulse compressed wideband pings T2
160.500,-56.748289,-55.140245,-50.416301,-55.056450,-60.327591,-56.419083,-49.866393,-51.179022,-55.889544,-53.351858,-55.505951,-52.480505,-57.236684,-56.017056,-61.034184,-51.026971,-44.526942,-47.999907,-49.738286,-61.531460,-55.984300,-57.083083,-53.399262,-55.779487,-56.027680,-61.834505,-60.201072,-68.589989,-59.794503,-57.066195,-49.688651,-65.088932,-60.186815,-50.748963,-55.997610,-57.088467,-60.298483,-48.806431,-50.191555,-52.305396,-48.724632,-52.108992,-54.948655,-54.055849,-48.121556,-55.670250,-58.072973,-55.757603,-60.163989,-75.132470,-47.943700,-54.502373,-62.414537,-60.250076,-56.138259,-54.292396,-62.848564,-57.018401,-57.940004,-60.687584,-63.284304,-55.300415,-56.938061,-58.972217,-52.461155,-52.792142,-54.519117,-61.445402,-60.811148,-55.049266,-52.561117,-60.549491,-56.569685,-54.734581,-53.179883,-58.791991,-59.027956,-52.041172,-54.774818,-52.877553,-62.427822,-51.596314,-55.972534,-57.997965,-62.153530,-55.296681,-47.672811,-47.188655,-48.906675,-57.112847,-55.580843,-51.699439,-50.418267,-46.108944,-53.118112,-46.818954,-59.142086,-59.228284,-50.388003,-52.956156,-47.179940,-56.545827,-48.362867,-56.484525,-45.072256,-52.412852,-52.838627,-48.554735,-56.953902,-53.310427,-54.916417,-50.349257,-58.077923,-47.828655,-46.737960,-55.174601,-46.781390,-58.709000,-49.788935,-59.492179,-47.346402,-57.931977,-46.525132,-66.576087,-55.328166,-56.382031,-57.139673,-65.024017,-53.849922,-52.386113,-49.495323,-51.222051,-56.868599,-55.428342,-59.692421,-51.884597,-49.843032,-50.603193,-51.294614,-58.052958,-55.166859,-63.101461,-58.726134,-55.627225,-52.734211,-52.056531,-50.013585,-49.977518,-57.776114,-62.018251,-67.817727,-60.001371,-62.612494,-55.068231,-50.219702,-53.809521,-52.380175,-62.434837,-63.183447,-56.537355,-52.823074,-54.953557,-61.302364,-52.324945,-50.314433,-53.483520,-62.991458,-53.938726,-57.948702,-68.269513,-72.492867,-58.963343,-53.426967,0,Fileset 1: TS pulse compressed wideband pings T2
161.000,-56.187772,-54.616845,-51.012114,-54.247420,-67.299968,-54.706657,-49.115524,-51.862233,-56.837585,-52.223660,-56.289700,-53.958961,-57.837479,-54.837121,-60.827410,-48.572193,-43.999461,-46.803706,-48.444011,-65.163063,-55.417276,-58.056728,-55.786690,-56.176808,-57.336792,-57.702735,-59.162465,-58.603049,-63.453750,-57.139449,-50.227164,-57.138215,-58.556343,-49.636213,-56.732068,-58.211731,-60.258157,-49.284298,-49.841065,-52.658650,-51.324592,-52.527213,-52.999387,-56.070220,-48.728817,-56.691618,-54.310374,-53.466421,-58.278874,-79.875233,-48.378986,-54.626148,-60.188758,-56.982416,-54.570158,-55.255980,-67.969571,-60.163225,-54.886402,-58.757727,-68.159313,-53.021650,-59.091659,-57.103689,-50.982660,-52.661657,-54.053335,-65.333062,-61.801337,-53.886166,-53.744858,-63.394967,-53.828765,-55.245967,-52.942190,-55.681464,-60.314121,-52.893047,-58.934797,-56.123619,-55.798115,-51.332010,-58.964356,-59.739067,-63.406612,-51.783043,-50.226511,-49.725303,-52.099563,-56.883616,-59.178945,-48.688565,-52.426588,-44.577909,-49.131253,-49.180772,-55.035000,-53.128583,-54.310958,-50.417404,-47.207915,-82.649439,-52.463047,-65.482597,-45.364774,-50.694630,-50.451019,-48.610533,-56.754647,-55.009039,-58.280833,-51.740074,-59.045024,-48.322510,-46.827351,-61.964460,-47.904254,-64.254324,-51.675428,-60.170143,-46.367899,-57.865154,-46.018733,-56.190628,-62.189027,-49.179185,-65.423381,-73.831725,-53.500468,-50.653139,-48.810905,-48.038875,-60.829809,-65.590955,-55.781958,-51.998912,-49.928861,-53.112239,-51.116701,-61.453902,-58.641608,-58.904292,-54.235728,-54.960634,-53.465158,-52.963916,-51.253207,-50.196161,-55.235911,-61.669808,-71.565586,-59.553481,-63.505819,-55.890616,-50.897384,-53.659729,-52.617546,-60.362487,-58.140178,-55.820187,-53.920373,-58.224052,-62.848679,-54.289987,-50.103083,-56.685884,-64.608899,-54.851629,-59.397838,-67.178516,-61.858793,-57.950376,-53.571412,0,Fileset 1: TS pulse compressed wideband pings T2
