Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
91.500,-51.178969,-48.338078,-51.333670,-44.176294,-50.125931,-47.724996,-43.886375,-49.993250,-55.638325,-59.632989,-52.369356,-52.320118,-51.376976,-44.061834,-58.932219,-42.531879,-60.093098,-51.507753,-50.156173,-55.055969,-41.929726,-48.344854,-49.317202,-52.502673,-52.785309,-49.429206,-51.290894,-57.202651,-56.581284,-54.371066,-55.840006,-65.356831,-63.933028,-55.796625,-54.181579,-53.139188,-49.798972,-53.330380,-54.059729,-49.726030,-49.062466,-41.485247,-53.257246,-47.867472,-48.422305,-56.865232,-54.211647,-56.955319,-51.482108,-59.856867,-47.179050,-46.118856,-67.336316,-47.581307,-50.769962,-50.280146,-51.127224,-58.965641,-44.931622,-46.150519,-42.511983,-39.629318,-42.691018,-38.411251,-37.954715,-40.754318,-58.664991,-57.894585,-45.146864,-60.530111,-65.851014,-48.154800,-58.046091,-45.315519,-59.319353,-43.581787,-44.904934,-46.494852,-44.925975,-60.519679,-52.861315,-52.582284,-56.548708,-53.410095,-47.999892,-48.630876,-48.088122,-40.238203,-44.562296,-53.329240,-46.997339,-43.514058,-39.739567,-39.986459,-45.647928,0,Fileset 1: TS pulse compressed wideband pings T3
92.000,-50.809869,-47.117708,-51.925426,-43.682719,-49.353787,-48.652775,-44.050918,-50.589782,-52.676989,-54.859182,-53.615756,-53.269733,-53.468367,-43.510053,-56.634577,-41.467649,-55.404921,-50.165681,-52.601930,-53.839639,-41.538265,-47.183447,-48.883950,-52.570945,-51.044813,-48.982450,-49.248175,-56.695250,-55.870420,-53.100723,-54.484193,-63.681686,-64.989040,-57.198988,-54.068378,-54.639129,-49.613900,-52.664633,-50.488951,-47.618831,-50.172996,-41.741320,-54.089603,-48.650281,-49.645008,-54.839295,-55.695264,-57.694776,-52.299477,-61.331291,-45.509117,-44.990269,-67.700389,-48.535663,-49.054677,-50.464230,-50.595536,-56.946039,-45.590037,-45.847598,-42.405884,-39.363883,-43.985389,-38.890064,-37.440002,-41.517826,-54.151012,-59.578709,-45.191632,-59.453975,-60.682502,-46.995404,-57.628941,-44.494214,-56.675411,-43.685176,-45.870601,-45.156315,-44.760484,-59.283216,-54.671528,-51.580457,-59.861285,-56.565644,-47.169868,-47.730770,-48.767541,-40.532236,-44.399154,-52.809407,-47.454511,-43.267950,-39.456556,-39.786668,-46.642968,0,Fileset 1: TS pulse compressed wideband pings T3
92.500,-51.335036,-46.578824,-50.826048,-43.631182,-49.049236,-49.536837,-44.629808,-51.107955,-50.408254,-51.530330,-54.301459,-55.620154,-55.994628,-43.282853,-55.724378,-40.801960,-53.874532,-49.648891,-54.426335,-52.710331,-41.684320,-46.636647,-49.652890,-52.637080,-49.669923,-48.941088,-48.167332,-57.559683,-55.890745,-52.541992,-53.464041,-61.630373,-64.114304,-59.714659,-53.857457,-55.884758,-50.100223,-49.702973,-48.578247,-46.479093,-52.414534,-42.276805,-52.851927,-50.143394,-49.547418,-54.246252,-54.475780,-57.279941,-52.345045,-65.373171,-44.630185,-44.605224,-63.747577,-50.460642,-47.868527,-51.202184,-50.762701,-54.046990,-46.498821,-45.417081,-42.923052,-39.418040,-45.584197,-39.709300,-37.558036,-42.536253,-51.441020,-57.857647,-45.829292,-57.043127,-56.022797,-46.620367,-56.583952,-43.788983,-52.660936,-44.428821,-46.869110,-44.326140,-45.236954,-56.718504,-57.818372,-50.628137,-67.179033,-59.113174,-46.168657,-47.214779,-49.547594,-41.131544,-44.915985,-52.164268,-48.699086,-43.493045,-39.382172,-39.901023,-48.554579,0,Fileset 1: TS pulse compressed wideband pings T3
93.000,-52.628123,-46.590524,-48.906148,-43.848994,-49.084377,-50.071882,-45.350853,-51.417881,-49.122706,-49.103478,-53.026012,-59.778754,-57.999054,-43.251446,-55.944845,-40.601812,-54.460919,-49.567926,-52.543879,-52.297365,-42.390093,-45.898952,-51.232676,-53.285415,-49.058998,-49.052873,-48.052076,-59.945123,-56.743885,-52.517967,-52.582326,-59.486227,-63.627113,-62.030995,-54.992759,-56.250961,-51.122352,-47.178203,-48.002044,-46.180145,-56.061655,-42.835220,-51.366567,-51.615540,-47.791319,-54.599030,-52.410571,-56.811585,-50.482244,-62.227387,-44.591052,-44.819666,-60.816162,-52.496550,-47.138155,-52.543602,-51.395743,-51.324281,-47.280198,-45.026423,-43.957034,-39.599314,-47.113609,-40.441422,-38.278180,-43.915509,-49.825247,-55.482599,-47.079746,-54.264809,-52.996781,-46.526211,-54.786887,-43.273786,-49.748109,-45.501469,-47.274880,-44.081273,-46.361435,-54.484316,-62.327454,-49.945433,-72.183714,-56.468504,-45.214828,-47.377243,-49.984953,-41.774874,-46.091236,-51.935747,-50.202960,-44.089211,-39.475558,-40.242298,-51.687068,0,Fileset 1: TS pulse compressed wideband pings T3
93.500,-54.384874,-47.096435,-47.218156,-44.202547,-49.314223,-50.246221,-45.810162,-51.419948,-48.673593,-47.616261,-50.727906,-66.315651,-58.679877,-43.227098,-56.739114,-40.806880,-57.602040,-49.339935,-49.695660,-52.510959,-43.641142,-44.873394,-52.551483,-54.962810,-49.250818,-49.082395,-48.691687,-63.395728,-58.054259,-52.549412,-51.800062,-57.765432,-63.652506,-60.298765,-57.996642,-55.356161,-52.355454,-45.788363,-48.452029,-46.497322,-60.943629,-43.306293,-50.800623,-52.345295,-46.187691,-54.783708,-51.181984,-56.904309,-48.442916,-56.237166,-45.275640,-45.378103,-57.741329,-53.365239,-46.631075,-54.576753,-51.989770,-49.383697,-47.879820,-44.668800,-45.330861,-39.957533,-46.165383,-40.664471,-39.551464,-45.816180,-49.035916,-54.167625,-48.848645,-52.060611,-51.362274,-46.671844,-52.919276,-42.970816,-47.861426,-46.389111,-47.016464,-44.317097,-47.889641,-52.650557,-66.070180,-49.787496,-62.539861,-52.646453,-44.435868,-48.260402,-49.868220,-42.210307,-47.886911,-52.658195,-50.946005,-44.915852,-39.699394,-40.729700,-56.822098,0,Fileset 1: TS pulse compressed wideband pings T3
94.000,-56.285707,-48.053172,-46.014288,-44.587173,-49.589992,-50.288310,-45.801969,-51.122582,-48.671250,-47.010474,-48.834579,-70.828780,-58.196260,-43.027270,-56.622491,-41.226244,-66.157105,-48.617244,-47.660431,-53.100863,-45.361424,-43.972047,-52.446131,-58.047332,-49.997320,-48.932304,-49.643895,-64.082496,-58.623679,-52.061462,-51.127327,-56.711651,-62.313560,-57.028138,-62.780739,-53.748226,-53.297342,-45.289733,-49.630185,-46.976736,-62.789523,-43.726594,-51.273393,-52.569215,-45.358303,-53.777554,-50.878275,-56.792855,-47.123627,-52.316849,-46.337875,-45.913734,-54.764762,-53.478192,-46.148248,-57.434615,-51.924959,-48.200900,-48.483641,-44.180800,-46.728727,-40.688115,-43.254099,-40.296189,-41.255445,-48.358395,-48.925489,-53.119023,-50.902408,-50.513680,-50.705515,-47.294911,-51.402287,-42.803461,-46.621505,-46.566855,-46.560554,-44.823535,-49.386188,-51.210114,-64.815692,-50.103639,-58.488137,-49.943067,-43.798735,-49.749678,-49.353824,-42.300011,-50.164771,-54.206803,-50.605457,-45.755908,-39.981719,-41.257754,-64.866095,0,Fileset 1: TS pulse compressed wideband pings T3
94.500,-58.003162,-49.151869,-44.911290,-44.695973,-49.543895,-50.179419,-45.193119,-50.544001,-48.319005,-46.826456,-47.367943,-67.509925,-56.745967,-42.336193,-54.207200,-41.375500,-61.280569,-47.276522,-46.163974,-53.732244,-47.240843,-43.111875,-51.172009,-63.244615,-50.547084,-48.411075,-50.008174,-61.050927,-57.085524,-50.660577,-50.265184,-56.024761,-58.850785,-54.159630,-62.710723,-52.026652,-53.300257,-45.065184,-51.043121,-46.662944,-58.973928,-43.934903,-52.432926,-52.776379,-44.924060,-51.856461,-50.956130,-55.308459,-46.244176,-49.323973,-46.821510,-45.849540,-52.018514,-53.754936,-45.399269,-60.860416,-50.687919,-47.314343,-48.984051,-43.157749,-47.380146,-41.795541,-40.437297,-39.498991,-43.005199,-51.396548,-49.068997,-50.963974,-52.637085,-49.181094,-50.418590,-48.159476,-50.008377,-42.401744,-45.424221,-45.659957,-45.971480,-45.162337,-50.222756,-49.867671,-61.563732,-50.404296,-55.387070,-47.896765,-42.970340,-51.397172,-48.450215,-41.829823,-52.313955,-55.097846,-49.707709,-46.143313,-39.971613,-41.458793,-61.091085,0,Fileset 1: TS pulse compressed wideband pings T3
95.000,-59.712315,-50.718910,-44.166885,-44.989508,-49.535553,-50.560678,-44.628872,-50.364328,-47.511807,-47.223167,-46.655281,-65.263026,-55.013667,-41.682250,-51.078003,-41.526705,-54.164117,-46.049307,-45.485460,-55.166382,-49.764236,-42.648097,-50.192765,-74.652084,-50.655111,-48.132205,-49.669632,-58.430868,-54.651906,-49.124013,-49.553220,-55.998296,-55.314073,-52.049912,-58.707833,-51.018970,-52.879168,-45.132850,-52.573770,-45.487448,-55.061807,-44.499875,-54.654560,-54.057861,-45.032261,-50.365262,-51.501668,-53.135492,-46.095232,-47.221779,-46.414695,-45.532149,-49.995278,-55.267500,-44.877347,-63.721837,-49.044902,-46.973520,-49.852576,-42.018485,-47.155911,-44.181050,-38.479505,-39.200603,-45.214666,-55.386503,-49.588813,-48.108729,-54.065640,-48.373606,-50.654805,-49.328454,-49.088874,-42.134452,-44.486961,-44.359512,-45.817885,-45.710065,-50.660656,-48.973138,-58.891309,-50.976230,-52.810191,-46.640535,-42.367406,-53.220469,-47.793055,-41.398734,-54.072202,-53.550518,-49.308040,-46.427346,-40.023763,-41.678010,-56.494452,0,Fileset 1: TS pulse compressed wideband pings T3
95.500,-59.730484,-52.465808,-43.903912,-45.764680,-49.668662,-51.915673,-44.539113,-50.790027,-46.293723,-47.935903,-46.817525,-62.809287,-53.433407,-41.472582,-48.569342,-41.847434,-51.158662,-45.377151,-45.759515,-58.687216,-52.960265,-42.675925,-50.241902,-67.225965,-50.141867,-48.569340,-48.925997,-56.760491,-52.608608,-48.081098,-49.107304,-56.528878,-52.729104,-50.693975,-56.834766,-51.072687,-52.707046,-45.106542,-52.531118,-43.955551,-51.988595,-45.843367,-58.150660,-57.564683,-45.365122,-49.968025,-52.279363,-51.224508,-46.699006,-46.045779,-45.576037,-45.350639,-48.940745,-57.884710,-44.838748,-62.529080,-47.747921,-47.114266,-51.280787,-41.095506,-46.268488,-49.318980,-37.411882,-39.981262,-48.290984,-59.287528,-49.981029,-45.508813,-55.180693,-48.328137,-51.133212,-50.004108,-48.800705,-42.233548,-43.974097,-43.198742,-46.476460,-46.735100,-50.787115,-48.681102,-57.317620,-52.187391,-50.975731,-46.245328,-42.247741,-54.460895,-47.765122,-41.424217,-54.735984,-50.577527,-49.945705,-46.905990,-40.313153,-42.066869,-54.950020,0,Fileset 1: TS pulse compressed wideband pings T3
96.000,-57.268469,-52.822392,-43.903071,-46.837371,-49.510663,-54.400521,-44.953891,-51.329187,-44.828823,-47.875478,-47.544878,-58.997844,-52.068243,-41.672751,-46.838812,-42.170921,-50.289615,-45.133629,-46.574388,-66.865631,-54.093608,-42.949952,-51.357090,-62.514782,-49.140907,-49.702912,-48.119972,-55.503258,-51.106726,-47.610980,-48.661657,-56.701818,-51.080853,-49.745871,-56.578127,-51.920816,-53.027793,-44.329307,-50.313068,-42.513359,-49.543127,-48.009755,-62.736554,-65.653828,-44.956660,-50.677746,-52.574764,-49.808270,-47.314356,-45.460344,-45.026139,-45.367301,-48.659355,-56.259913,-45.017322,-59.548727,-46.966628,-46.800393,-53.037055,-40.327016,-45.107766,-62.350156,-36.868610,-41.862259,-52.507534,-59.530268,-49.208909,-43.471246,-55.928703,-48.910555,-50.655516,-48.926743,-48.851759,-42.533098,-43.724246,-42.205971,-47.986317,-48.062428,-50.295302,-48.765568,-56.588990,-54.255373,-49.802418,-46.486699,-42.409698,-54.462086,-48.293826,-41.858411,-53.479908,-47.922708,-51.701096,-47.530939,-40.608801,-42.352231,-55.397374,0,Fileset 1: TS pulse compressed wideband pings T3
