Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
171.000,-47.404727,-51.095572,-44.615240,-45.708350,-54.741401,-52.730411,-46.965329,-57.430231,-51.530560,-56.898313,-52.383600,-54.839512,-50.522997,-47.211257,-47.060809,-53.421566,-60.637575,-53.717243,-50.156944,-60.239849,-58.881820,-48.876786,-51.304149,-53.526214,-52.715901,-53.800706,-54.526002,-64.817453,-60.459636,-51.755841,-51.914240,-56.933465,-46.744824,-55.944622,-48.270446,-62.650688,-53.027336,-60.731347,-53.998051,-57.831380,-46.616246,-49.528326,-45.319429,-49.118680,-50.563669,-48.876498,-57.190770,-52.904711,-50.359149,-54.494289,-49.153270,-58.406665,-59.229576,-39.518331,-46.980935,-59.145412,-43.215705,-47.550786,-56.190320,-40.059813,-65.226046,-46.477464,-49.265645,-46.654127,-50.988067,-58.974036,-52.157642,-49.374082,-52.617875,-59.453866,-52.775304,-56.717902,-59.729884,-50.413896,-66.862978,-47.027032,-53.234875,-47.988706,-53.492666,-51.076318,-55.296211,-55.640637,-48.188356,-41.059905,-45.858819,-65.690221,-49.890487,-46.315576,-50.977343,-49.376972,-55.427540,-47.938748,-46.274049,-51.037938,-56.644455,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-46.967831,-51.193432,-44.860680,-44.466830,-55.736425,-51.202757,-46.700843,-55.800280,-51.781730,-57.060233,-51.127994,-52.427100,-50.794502,-47.029440,-47.043673,-51.451827,-59.373745,-57.410726,-51.650976,-59.274387,-52.874374,-49.328808,-49.446107,-51.968124,-50.723561,-59.120838,-54.719025,-60.968526,-58.539710,-48.351975,-49.912947,-68.823322,-47.512814,-56.843843,-48.135287,-66.238377,-54.042558,-58.176261,-54.930353,-55.362669,-47.671399,-49.427854,-45.860237,-49.453883,-51.833607,-50.135800,-56.073287,-52.701670,-50.575511,-49.891113,-48.584455,-57.573187,-68.213083,-40.372144,-47.512452,-59.149722,-42.979714,-48.478295,-53.593730,-39.564130,-56.562224,-46.326533,-46.209234,-48.102854,-49.425809,-54.538423,-51.819952,-49.811565,-52.982397,-60.527237,-51.989910,-57.470830,-59.295925,-51.339416,-63.139855,-46.577601,-51.750375,-48.308245,-50.345326,-54.042423,-53.663096,-55.100979,-47.784208,-42.430654,-46.805867,-63.276445,-47.721003,-45.995688,-48.604776,-49.638066,-53.844460,-46.153930,-48.659572,-48.451587,-59.948549,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-47.118603,-50.903329,-45.245111,-43.239922,-54.899940,-50.230176,-46.474390,-54.744078,-52.039913,-55.200363,-50.208499,-50.865459,-51.303846,-47.102670,-48.004657,-50.400964,-55.176217,-61.984185,-52.609483,-61.217217,-48.889001,-50.404765,-48.040578,-51.002358,-49.249166,-73.344403,-54.083016,-60.684655,-55.656506,-46.492183,-48.881286,-66.213139,-47.679996,-58.337458,-49.302768,-59.591877,-54.748066,-53.824471,-56.312243,-53.985805,-48.875733,-49.459966,-46.132160,-50.778543,-51.799099,-51.683982,-55.434317,-51.353094,-51.155108,-47.218830,-48.622514,-56.687961,-69.122477,-41.442820,-49.247244,-54.057670,-43.003459,-48.613269,-49.829081,-39.001923,-52.707072,-47.571761,-45.305367,-52.239481,-48.287486,-51.926354,-51.613824,-49.853595,-53.850650,-63.320801,-51.701627,-59.659917,-57.817846,-52.318020,-60.527868,-46.336314,-50.955725,-48.583506,-47.927092,-62.894795,-51.631288,-54.194709,-46.732380,-43.881433,-48.194384,-63.624474,-46.156537,-45.769210,-46.477654,-49.993009,-51.774666,-45.040889,-50.489019,-46.517087,-62.012377,0,Fileset 1: TS pulse compressed wideband pings T2
