Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
172.500,-43.910993,-47.634115,-43.080683,-37.131864,-47.526166,-46.522243,-45.515747,-54.135325,-50.524061,-50.858603,-48.243506,-45.197943,-50.815221,-47.611995,-50.293694,-48.852231,-46.864835,-54.395647,-47.232432,-63.145372,-41.650394,-47.973338,-42.600920,-47.404480,-45.050076,-60.151995,-51.190598,-59.077380,-52.327751,-44.352284,-46.098165,-57.560248,-42.382752,-54.968452,-45.579062,-52.739371,-50.012737,-50.985112,-56.572263,-47.118930,-44.761733,-43.693702,-41.569330,-47.296623,-47.599712,-49.105181,-51.501617,-44.278424,-48.222937,-41.722123,-44.170304,-51.273874,-56.652188,-39.761645,-50.549637,-47.418521,-38.903318,-43.403937,-41.140728,-32.370313,-46.446339,-47.228295,-44.970736,-61.414856,-45.517310,-46.158505,-49.222644,-49.250175,-53.302880,-66.271854,-48.713224,-61.608131,-52.038226,-48.631028,-54.025414,-44.153753,-49.311768,-48.181585,-46.300906,-58.499619,-44.092888,-47.802659,-41.754470,-41.614981,-47.364145,-64.033812,-43.295572,-42.349023,-43.842224,-50.243245,-44.628076,-38.628382,-46.617762,-40.883000,-54.093511,0,Fileset 1: TS pulse compressed wideband pings T2
173.000,-45.691369,-47.554939,-44.901710,-36.693261,-46.162099,-46.327387,-45.657849,-55.359742,-48.370907,-49.291944,-48.932676,-45.753001,-52.359697,-49.144204,-58.231745,-47.733104,-44.186091,-53.396152,-46.326919,-56.483695,-40.017093,-49.425050,-42.439242,-51.198979,-43.779533,-57.890410,-51.032545,-60.383218,-52.359053,-45.396174,-47.249664,-55.272512,-42.225518,-52.650173,-45.880900,-51.716453,-48.142260,-50.451832,-63.763319,-45.389579,-46.438210,-44.505937,-40.782834,-45.784586,-48.532900,-50.954543,-52.002821,-43.708479,-53.115748,-41.933774,-46.210334,-51.720199,-52.782180,-40.821990,-53.900100,-45.503634,-40.397263,-42.798429,-39.818195,-32.384990,-45.376078,-47.806710,-47.201919,-62.204002,-46.878509,-46.415872,-49.595959,-50.747941,-55.827722,-63.523273,-48.893634,-76.006168,-49.979536,-48.788440,-54.024877,-44.552196,-48.243790,-47.704884,-45.556084,-52.334006,-42.638222,-46.723224,-40.962831,-42.892358,-49.804815,-65.611709,-42.632171,-42.708123,-42.790887,-51.424708,-42.740382,-39.130882,-46.322914,-40.035690,-51.229190,0,Fileset 1: TS pulse compressed wideband pings T2
173.500,-47.851176,-48.185533,-47.426630,-36.612709,-45.834624,-46.258406,-46.115381,-57.030179,-46.164924,-48.745530,-50.140059,-47.259698,-54.039309,-51.473955,-58.554659,-47.095165,-42.426421,-56.361815,-45.607013,-50.597311,-39.081371,-50.644047,-42.367624,-59.718322,-42.550799,-57.091284,-52.000569,-56.915929,-52.958383,-47.472267,-48.181973,-51.834806,-42.680705,-49.234840,-45.418578,-51.650862,-46.712378,-50.413725,-72.570698,-43.617971,-48.064069,-44.412144,-40.698352,-44.370933,-52.093660,-53.284250,-52.520752,-44.246725,-55.929501,-43.234805,-49.740456,-53.417171,-50.413362,-41.820910,-61.916156,-44.795992,-42.684921,-42.915380,-39.406837,-32.774501,-45.177412,-46.462589,-48.420850,-58.635793,-48.904079,-48.235057,-49.911304,-52.290941,-58.344211,-56.091457,-48.309669,-67.543033,-48.734675,-48.367204,-55.082305,-44.957139,-47.373039,-47.549639,-45.329049,-50.944251,-41.862630,-46.153654,-40.815714,-43.670911,-51.391683,-64.179751,-42.855878,-43.856017,-42.525706,-52.052509,-41.138146,-40.450111,-46.373573,-39.644606,-48.991655,0,Fileset 1: TS pulse compressed wideband pings T2
174.000,-50.060352,-49.635346,-49.893107,-36.642986,-45.910476,-46.232706,-46.975955,-57.217829,-44.405780,-49.102519,-51.339292,-49.168650,-54.700343,-54.230360,-53.336484,-47.421447,-41.198255,-56.066509,-44.495159,-47.441023,-38.579890,-51.996931,-42.203019,-47.766838,-41.554086,-55.674169,-53.948355,-53.099213,-53.126979,-49.757300,-48.582270,-50.384751,-43.737100,-47.107393,-46.205517,-52.393755,-45.711181,-50.931530,-61.843990,-42.552599,-49.486252,-43.576293,-41.840807,-43.737809,-55.795964,-53.978685,-51.619509,-45.715849,-49.259598,-44.905954,-55.909968,-56.648847,-48.662192,-42.736839,-62.986072,-44.611877,-45.427540,-44.123471,-39.344913,-33.404705,-45.720518,-45.351695,-47.379472,-59.940187,-50.654367,-51.226225,-49.869333,-52.926611,-58.559523,-52.328478,-47.205059,-62.098495,-48.093758,-47.826268,-56.867393,-45.270791,-47.133433,-47.912568,-45.837740,-51.330866,-41.604378,-46.114635,-41.238728,-44.353652,-51.217778,-59.702960,-43.926159,-46.312492,-43.067055,-51.727836,-40.199138,-42.582438,-47.351938,-39.543784,-47.343163,0,Fileset 1: TS pulse compressed wideband pings T2
174.500,-52.108846,-51.697227,-51.305741,-36.588555,-45.812581,-46.234805,-48.425153,-54.746445,-43.314167,-50.111334,-52.228572,-50.424399,-53.871035,-56.686973,-52.260034,-48.717180,-40.351256,-50.514681,-42.777050,-45.577495,-38.357881,-53.800083,-42.096859,-43.067448,-40.923285,-55.100864,-56.548461,-49.360327,-52.555452,-51.125572,-48.830052,-50.718444,-45.348705,-46.102987,-48.564960,-53.315813,-45.133756,-51.558109,-59.077438,-42.137673,-50.718252,-42.834606,-44.078503,-43.636249,-53.767913,-52.359911,-49.291947,-47.645016,-45.397213,-45.448880,-71.561771,-61.928549,-47.309493,-43.541110,-54.485262,-44.295667,-48.081567,-46.617952,-39.169089,-34.137804,-46.923563,-45.173835,-45.724692,-55.226066,-51.865942,-53.568175,-49.441789,-53.441277,-56.386893,-50.147710,-46.196070,-60.646695,-47.817604,-47.511646,-59.172539,-45.627860,-47.636592,-48.478991,-47.351574,-52.114898,-41.611818,-46.403399,-42.097983,-45.492308,-49.937523,-55.655149,-45.220645,-50.728585,-44.341560,-50.995474,-40.035777,-45.314668,-49.515680,-39.569707,-46.386352,0,Fileset 1: TS pulse compressed wideband pings T2
175.000,-52.491527,-53.401528,-51.468896,-36.425335,-45.546728,-46.285062,-50.968747,-51.568152,-42.878631,-51.561472,-52.933651,-50.192494,-52.434214,-57.613789,-53.031993,-50.813352,-39.904812,-47.445402,-41.117232,-44.453907,-38.378454,-56.104538,-42.216178,-41.030189,-40.709142,-55.268972,-58.691144,-46.438468,-51.686651,-51.662448,-49.020793,-51.268503,-47.488138,-45.891737,-51.116548,-53.217647,-44.963341,-51.586744,-58.409965,-42.012870,-51.599055,-42.383438,-46.158831,-43.903957,-52.207480,-50.540727,-46.852810,-49.383062,-43.288042,-44.193661,-56.917570,-67.567916,-46.410076,-44.157141,-52.014742,-43.493064,-49.905815,-50.850841,-38.776846,-34.935052,-48.798205,-45.973766,-44.127277,-50.202889,-53.317471,-53.267890,-48.844072,-54.672510,-53.935690,-48.838305,-45.502412,-61.435854,-47.837439,-47.400556,-61.902156,-46.152056,-48.839814,-48.662356,-50.128275,-52.892008,-41.735559,-46.753026,-43.236105,-47.329169,-48.392989,-53.334445,-45.991640,-50.940766,-46.292038,-50.175136,-40.578226,-46.895463,-53.057187,-39.674242,-46.278578,0,Fileset 1: TS pulse compressed wideband pings T2
175.500,-51.356566,-53.306622,-51.552998,-36.855814,-45.926577,-46.837944,-56.139764,-49.144368,-43.132180,-53.699731,-54.068647,-49.661053,-51.348870,-56.419564,-54.688187,-53.688699,-40.411869,-46.949945,-40.498115,-44.414854,-39.229245,-59.946964,-43.165220,-40.790001,-41.305330,-55.725515,-58.421791,-44.990537,-51.194157,-52.992149,-49.613162,-51.304337,-50.043327,-46.779596,-50.235441,-52.995597,-45.527973,-51.404245,-58.918734,-42.530280,-52.439797,-42.820059,-46.552001,-45.049203,-52.821210,-49.600732,-45.273300,-50.988300,-42.865615,-42.985199,-52.347466,-64.507962,-46.551936,-44.659004,-52.311014,-42.649794,-50.648378,-57.765631,-39.043828,-36.569303,-51.921788,-48.044333,-42.953576,-47.374796,-56.811906,-52.393745,-48.686663,-56.776541,-52.434110,-48.621022,-45.559416,-64.580027,-48.602866,-47.790030,-64.835745,-47.177478,-50.931926,-48.155538,-54.856658,-54.044342,-42.612086,-47.528098,-44.682285,-50.508590,-47.419983,-52.907346,-46.464114,-45.068762,-49.189465,-49.488155,-42.286186,-45.863220,-56.328272,-40.475130,-47.876008,0,Fileset 1: TS pulse compressed wideband pings T2
176.000,-50.360572,-51.422741,-51.896902,-37.392813,-46.259682,-47.534734,-62.663464,-47.429252,-43.646185,-56.294710,-55.394440,-49.210360,-50.485285,-54.072086,-55.550507,-56.779606,-41.268422,-48.047315,-40.270064,-44.991458,-40.398751,-68.669998,-44.425913,-41.285552,-42.323879,-56.582370,-56.742145,-44.312600,-50.812767,-56.005058,-50.586736,-51.045741,-50.538754,-47.876458,-47.572246,-53.519484,-46.197827,-51.207471,-59.349561,-42.926572,-52.560323,-43.235531,-45.745627,-46.725303,-54.534624,-49.036875,-44.166308,-51.797933,-43.356574,-42.246440,-50.733076,-61.606185,-47.483730,-44.309423,-54.181820,-41.687428,-49.938819,-55.395377,-39.483948,-38.441709,-55.763536,-50.681795,-42.139299,-45.946825,-66.331564,-51.344202,-48.793416,-58.289701,-51.782665,-48.951445,-45.986081,-65.579003,-49.701733,-48.014394,-65.587914,-48.258581,-53.828324,-46.865326,-62.405222,-55.125260,-43.644896,-47.978460,-45.134170,-55.080054,-46.853226,-53.855048,-46.734054,-41.026368,-53.004878,-48.764140,-44.493790,-43.917184,-53.180962,-41.632683,-50.880566,0,Fileset 1: TS pulse compressed wideband pings T2
176.500,-49.944415,-49.180450,-52.472116,-37.731936,-45.960237,-48.121153,-54.784005,-45.928934,-43.786953,-59.024419,-55.870148,-48.974950,-49.418086,-51.499982,-53.807208,-58.843924,-41.980967,-50.968911,-39.900580,-45.924295,-41.595323,-67.287659,-45.537520,-41.720829,-43.380460,-58.735400,-55.553054,-43.759873,-50.064756,-59.965734,-52.172129,-50.384632,-48.858871,-48.036934,-45.626040,-55.107438,-46.252216,-50.596423,-58.276794,-42.965459,-51.919982,-43.049084,-44.804214,-48.553303,-56.756094,-48.449115,-43.236891,-52.065482,-44.233076,-41.850620,-50.551155,-60.005581,-49.026289,-42.889200,-55.445346,-40.540677,-48.562869,-49.629842,-39.853761,-40.346828,-58.412327,-52.410170,-41.540069,-45.246912,-61.042394,-49.508472,-48.828677,-57.191914,-51.678466,-49.497027,-46.507159,-60.861003,-50.673457,-47.736487,-64.616387,-48.853320,-57.488323,-44.959716,-61.970626,-56.026556,-44.539420,-47.837027,-44.204443,-63.376535,-46.337029,-55.657840,-46.674132,-38.034643,-57.938523,-47.769804,-46.797125,-42.251218,-48.946465,-43.079748,-55.094566,0,Fileset 1: TS pulse compressed wideband pings T2
177.000,-50.244565,-47.648838,-53.523933,-38.244796,-45.432610,-49.153422,-50.310275,-44.911137,-43.876438,-61.657309,-55.226753,-49.534296,-48.484887,-49.644567,-50.987630,-58.373835,-42.813608,-59.060772,-39.673134,-47.745627,-43.339600,-57.644418,-46.572229,-42.208364,-44.898815,-62.361556,-55.858460,-43.498813,-49.280108,-57.133826,-55.591276,-49.076667,-47.344416,-47.193528,-45.041385,-58.095094,-45.612065,-49.712505,-56.095135,-43.222805,-51.237136,-42.524576,-44.390128,-50.514584,-59.090010,-48.279174,-43.003700,-52.809851,-45.329411,-42.165645,-52.087595,-59.544858,-51.641330,-41.360563,-53.197424,-39.782657,-47.851336,-45.868145,-40.589759,-42.842207,-57.489838,-52.469234,-41.708795,-45.360718,-53.421036,-47.381364,-49.130561,-54.675026,-52.562239,-50.736349,-47.596224,-57.114246,-51.737099,-47.440065,-64.159429,-49.124876,-59.653431,-43.338371,-56.269252,-58.216121,-45.719413,-47.742973,-43.175247,-68.335354,-46.076286,-58.550759,-47.006702,-36.004485,-64.609809,-47.081540,-49.487936,-41.425684,-45.859555,-45.651623,-55.693833,0,Fileset 1: TS pulse compressed wideband pings T2
