Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
45.000,-45.828950,-55.145687,-53.528344,-53.324653,-49.064612,-48.048444,-47.532890,-47.982339,-53.513782,-50.482616,-50.901647,-50.597939,-55.375672,-54.179204,-49.518870,-47.093659,-46.464741,-46.682912,-50.935372,-51.001952,-55.409920,-49.717166,-52.548086,-53.239313,-53.882803,-52.700102,-55.360533,-53.433189,-57.434853,-53.084932,-52.629341,-58.315209,-55.062224,-57.861251,-53.028325,-55.440221,-53.741537,-49.636631,-52.303866,-51.282344,-48.525573,-47.341508,-51.017376,-51.118909,-51.102424,-55.846854,-48.944110,-49.985789,-47.329369,-48.438021,-48.812562,-47.439247,-46.852053,-48.514097,-50.175025,-79.993982,-49.830807,-47.677192,-47.331715,-67.754886,-40.373976,-49.244082,-56.190183,-54.630546,-44.614287,-46.391232,-48.943781,-48.228294,-48.556348,-48.926189,-51.803105,-55.574620,-48.682943,-50.171961,-53.054534,-51.642496,-49.510286,-49.568272,-50.702352,-50.168594,-53.338459,-49.628424,-54.214665,-52.435742,-51.382716,-48.255776,-62.227181,-47.491235,-46.939300,-49.074670,-52.911716,-48.123888,-46.943300,-46.018971,-47.878877,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-45.594834,-54.630236,-53.291918,-52.400926,-48.536596,-48.346075,-47.077486,-46.478800,-54.440304,-50.020798,-50.879829,-49.496251,-55.098823,-54.215873,-49.630536,-46.950876,-46.368647,-47.178125,-49.882353,-50.184823,-56.147982,-49.844650,-52.921841,-53.373098,-54.466746,-52.737716,-54.496003,-52.941492,-58.138333,-52.643271,-52.655040,-58.703994,-54.853269,-57.207068,-52.806616,-55.822413,-54.202574,-50.539044,-52.536867,-50.364546,-48.420659,-47.235902,-52.620351,-52.389703,-50.294984,-55.207882,-48.652936,-49.390160,-47.008635,-48.401587,-48.251882,-47.584156,-46.713891,-48.887653,-50.063018,-68.647493,-49.727340,-47.338081,-46.613607,-60.697164,-39.380281,-51.288353,-60.010278,-51.556196,-44.945041,-44.396189,-48.658378,-47.901928,-48.060090,-48.868750,-51.220515,-57.070482,-48.308095,-49.902430,-52.512997,-50.577887,-48.867560,-49.152210,-50.547040,-49.725650,-52.673810,-49.738050,-54.454812,-51.909991,-50.940515,-47.689720,-61.673128,-46.760972,-47.049692,-49.117825,-52.187346,-47.508548,-46.929355,-46.467760,-47.605847,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-45.300064,-54.065332,-53.559252,-51.565582,-48.056070,-48.988159,-46.755843,-45.204808,-54.746600,-49.463512,-50.548672,-48.581477,-54.804147,-54.017555,-49.635378,-46.711233,-46.148187,-47.451516,-48.727137,-49.717507,-56.254594,-49.436170,-53.451385,-53.560054,-54.924056,-52.586453,-53.582816,-52.291581,-58.344314,-52.318700,-52.697166,-58.504588,-54.286653,-56.381910,-52.709065,-56.123256,-54.160921,-51.364799,-52.517356,-49.697224,-48.450281,-47.028639,-53.400553,-53.456754,-50.182071,-55.015289,-48.656607,-49.042736,-46.795528,-48.030185,-47.967746,-47.969933,-46.754013,-49.199729,-50.727981,-63.061769,-49.517909,-46.996844,-45.932139,-57.484204,-38.589001,-52.093496,-57.529607,-47.962530,-45.364462,-42.885864,-48.405204,-47.791589,-47.745971,-48.662567,-51.116295,-54.047860,-47.937240,-49.772025,-52.184157,-49.871077,-48.596484,-49.007725,-50.556434,-49.543219,-51.991478,-50.243525,-54.344617,-51.392841,-51.025224,-47.291818,-60.248702,-46.185722,-47.231177,-48.950422,-51.617863,-46.829044,-47.202620,-47.178028,-47.384848,0,Fileset 1: TS pulse compressed wideband pings T1
