Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
90.000,-53.676550,-54.318422,-47.074733,-45.836165,-49.912101,-44.869690,-45.712094,-47.081969,-55.560306,-64.889884,-51.885583,-51.927577,-48.999354,-46.796590,-65.248517,-44.900827,-54.808567,-56.787407,-46.534990,-49.797617,-42.568523,-53.056073,-52.813163,-48.017483,-52.315782,-51.271395,-53.553888,-59.851608,-56.969554,-55.244304,-59.984213,-56.674055,-54.070822,-52.544367,-47.318990,-50.345096,-50.012980,-51.325365,-60.606604,-58.310512,-45.449860,-40.329639,-48.200694,-47.940585,-45.886053,-56.419515,-47.850948,-53.670777,-53.319417,-60.567475,-49.385050,-50.821152,-57.372100,-47.461193,-53.558862,-48.367895,-51.428320,-60.551414,-43.907842,-42.879466,-42.891231,-42.434180,-39.474008,-41.029166,-41.475501,-36.746473,-65.918618,-53.581576,-44.718484,-60.501168,-55.796015,-54.466902,-59.505377,-44.536415,-50.514207,-46.162433,-43.944592,-48.591428,-46.156183,-53.319866,-47.961470,-55.191782,-49.270480,-48.747007,-46.337245,-47.603808,-46.449071,-39.210896,-45.846013,-58.112300,-47.666241,-43.983199,-38.782847,-39.879429,-43.594866,0,Fileset 1: TS pulse compressed wideband pings T3
90.500,-51.911181,-51.612688,-47.441466,-44.149151,-49.978401,-44.904695,-44.362202,-48.224036,-57.592445,-69.024343,-50.664638,-50.815562,-48.885011,-45.766232,-67.635876,-44.354624,-59.683914,-53.588575,-46.203851,-51.637344,-41.636777,-52.141219,-50.754224,-48.805851,-52.526917,-49.968616,-54.132650,-58.286777,-56.909110,-55.982603,-58.003827,-59.645732,-56.047210,-52.384503,-48.129317,-49.741870,-49.623803,-51.039974,-62.945243,-54.032539,-45.903788,-39.418221,-48.087389,-46.498972,-45.366833,-58.292842,-48.408732,-53.185589,-50.612535,-60.693276,-48.515300,-48.176049,-57.955536,-46.500976,-53.302591,-48.657222,-50.684142,-58.794618,-42.732920,-43.138778,-41.815797,-40.409818,-39.806720,-38.747959,-38.989033,-36.900353,-69.054398,-54.136903,-44.498557,-59.499708,-59.875846,-51.176752,-58.087653,-44.277237,-51.999155,-44.111400,-43.714829,-48.629986,-45.795218,-55.226901,-48.856541,-53.180166,-50.880514,-48.783638,-46.582680,-48.112872,-46.507470,-38.726083,-45.545423,-55.546736,-45.734678,-42.574985,-38.616139,-39.236577,-43.100431,0,Fileset 1: TS pulse compressed wideband pings T3
91.000,-50.409468,-49.053212,-48.480033,-42.719932,-48.946490,-45.297687,-43.633173,-48.976227,-57.713793,-66.582553,-50.509831,-50.070755,-49.416030,-44.796051,-62.430534,-43.371355,-77.317509,-50.863236,-46.551435,-53.187839,-40.652756,-48.939691,-48.222893,-49.617297,-52.217363,-48.783560,-52.565664,-56.067977,-56.318924,-54.971467,-55.758365,-62.543210,-58.488497,-52.463880,-49.896914,-50.116387,-48.782181,-51.648509,-57.885925,-50.211015,-46.114901,-38.837862,-49.137541,-45.597777,-45.448259,-57.340068,-49.848919,-53.345373,-49.254458,-58.731446,-46.872082,-45.760440,-60.582351,-45.828781,-51.958933,-48.598109,-49.547181,-57.625105,-42.156194,-43.389484,-40.797693,-38.999838,-40.675653,-37.681347,-37.246321,-37.296100,-64.918206,-55.174764,-44.095610,-58.794290,-64.436479,-48.567418,-56.728961,-43.715782,-54.450530,-42.822818,-43.868839,-47.802038,-45.323617,-57.698117,-49.517131,-51.528301,-52.779668,-49.712016,-46.600094,-48.135072,-46.633955,-38.354039,-44.757101,-53.845435,-44.570998,-41.468802,-38.226977,-38.590366,-42.859650,0,Fileset 1: TS pulse compressed wideband pings T3
