Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
45.000,-47.117741,-56.003339,-54.542415,-55.008665,-50.677029,-49.199779,-47.880482,-48.268078,-53.674095,-51.316563,-51.631640,-52.199379,-55.832104,-54.243407,-49.832007,-47.329497,-47.887608,-48.607084,-52.488029,-52.157913,-56.837421,-50.928348,-54.368289,-54.813631,-55.090505,-53.708529,-56.162322,-55.239442,-58.220808,-53.790457,-53.892979,-60.051736,-56.917282,-59.703303,-54.926949,-56.730554,-54.915422,-50.018808,-53.354181,-53.054483,-50.277305,-49.286698,-52.589614,-52.691683,-52.505514,-57.507453,-50.420260,-51.806432,-48.922869,-49.823154,-50.433196,-48.957965,-47.949281,-49.671610,-50.647437,-81.185993,-51.605147,-49.370667,-49.183043,-69.652306,-41.956136,-50.177854,-56.747027,-55.217494,-45.809540,-48.268779,-49.988472,-48.722440,-49.463312,-50.430825,-52.968931,-56.716272,-49.969008,-51.770416,-55.000355,-52.543109,-49.816567,-49.637834,-50.772942,-50.711298,-55.012235,-51.186079,-55.346782,-53.599755,-52.579441,-49.017707,-62.936561,-48.796765,-47.272831,-49.259831,-54.804691,-50.023755,-48.278105,-47.320433,-49.610416,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-46.832357,-55.452573,-54.269347,-54.023067,-50.084028,-49.462709,-47.416938,-46.758613,-54.597094,-50.836327,-51.593285,-51.035647,-55.537724,-54.278240,-49.933154,-47.180876,-47.738378,-49.029265,-51.371701,-51.293222,-57.519317,-51.008158,-54.693939,-54.911827,-55.648551,-53.723287,-55.280333,-54.707934,-58.905383,-53.331633,-53.890552,-60.401009,-56.657465,-59.001450,-54.642593,-57.064896,-55.338064,-50.905721,-53.560611,-52.065511,-50.104767,-49.102367,-54.151595,-53.926456,-51.666943,-56.832192,-50.089984,-51.142816,-48.543923,-49.734698,-49.806473,-49.042071,-47.773024,-50.020873,-50.525484,-69.812589,-51.452336,-48.982488,-48.390191,-62.517057,-40.921613,-52.199696,-60.555566,-52.130914,-46.115352,-46.234500,-49.681413,-48.385815,-48.947420,-50.330704,-52.352353,-58.183583,-49.561239,-51.453109,-54.404184,-51.456323,-49.165483,-49.219341,-50.615216,-50.246224,-54.278723,-51.231697,-55.540177,-53.027995,-52.111751,-48.432280,-62.367806,-48.033807,-47.372877,-49.295863,-54.024536,-49.334361,-48.210535,-47.716829,-49.269421,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-46.489371,-54.854496,-54.502104,-53.129371,-49.542413,-50.071806,-47.087460,-45.478878,-54.899988,-50.261258,-51.246183,-50.062469,-55.226542,-54.078172,-49.928042,-46.935633,-47.467835,-49.233856,-50.156992,-50.781226,-57.573087,-50.554825,-55.177475,-55.064465,-56.080815,-53.549988,-54.350277,-54.019579,-59.093198,-52.990579,-53.905533,-60.163517,-56.042290,-58.130653,-54.485713,-57.320627,-55.260040,-51.716909,-53.515632,-51.331275,-50.070724,-48.821107,-54.892565,-54.958799,-51.523979,-56.604540,-50.056261,-50.731308,-48.275904,-49.314275,-49.460276,-49.370677,-47.777141,-50.309424,-51.180816,-64.200910,-51.195828,-48.594524,-47.638462,-59.231250,-40.091239,-52.983284,-58.063697,-48.525400,-46.510610,-44.686168,-49.407250,-48.265534,-48.614322,-50.083838,-52.215776,-55.133582,-49.158849,-51.277272,-54.023242,-50.728226,-48.886428,-49.072558,-50.622327,-50.042998,-53.531700,-51.677041,-55.386067,-52.467565,-52.171797,-48.015817,-60.929132,-47.427202,-47.544541,-49.121753,-53.401968,-48.585162,-48.433385,-48.377843,-48.984473,0,Fileset 1: TS pulse compressed wideband pings T1
