Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Variable_index,Variable_name
Ping_index,328,329,330,331,332,333,335,336,337,338,339,340,341,343,344,345,
Ping_date,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,
Ping_time,16:42:45,16:42:46,16:42:46,16:42:46,16:42:46,16:42:46,16:42:47,16:42:47,16:42:47,16:42:47,16:42:48,16:42:48,16:42:48,16:42:48,16:42:49,16:42:49,
Ping_milliseconds,915.0,116.0,316.0,516.0,717.0,915.0,316.0,516.0,716.0,915.0,116.0,315.0,515.0,917.0,115.0,315.0,
Range,16.0022179200,15.9557673600,15.9209294400,15.8744788800,15.9906052800,15.8048030400,15.9557673600,15.7931904000,15.7119019200,15.6770640000,15.6190008000,15.6073881600,15.5377123200,15.4564238400,15.7351272000,15.4331985600,
Depth,15.9827504354,15.9428189658,15.9174502324,15.8733024197,15.9868812496,15.8042923156,15.9553115536,15.7922410294,15.7074957797,15.6693662545,15.6075858567,15.5944036916,15.5193321286,15.4364306089,15.7255416308,15.4138106173,
55.000,-43.179937,-32.139228,-40.671845,-41.697482,-44.465354,-41.937679,-46.164414,-41.538682,-42.751306,-50.185615,-43.116760,-43.419270,-52.399950,-42.183954,-54.793643,-54.479835,0,Fileset 1: TS pulse compressed wideband pings T1
55.500,-42.416778,-31.930285,-39.453558,-39.992633,-42.474585,-40.685422,-48.618756,-41.575746,-44.450973,-54.245220,-41.891181,-43.625109,-51.924129,-43.186094,-53.126421,-56.494305,0,Fileset 1: TS pulse compressed wideband pings T1
56.000,-41.757336,-31.695842,-38.681735,-38.731628,-40.650178,-39.979507,-52.980912,-42.007293,-46.964994,-54.341806,-40.591698,-45.315373,-51.794550,-44.378527,-51.853182,-55.889768,0,Fileset 1: TS pulse compressed wideband pings T1
56.500,-41.164974,-31.439570,-38.287067,-37.872662,-38.984099,-39.748342,-61.977596,-42.595558,-49.842798,-50.410511,-39.748784,-46.497198,-51.857614,-45.458848,-51.141531,-52.092022,0,Fileset 1: TS pulse compressed wideband pings T1
57.000,-40.544378,-31.190471,-38.200402,-37.369076,-37.557777,-40.000110,-64.594563,-42.913678,-50.577496,-47.841903,-39.492825,-44.422334,-51.850851,-46.170866,-50.933401,-48.504712,0,Fileset 1: TS pulse compressed wideband pings T1
57.500,-39.773353,-30.994409,-38.357951,-37.207435,-36.471182,-40.832444,-56.194877,-42.498727,-48.911288,-46.682300,-39.841653,-41.880891,-51.602163,-46.596963,-51.007280,-45.872459,0,Fileset 1: TS pulse compressed wideband pings T1
58.000,-38.770982,-30.894146,-38.710363,-37.437013,-35.810572,-42.438341,-53.195287,-41.419287,-47.652764,-46.572310,-40.783352,-40.657691,-51.256091,-47.146112,-50.940686,-44.127748,0,Fileset 1: TS pulse compressed wideband pings T1
58.500,-37.571426,-30.904735,-39.232116,-38.173088,-35.620292,-45.070471,-51.776534,-40.259822,-47.470637,-47.027679,-42.177035,-40.904222,-51.140630,-48.266616,-50.336202,-43.223725,0,Fileset 1: TS pulse compressed wideband pings T1
59.000,-36.327018,-31.001097,-39.920279,-39.548989,-35.854404,-48.614026,-50.635461,-39.501774,-47.426943,-47.018605,-43.444566,-42.229895,-51.333610,-50.127976,-49.323555,-43.178749,0,Fileset 1: TS pulse compressed wideband pings T1
59.500,-35.206897,-31.141844,-40.761330,-41.624092,-36.375972,-50.489906,-49.388097,-39.361355,-45.498402,-45.979160,-43.633487,-43.090824,-51.181017,-51.557246,-48.430101,-44.022564,0,Fileset 1: TS pulse compressed wideband pings T1
60.000,-34.284325,-31.315279,-41.658363,-44.318984,-37.078247,-48.741238,-47.721989,-39.932843,-42.436689,-44.911850,-42.750777,-42.441409,-49.710197,-50.316839,-48.054682,-45.768755,0,Fileset 1: TS pulse compressed wideband pings T1
60.500,-33.524388,-31.551007,-42.367219,-47.465775,-37.957748,-46.662864,-45.445156,-41.164429,-40.000457,-44.671015,-41.703514,-41.885976,-47.366891,-48.092749,-48.323591,-48.454284,0,Fileset 1: TS pulse compressed wideband pings T1
61.000,-32.856797,-31.885488,-42.576084,-50.978190,-38.969579,-45.100094,-43.373039,-42.363130,-38.498261,-45.389130,-41.066820,-42.508381,-45.165087,-46.521005,-49.132833,-52.202391,0,Fileset 1: TS pulse compressed wideband pings T1
61.500,-32.239988,-32.325860,-42.179178,-54.990663,-39.872939,-43.750427,-42.161974,-42.005845,-37.744769,-46.536393,-41.052277,-44.590639,-43.472196,-45.639704,-50.130789,-57.004772,0,Fileset 1: TS pulse compressed wideband pings T1
62.000,-31.671407,-32.842240,-41.382662,-59.132972,-40.344354,-42.370436,-41.912690,-40.221563,-37.516167,-46.446004,-41.743754,-48.450359,-42.285932,-45.215942,-50.720346,-60.548642,0,Fileset 1: TS pulse compressed wideband pings T1
62.500,-31.167032,-33.385070,-40.463435,-58.886096,-40.344905,-40.901516,-42.450444,-38.466576,-37.624928,-44.318434,-43.186060,-55.153066,-41.514726,-45.080166,-50.485663,-59.911502,0,Fileset 1: TS pulse compressed wideband pings T1
63.000,-30.743100,-33.911175,-39.578143,-54.811496,-40.202666,-39.397058,-43.329459,-37.344762,-37.888781,-41.740029,-45.303575,-68.953723,-41.067644,-45.110934,-49.696354,-59.252547,0,Fileset 1: TS pulse compressed wideband pings T1
63.500,-30.410376,-34.406051,-38.757491,-51.101806,-40.327866,-37.948563,-43.763772,-37.027884,-38.071741,-39.647265,-47.229285,-58.599143,-40.876833,-45.150382,-48.919206,-59.771600,0,Fileset 1: TS pulse compressed wideband pings T1
64.000,-30.175425,-34.898173,-37.959613,-47.932980,-41.112034,-36.669490,-43.349815,-37.771652,-37.921483,-38.231691,-46.815013,-52.252403,-40.893835,-44.981158,-48.575280,-59.069450,0,Fileset 1: TS pulse compressed wideband pings T1
64.500,-30.039511,-35.457306,-37.133981,-45.053182,-43.118610,-35.704862,-42.654793,-40.162678,-37.413475,-37.576843,-44.827217,-48.273238,-41.064541,-44.487874,-48.941085,-55.857458,0,Fileset 1: TS pulse compressed wideband pings T1
65.000,-29.988566,-36.149765,-36.292298,-42.426739,-47.667843,-35.202944,-42.083396,-44.805208,-36.869270,-37.787362,-43.599504,-46.432360,-41.304323,-43.883950,-50.077685,-53.337704,0,Fileset 1: TS pulse compressed wideband pings T1
65.500,-29.984423,-36.958200,-35.528633,-40.228362,-55.919966,-35.220493,-41.488145,-45.258371,-36.646376,-38.899516,-43.778208,-46.815091,-41.536450,-43.611237,-51.335636,-52.674415,0,Fileset 1: TS pulse compressed wideband pings T1
