Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",137,0.020224,268,284,0.000000,20220726, 16:42:35.5160,999.00000000,999.00000000,0.00002513058880,15,-43.973199,15.988289,0.5451,-0.152173,3.301000,1.7992,0.020224,17.000000,15.941739,16.021372,15.809973,-0.156039,0.921532,1.120527,0.989355,0.941755,1.140751,1.009579
2,"Region 2","070kHz_FishTracks",137,0.020224,325,350,0.000000,20220726, 16:42:47.7160,999.00000000,999.00000000,0.00019488583091,22,-41.523954,15.830760,0.8115,-0.678925,5.002000,4.0594,0.020224,17.000000,15.812184,16.115051,15.367695,-0.684086,0.851298,1.565340,1.156319,0.871522,1.585563,1.176543
3,"Region 3","070kHz_FishTracks",137,0.020224,381,385,0.000000,20220726, 16:42:56.9160,999.00000000,999.00000000,0.00001071546253,5,-46.922797,15.825971,0.5863,-0.035117,0.799000,0.4685,0.020224,17.000000,15.776583,15.813531,15.737731,-0.036349,1.120527,1.190760,1.155644,1.140751,1.210984,1.175867
4,"Region 4","070kHz_FishTracks",137,0.020224,615,634,0.000000,20220726, 16:43:45.1160,999.00000000,999.00000000,0.00072837244783,15,-32.307579,15.864990,0.9847,0.046822,3.800000,3.7418,0.020224,17.000000,15.828666,15.914558,15.712794,0.040077,1.026882,1.237583,1.111748,1.047106,1.257807,1.131971
5,"Region 5","070kHz_FishTracks",137,0.020224,829,840,0.000000,20220726, 16:44:27.1160,999.00000000,999.00000000,0.00002824770669,6,-42.022468,13.836019,0.3951,0.117056,2.191000,0.8657,0.020224,17.000000,13.800648,13.863752,13.742168,0.111059,3.087068,3.204124,3.145108,3.107291,3.224347,3.165332
6,"Region 6","070kHz_FishTracks",137,0.020224,1347,1372,0.000000,20220726, 16:46:12.3250,999.00000000,999.00000000,0.00021037039513,24,-39.393086,15.500653,0.6812,0.573574,5.000000,3.4060,0.020224,17.000000,15.479451,15.696889,15.080752,0.581113,1.272700,1.857980,1.478223,1.292923,1.878203,1.498447
7,"Region 7","070kHz_FishTracks",137,0.020224,1655,1687,0.000000,20220726, 16:47:14.7160,999.00000000,999.00000000,0.00010987271362,22,-40.370738,13.678526,0.4071,0.198995,6.399000,2.6048,0.020224,17.000000,13.641181,13.909252,13.530495,0.196587,3.028540,3.414824,3.266021,3.048763,3.435048,3.286245
8,"Region 8","070kHz_FishTracks",137,0.020224,1981,2047,0.000000,20220726, 16:48:23.3150,999.00000000,999.00000000,0.00028270581453,61,-38.600557,15.722348,0.4061,-1.311027,13.201000,5.3613,0.020224,17.000000,15.709700,16.048147,14.663915,-1.307002,0.921532,2.279381,1.293228,0.941755,2.299605,1.313452
9,"Region 9","070kHz_FishTracks",137,0.020224,2064,2131,0.000000,20220726, 16:48:39.9150,999.00000000,999.00000000,0.00002661774468,62,-45.163608,13.146144,0.3875,-0.807686,13.500000,5.2314,0.020224,17.000000,13.128668,13.886969,12.912234,-0.800433,3.051951,4.058632,3.820561,3.072175,4.078856,3.840785
10,"Region 10","070kHz_FishTracks",137,0.020224,2365,2427,0.000000,20220726, 16:49:40.1170,999.00000000,999.00000000,0.00025082627438,61,-38.456627,12.989762,0.3058,0.152173,12.403000,3.7925,0.020224,17.000000,12.974967,13.141652,12.919111,0.145998,3.801109,4.046927,3.991093,3.821333,4.067151,4.011317
11,"Region 11","070kHz_FishTracks",137,0.020224,2476,2671,0.000000,20220726, 16:50:15.5150,999.00000000,999.00000000,0.00030373036638,184,-38.541784,13.305132,0.3866,2.153830,39.009000,15.0818,0.020224,17.000000,13.290845,15.174249,12.924098,2.144804,1.764335,4.046927,3.691548,1.784559,4.067151,3.711772
12,"Region 12","070kHz_FishTracks",137,0.020224,2709,2781,0.000000,20220726, 16:50:49.9160,999.00000000,999.00000000,0.00055031071474,63,-34.111951,15.938196,0.3656,-0.339462,14.400000,5.2652,0.020224,17.000000,15.919635,16.024408,15.449238,-0.339640,0.944943,1.483400,1.059273,0.965167,1.503624,1.079497
13,"Region 13","070kHz_FishTracks",137,0.020224,2809,2840,0.000000,20220726, 16:51:05.7280,999.00000000,999.00000000,0.00003508542978,24,-43.899751,13.206355,0.4362,-0.608691,6.200000,2.7047,0.020224,17.000000,13.173940,13.792295,12.942486,-0.603302,3.145596,4.011810,3.750629,3.165819,4.032034,3.770853
14,"Region 14","070kHz_FishTracks",137,0.020224,4066,4135,0.000000,20220726, 16:55:21.1160,999.00000000,999.00000000,0.00002402428124,54,-45.069955,13.234048,0.2936,0.163878,13.798000,4.0515,0.020224,17.000000,13.212170,13.351921,13.075855,0.166508,3.590408,3.894754,3.749187,3.610632,3.914978,3.769410
15,"Region 15","070kHz_FishTracks",137,0.020224,4168,4256,0.000000,20220726, 16:55:43.7150,999.00000000,999.00000000,0.00061281427020,73,-33.430301,13.521090,0.3390,0.035117,17.599000,5.9656,0.020224,17.000000,13.504727,13.740804,13.313109,0.035675,3.239240,3.660642,3.470262,3.259464,3.680866,3.490485
16,"Region 16","070kHz_FishTracks",137,0.020224,4297,4399,0.000000,20220726, 16:56:10.9160,999.00000000,999.00000000,0.00025276665481,78,-38.480855,14.886522,0.3741,0.702336,20.401000,7.6311,0.020224,17.000000,14.858251,15.671412,14.111397,0.701060,1.272700,2.852956,2.092149,1.292923,2.873179,2.112372
