Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",349,0.020224,0,31,0.000000,20220725, 23:46:25.1360,999.00000000,999.00000000,0.00000160402631,26,-53.716867,13.773889,0.5176,-0.561869,4.316000,2.2342,0.020224,15.500000,13.767476,14.004715,13.433913,-0.570260,1.470012,2.031880,1.718207,1.490235,2.052104,1.738431
2,"Region 2","070kHz_FishTracks",349,0.020224,1253,1268,0.000000,20220725, 23:49:01.5240,999.00000000,999.00000000,0.00000075302846,9,-54.572291,11.559930,0.3279,-0.058528,1.868000,0.6125,0.020224,15.500000,11.548496,11.585783,11.518328,-0.054928,3.881365,3.951599,3.923432,3.901589,3.971823,3.943656
3,"Region 3","070kHz_FishTracks",349,0.020224,1628,1670,0.000000,20220725, 23:49:49.9210,999.00000000,999.00000000,0.00007853635073,41,-42.287092,12.160976,0.4553,-0.304346,5.270000,2.3993,0.020224,15.500000,12.155495,12.264678,11.859140,-0.299729,3.214146,3.612136,3.325213,3.234370,3.632360,3.345437
4,"Region 4","070kHz_FishTracks",349,0.020224,2766,2797,0.000000,20220725, 23:52:12.6340,999.00000000,999.00000000,0.00000075449894,29,-54.896690,12.124983,0.2693,-0.081939,4.008000,1.0795,0.020224,15.500000,12.113910,12.162692,12.055912,-0.080385,3.307791,3.413141,3.360649,3.328015,3.433365,3.380873
5,"Region 5","070kHz_FishTracks",349,0.020224,4724,4744,0.000000,20220725, 23:56:22.0110,999.00000000,999.00000000,0.00000059565056,13,-55.059063,12.041461,0.3441,-0.058528,2.589000,0.8909,0.020224,15.500000,12.029065,12.078492,12.007950,-0.057879,3.389730,3.459964,3.436831,3.409954,3.480187,3.457055
6,"Region 6","070kHz_FishTracks",349,0.020224,5479,5504,0.000000,20220725, 23:57:59.6510,999.00000000,999.00000000,0.00000075840305,19,-55.102941,12.206476,0.4531,-0.152173,3.239000,1.4676,0.020224,15.500000,12.197476,12.293619,12.137323,-0.156296,3.179029,3.331202,3.267722,3.199253,3.351426,3.287945
7,"Region 7","070kHz_FishTracks",349,0.020224,5650,5655,0.000000,20220725, 23:58:20.4420,999.00000000,999.00000000,0.00000045299663,6,-55.700537,12.138707,0.6659,0.023411,0.641000,0.4268,0.020224,15.500000,12.129545,12.136469,12.115852,0.020617,3.331202,3.354613,3.342908,3.351426,3.374837,3.363131
8,"Region 8","070kHz_FishTracks",349,0.020224,5694,5742,0.000000,20220725, 23:58:29.0010,999.00000000,999.00000000,0.00000053567908,29,-55.858170,12.208537,0.3092,-0.046822,6.200000,1.9172,0.020224,15.500000,12.202367,12.275983,12.126851,-0.046704,3.190735,3.354613,3.260730,3.210959,3.374837,3.280953
9,"Region 9","070kHz_FishTracks",349,0.020224,5876,5891,0.000000,20220725, 23:58:50.4020,999.00000000,999.00000000,0.00000265736163,9,-52.998951,11.917601,0.2406,0.058528,1.954000,0.4701,0.020224,15.500000,11.905238,11.930825,11.856719,0.057616,3.541903,3.612136,3.569338,3.562127,3.632360,3.589562
10,"Region 10","070kHz_FishTracks",349,0.020224,6312,6328,0.000000,20220725, 23:59:46.8950,999.00000000,999.00000000,0.00000064725968,13,-55.349943,12.400733,0.5560,0.011706,2.016000,1.1210,0.020224,15.500000,12.390658,12.427170,12.358265,0.011696,3.050268,3.108796,3.081942,3.070491,3.129019,3.102165
