Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,Variable_index,Variable_name
Ping_index,301,302,305,308,309,310,311,312,313,314,315,316,317,318,319,322,326,327,328,329,4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4113,4114,4116,4117,4118,4119,4122,4123,4125,4126,4127,4128,4133,4134,4135,4281,4282,4283,4284,4285,4286,4287,4288,4289,4290,4291,4296,4298,4374,4375,4376,4381,4382,4383,4389,4390,4391,4396,4397,4398,4399,4400,4406,5598,5600,5601,5603,5604,5607,5608,5609,5610,5611,5612,5613,5618,5619,5620,5622,5623,5624,5626,5627,5628,5629,5631,5636,5637,7229,7233,7234,7237,7238,7242,7245,7246,7247,7248,7249,7251,7252,7253,7254,7255,7257,7258,7259,7260,7261,7262,7263,7264,7265,7269,7270,7271,7272,7273,7274,7280,7281,7282,7287,7288,7289,7291,7296,7299,7304,7305,7307,7309,8825,8826,8827,8828,8829,8833,8834,8835,8836,8837,8841,8842,8844,8851,8852,8858,8859,8860,8865,8867,8873,8874,8875,8928,8934,8935,8937,8941,8947,8948,8949,8950,8955,8956,8957,8958,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,
Ping_time,23:48:49,23:48:49,23:48:50,23:48:51,23:48:51,23:48:51,23:48:51,23:48:51,23:48:52,23:48:52,23:48:52,23:48:52,23:48:52,23:48:53,23:48:53,23:48:53,23:48:54,23:48:54,23:48:55,23:48:55,00:01:29,00:01:29,00:01:29,00:01:29,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:31,00:01:31,00:01:31,00:01:31,00:01:31,00:01:32,00:01:32,00:01:33,00:01:33,00:01:33,00:01:33,00:01:34,00:01:34,00:01:34,00:01:35,00:01:35,00:01:35,00:01:35,00:01:36,00:01:37,00:01:37,00:02:06,00:02:06,00:02:06,00:02:07,00:02:07,00:02:07,00:02:07,00:02:07,00:02:08,00:02:08,00:02:08,00:02:09,00:02:09,00:02:25,00:02:25,00:02:25,00:02:26,00:02:26,00:02:26,00:02:28,00:02:28,00:02:28,00:02:29,00:02:29,00:02:29,00:02:30,00:02:30,00:02:31,00:06:30,00:06:30,00:06:30,00:06:31,00:06:31,00:06:31,00:06:32,00:06:32,00:06:32,00:06:32,00:06:32,00:06:33,00:06:34,00:06:34,00:06:34,00:06:34,00:06:35,00:06:35,00:06:35,00:06:35,00:06:36,00:06:36,00:06:36,00:06:37,00:06:37,00:11:56,00:11:57,00:11:57,00:11:58,00:11:58,00:11:59,00:11:59,00:12:00,00:12:00,00:12:00,00:12:00,00:12:01,00:12:01,00:12:01,00:12:01,00:12:01,00:12:02,00:12:02,00:12:02,00:12:02,00:12:03,00:12:03,00:12:03,00:12:03,00:12:03,00:12:04,00:12:04,00:12:05,00:12:05,00:12:05,00:12:05,00:12:06,00:12:07,00:12:07,00:12:08,00:12:08,00:12:08,00:12:09,00:12:10,00:12:10,00:12:11,00:12:11,00:12:12,00:12:12,00:17:16,00:17:16,00:17:16,00:17:16,00:17:16,00:17:17,00:17:17,00:17:18,00:17:18,00:17:18,00:17:19,00:17:19,00:17:19,00:17:21,00:17:21,00:17:22,00:17:22,00:17:23,00:17:24,00:17:24,00:17:25,00:17:25,00:17:26,00:17:36,00:17:37,00:17:38,00:17:38,00:17:39,00:17:40,00:17:40,00:17:40,00:17:41,00:17:42,00:17:42,00:17:42,00:17:42,
Ping_milliseconds,764.0,973.0,563.0,164.0,365.0,565.0,765.0,963.0,164.0,362.0,564.0,765.0,964.0,164.0,364.0,965.0,764.0,964.0,164.0,365.0,264.0,465.0,665.0,864.0,064.0,263.0,464.0,664.0,865.0,064.0,264.0,464.0,664.0,864.0,064.0,865.0,064.0,465.0,664.0,864.0,064.0,664.0,864.0,263.0,464.0,675.0,863.0,864.0,064.0,264.0,464.0,664.0,872.0,064.0,264.0,464.0,663.0,864.0,077.0,264.0,464.0,464.0,864.0,164.0,364.0,564.0,565.0,765.0,974.0,164.0,374.0,563.0,564.0,763.0,964.0,164.0,364.0,564.0,173.0,563.0,763.0,174.0,364.0,963.0,165.0,364.0,564.0,764.0,964.0,164.0,164.0,364.0,565.0,964.0,164.0,363.0,764.0,964.0,164.0,364.0,764.0,765.0,965.0,664.0,465.0,664.0,264.0,464.0,264.0,864.0,064.0,263.0,462.0,664.0,064.0,264.0,464.0,665.0,864.0,264.0,464.0,664.0,864.0,063.0,264.0,464.0,664.0,875.0,664.0,876.0,064.0,263.0,464.0,664.0,863.0,063.0,264.0,265.0,464.0,664.0,065.0,064.0,664.0,663.0,863.0,274.0,665.0,164.0,364.0,564.0,764.0,964.0,764.0,975.0,164.0,364.0,565.0,364.0,564.0,965.0,365.0,564.0,765.0,964.0,165.0,164.0,565.0,765.0,964.0,163.0,764.0,975.0,164.0,565.0,365.0,564.0,764.0,964.0,164.0,164.0,363.0,564.0,764.0,
Range,8.2758592000,8.2524480000,8.2524480000,8.4280320000,8.4631488000,8.4865600000,8.5216768000,8.5684992000,8.6036160000,8.6387328000,8.6621440000,8.6738496000,8.6621440000,8.6738496000,8.6855552000,8.7206720000,8.6738496000,8.6738496000,8.6855552000,8.7206720000,11.2490816000,11.2256704000,11.2139648000,11.2139648000,11.2373760000,11.2724928000,11.2959040000,11.2959040000,11.2959040000,11.2841984000,11.2841984000,11.2959040000,11.3076096000,11.3310208000,11.3544320000,11.4012544000,11.4246656000,11.4129600000,11.4129600000,11.4597824000,11.4597824000,11.5300160000,11.5183104000,11.5183104000,11.4831936000,11.4831936000,11.4948992000,11.6002496000,11.5534272000,11.5417216000,10.5701568000,10.5818624000,10.6052736000,10.6052736000,10.6169792000,10.6052736000,10.5701568000,10.5584512000,10.5467456000,10.5701568000,10.6052736000,10.6520960000,10.6872128000,10.8276800000,10.8276800000,10.8510912000,10.8627968000,10.8627968000,10.8745024000,10.9213248000,10.9330304000,10.9447360000,10.9915584000,10.9915584000,11.0032640000,11.0149696000,11.0266752000,11.0032640000,11.2256704000,11.2607872000,11.2959040000,11.3310208000,11.3544320000,11.4480768000,11.4831936000,11.4948992000,11.5183104000,11.5066048000,11.5066048000,11.5066048000,11.6587776000,11.6470720000,11.6353664000,11.6587776000,11.6938944000,11.7407168000,11.7875392000,11.7875392000,11.7875392000,11.7875392000,11.8343616000,11.8694784000,11.8694784000,10.7457408000,10.8627968000,10.8627968000,10.9096192000,10.9564416000,11.0852032000,11.0969088000,11.1086144000,11.1320256000,11.1554368000,11.1905536000,11.2607872000,11.2724928000,11.2841984000,11.2959040000,11.3076096000,11.3895488000,11.4129600000,11.4363712000,11.4714880000,11.4831936000,11.4597824000,11.4831936000,11.5417216000,11.6353664000,11.6119552000,11.6470720000,11.6704832000,11.7056000000,11.7173056000,11.7173056000,11.7290112000,11.7641280000,11.7875392000,11.7173056000,11.7290112000,11.7524224000,11.7758336000,11.7056000000,11.7290112000,11.7056000000,11.6938944000,11.7056000000,11.7056000000,11.9045952000,11.9514176000,11.9280064000,11.8928896000,11.8343616000,11.8811840000,11.9163008000,11.9280064000,11.9163008000,11.9163008000,11.9631232000,11.9514176000,11.9163008000,11.9748288000,11.9865344000,11.9280064000,11.9748288000,11.9748288000,11.9748288000,11.9045952000,11.8928896000,11.9397120000,11.9631232000,11.8460672000,11.9514176000,11.9397120000,11.8694784000,11.9631232000,11.9748288000,11.9631232000,11.9397120000,11.9045952000,11.9045952000,11.8811840000,11.8577728000,11.8343616000,
Depth,8.2662971485,8.2454465181,8.2439954262,8.4205179485,8.4583286215,8.4834840642,8.5183093967,8.5656251498,8.6018274799,8.6367975743,8.6576369833,8.6670297170,8.6547068069,8.6681955922,8.6821481194,8.7168397345,8.6660965132,8.6694078213,8.6802073456,8.7138915109,11.2357222484,11.2174348952,11.2044125237,11.2017756542,11.2255517859,11.2618867969,11.2845817525,11.2852451382,11.2876383057,11.2780616134,11.2810916770,11.2925340869,11.3008080237,11.3213965939,11.3482471462,11.3907928821,11.4230988761,11.3985636048,11.4026144342,11.4591437439,11.4533901243,11.5180702871,11.5175354024,11.5175680658,11.4817795483,11.4779980574,11.4855088564,11.5870962180,11.5456848405,11.5297897588,10.5610212777,10.5767243458,10.5991857219,10.5983579857,10.6098991334,10.5992992809,10.5657545598,10.5565364501,10.5460603498,10.5689294077,10.5999656636,10.6410817131,10.6776581230,10.8163923025,10.8175354982,10.8378007067,10.8552492717,10.8569712546,10.8672211105,10.9138080934,10.9269831274,10.9357843334,10.9803869296,10.9872390907,11.0009371331,11.0098532010,11.0135916444,11.0009082463,11.2134249080,11.2481054226,11.2908882694,11.3230101960,11.3464979753,11.4416846940,11.4744438566,11.4823272256,11.5060132025,11.4988026218,11.5053458065,11.5058733448,11.6461336100,11.6424753657,11.6339078853,11.6579256142,11.6907440880,11.7300447216,11.7724657152,11.7770218821,11.7836105758,11.7833602037,11.8194745900,11.8573835725,11.8564470578,10.7326101437,10.8495941833,10.8491994692,10.9028113112,10.9513649596,11.0784858093,11.0925577292,11.1069810307,11.1294382922,11.1500444151,11.1839006487,11.2570763584,11.2669613799,11.2788686864,11.2946182471,11.3074750844,11.3882705681,11.4112090264,11.4294179194,11.4612346515,11.4759121621,11.4572348176,11.4831236722,11.5407961262,11.6319295736,11.6077177860,11.6457409756,11.6695374250,11.7019945560,11.7089347485,11.7036552997,11.7281504618,11.7635760531,11.7838615784,11.7120170146,11.7268544184,11.7496331083,11.7619660115,11.7025040239,11.7166998163,11.7004623096,11.6882358491,11.6933555603,11.6913035205,11.8967445744,11.9413626017,11.9186754618,11.8873590296,11.8239811389,11.8710636357,11.9099940434,11.9226272739,11.9120490039,11.9067962011,11.9539179262,11.9426042829,11.9017285537,11.9646933405,11.9771047188,11.9201272940,11.9686330119,11.9634763524,11.9666676130,11.8918925142,11.8828064529,11.9367664419,11.9562876811,11.8330695033,11.9378412943,11.9272373170,11.8553206008,11.9488706477,11.9722395660,11.9577886397,11.9313957756,11.8911052682,11.8910234896,11.8742008237,11.8499261532,11.8231369080,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14",
171.000,-51.105946,-50.630417,-40.762453,-52.020219,-50.038711,-42.261102,-47.187929,-39.344533,-43.018931,-58.436962,-51.742370,-55.370690,-47.592023,-46.716804,-57.195132,-45.502395,-48.677183,-55.697178,-49.887332,-47.477871,-62.734048,-52.456969,-57.327050,-57.230286,-48.506061,-59.070093,-55.473807,-46.868092,-49.160274,-52.730979,-71.710344,-57.997075,-51.621017,-64.167550,-51.088913,-51.606206,-56.192321,-73.231358,-55.555548,-51.249906,-49.734734,-45.545675,-60.924985,-50.010882,-54.139441,-46.735738,-42.009769,-45.177161,-57.504857,-52.151264,-55.314443,-50.030188,-52.041359,-46.445997,-58.677132,-52.168414,-53.877048,-54.494424,-53.458001,-53.593824,-54.478913,-47.259124,-53.480247,-55.362783,-59.590574,-47.055329,-48.731498,-53.194903,-59.973928,-48.101822,-58.509724,-58.799071,-43.122463,-42.891668,-56.635517,-51.540630,-55.469553,-54.492032,-52.754708,-67.158317,-54.093738,-56.623540,-49.968332,-54.976826,-55.532767,-44.164899,-47.439094,-51.681056,-51.408234,-54.204038,-57.337544,-46.124934,-45.375056,-48.707132,-57.789005,-44.755949,-77.126736,-45.425942,-55.839903,-50.905909,-45.485211,-44.058673,-53.505003,-50.771935,-51.751551,-53.924177,-48.337881,-50.289190,-54.202929,-51.976240,-51.548110,-56.027772,-50.426935,-53.601277,-64.296380,-59.506102,-46.142432,-48.336302,-54.469031,-53.066517,-45.073024,-73.144453,-42.053600,-38.218583,-43.729413,-52.726621,-47.658221,-48.457029,-43.224061,-52.384465,-50.939707,-52.330125,-45.437414,-46.950928,-59.680387,-56.803713,-64.718271,-48.218705,-55.664819,-50.777938,-68.884046,-52.800190,-47.752213,-75.303379,-59.342949,-53.688020,-46.848237,-55.020666,-56.440570,-52.104754,-52.616705,-57.503407,-61.184131,-47.208276,-52.212381,-71.201725,-49.404763,-58.218280,-65.155270,-46.914058,-57.179773,-49.183025,-67.721839,-63.631344,-46.411815,-51.092897,-55.343830,-55.251926,-53.777384,-62.301174,-53.231894,-57.562903,-63.228923,-47.470697,-60.514131,-60.058916,-58.869336,-55.529765,-58.177925,-73.363645,-51.684722,-61.363915,-61.888545,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-51.104308,-49.824350,-42.014881,-52.846159,-50.591471,-41.986803,-45.917876,-40.216437,-43.558201,-58.649680,-50.460581,-54.360443,-47.305654,-47.194472,-57.386510,-44.359291,-48.804775,-53.537190,-48.999915,-47.016583,-62.225555,-52.671599,-55.478379,-56.820706,-49.261893,-58.070081,-57.656974,-47.112694,-49.099309,-50.232223,-69.036826,-57.037933,-51.500849,-66.225751,-52.679994,-51.993459,-56.817108,-66.904726,-53.017580,-52.583318,-47.074594,-47.151890,-57.712602,-49.133333,-53.877431,-48.191038,-40.312550,-44.879742,-57.932172,-74.448569,-53.259519,-50.751699,-51.704927,-45.870389,-55.223674,-53.650293,-56.981355,-53.156655,-51.907845,-51.663855,-53.162685,-46.966919,-51.748609,-58.071173,-58.582009,-47.742199,-48.619845,-53.196684,-66.357013,-47.520068,-58.324325,-60.602783,-42.624157,-44.309573,-55.066141,-50.954884,-61.661719,-55.868929,-51.499258,-61.403981,-53.887976,-58.265269,-48.892421,-56.096883,-56.344897,-44.088992,-45.558482,-52.206259,-53.743574,-53.556300,-50.894665,-46.564667,-46.676797,-49.814883,-55.702541,-45.218354,-79.310075,-45.487957,-54.276443,-48.931213,-44.970412,-44.500462,-54.416644,-51.482022,-50.523734,-52.823262,-48.989058,-49.992905,-51.276291,-53.762129,-54.151768,-56.512123,-51.434891,-53.861194,-62.629527,-63.030403,-46.487433,-48.004150,-53.911480,-51.232407,-45.443935,-64.614284,-44.879184,-39.125965,-43.609060,-53.044717,-45.895836,-48.035876,-43.360859,-50.403008,-50.297721,-51.969178,-44.050548,-45.284171,-59.242099,-54.728146,-61.597866,-47.558386,-54.660412,-50.017873,-60.784642,-52.023574,-47.788756,-71.691740,-58.351608,-53.149275,-49.000379,-54.648902,-55.912410,-51.926125,-53.653520,-56.824545,-58.362408,-47.911043,-53.682331,-68.486054,-49.809351,-57.309075,-64.437067,-46.447707,-57.436441,-47.752275,-64.458011,-59.215697,-44.335761,-50.112006,-55.781206,-51.820345,-53.998125,-62.761454,-53.637668,-54.269565,-60.640334,-46.759854,-62.512238,-59.709454,-57.659317,-55.197277,-57.857170,-70.161608,-53.182841,-58.971173,-64.463279,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-51.418532,-49.057857,-43.148636,-52.774119,-52.736468,-42.142340,-44.456778,-41.155239,-43.966070,-58.889088,-49.784915,-54.080233,-46.778900,-47.116350,-57.609230,-43.793343,-49.401467,-52.107819,-49.476490,-46.319205,-62.300861,-52.799605,-53.638096,-56.165975,-49.903573,-57.663059,-58.429566,-47.840640,-48.858236,-47.932306,-61.523353,-56.069503,-51.440840,-69.258512,-55.885283,-52.183205,-55.295720,-63.994996,-52.132340,-54.127293,-44.840342,-49.175551,-55.926338,-48.162557,-53.709444,-50.804477,-39.052600,-44.279461,-58.301141,-50.922713,-53.039604,-50.532060,-50.880269,-45.919218,-54.132939,-53.884812,-60.690850,-52.246859,-51.170353,-50.197120,-51.926924,-47.123766,-48.927833,-59.351461,-56.370461,-48.767920,-48.317170,-53.621985,-60.547277,-46.900880,-57.927689,-62.517004,-42.380614,-46.804450,-52.836640,-50.370657,-72.465705,-57.293969,-49.545594,-57.760427,-53.804002,-57.602166,-47.719672,-55.801746,-56.265233,-44.561860,-43.777690,-51.925874,-57.687121,-52.417910,-48.497172,-47.324298,-47.818989,-50.742295,-54.923623,-45.000185,-64.564336,-45.545225,-53.087985,-47.206647,-44.292625,-45.385220,-55.335932,-52.725224,-49.518273,-52.358103,-50.419705,-49.598411,-48.523969,-54.215439,-56.364349,-58.884472,-52.299970,-54.256311,-58.689660,-64.400513,-47.144439,-47.707999,-52.876747,-49.851638,-45.591753,-58.618979,-48.969207,-40.204700,-44.286956,-53.246958,-44.565628,-48.788118,-43.557888,-48.637481,-48.965160,-50.732411,-42.473776,-44.429000,-55.651847,-52.908478,-58.270885,-46.984577,-54.006293,-49.397026,-59.228859,-51.112196,-48.018715,-62.250632,-55.888923,-51.766474,-50.660072,-54.859608,-55.195757,-52.609892,-54.038081,-56.723972,-55.513242,-49.387161,-54.310402,-63.626892,-50.600542,-57.598022,-61.335280,-46.543623,-56.240126,-47.070519,-61.177890,-55.782392,-42.724184,-49.403708,-56.547717,-50.414078,-54.582433,-62.698761,-52.505435,-52.304843,-58.811056,-45.882027,-65.448495,-59.984952,-56.068443,-55.424984,-57.490754,-66.202135,-55.098734,-56.235080,-68.036353,0,Fileset 1: TS pulse compressed wideband pings T2
