Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,Variable_index,Variable_name
Ping_index,301,302,305,308,309,310,311,312,313,314,315,316,317,318,319,322,326,327,328,329,4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4113,4114,4116,4117,4118,4119,4122,4123,4125,4126,4127,4128,4133,4134,4135,4281,4282,4283,4284,4285,4286,4287,4288,4289,4290,4291,4296,4298,4374,4375,4376,4381,4382,4383,4389,4390,4391,4396,4397,4398,4399,4400,4406,5598,5600,5601,5603,5604,5607,5608,5609,5610,5611,5612,5613,5618,5619,5620,5622,5623,5624,5626,5627,5628,5629,5631,5636,5637,7229,7233,7234,7237,7238,7242,7245,7246,7247,7248,7249,7251,7252,7253,7254,7255,7257,7258,7259,7260,7261,7262,7263,7264,7265,7269,7270,7271,7272,7273,7274,7280,7281,7282,7287,7288,7289,7291,7296,7299,7304,7305,7307,7309,8825,8826,8827,8828,8829,8833,8834,8835,8836,8837,8841,8842,8844,8851,8852,8858,8859,8860,8865,8867,8873,8874,8875,8928,8934,8935,8937,8941,8947,8948,8949,8950,8955,8956,8957,8958,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,
Ping_time,23:48:49,23:48:49,23:48:50,23:48:51,23:48:51,23:48:51,23:48:51,23:48:51,23:48:52,23:48:52,23:48:52,23:48:52,23:48:52,23:48:53,23:48:53,23:48:53,23:48:54,23:48:54,23:48:55,23:48:55,00:01:29,00:01:29,00:01:29,00:01:29,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:31,00:01:31,00:01:31,00:01:31,00:01:31,00:01:32,00:01:32,00:01:33,00:01:33,00:01:33,00:01:33,00:01:34,00:01:34,00:01:34,00:01:35,00:01:35,00:01:35,00:01:35,00:01:36,00:01:37,00:01:37,00:02:06,00:02:06,00:02:06,00:02:07,00:02:07,00:02:07,00:02:07,00:02:07,00:02:08,00:02:08,00:02:08,00:02:09,00:02:09,00:02:25,00:02:25,00:02:25,00:02:26,00:02:26,00:02:26,00:02:28,00:02:28,00:02:28,00:02:29,00:02:29,00:02:29,00:02:30,00:02:30,00:02:31,00:06:30,00:06:30,00:06:30,00:06:31,00:06:31,00:06:31,00:06:32,00:06:32,00:06:32,00:06:32,00:06:32,00:06:33,00:06:34,00:06:34,00:06:34,00:06:34,00:06:35,00:06:35,00:06:35,00:06:35,00:06:36,00:06:36,00:06:36,00:06:37,00:06:37,00:11:56,00:11:57,00:11:57,00:11:58,00:11:58,00:11:59,00:11:59,00:12:00,00:12:00,00:12:00,00:12:00,00:12:01,00:12:01,00:12:01,00:12:01,00:12:01,00:12:02,00:12:02,00:12:02,00:12:02,00:12:03,00:12:03,00:12:03,00:12:03,00:12:03,00:12:04,00:12:04,00:12:05,00:12:05,00:12:05,00:12:05,00:12:06,00:12:07,00:12:07,00:12:08,00:12:08,00:12:08,00:12:09,00:12:10,00:12:10,00:12:11,00:12:11,00:12:12,00:12:12,00:17:16,00:17:16,00:17:16,00:17:16,00:17:16,00:17:17,00:17:17,00:17:18,00:17:18,00:17:18,00:17:19,00:17:19,00:17:19,00:17:21,00:17:21,00:17:22,00:17:22,00:17:23,00:17:24,00:17:24,00:17:25,00:17:25,00:17:26,00:17:36,00:17:37,00:17:38,00:17:38,00:17:39,00:17:40,00:17:40,00:17:40,00:17:41,00:17:42,00:17:42,00:17:42,00:17:42,
Ping_milliseconds,764.0,973.0,563.0,164.0,365.0,565.0,765.0,963.0,164.0,362.0,564.0,765.0,964.0,164.0,364.0,965.0,764.0,964.0,164.0,365.0,264.0,465.0,665.0,864.0,064.0,263.0,464.0,664.0,865.0,064.0,264.0,464.0,664.0,864.0,064.0,865.0,064.0,465.0,664.0,864.0,064.0,664.0,864.0,263.0,464.0,675.0,863.0,864.0,064.0,264.0,464.0,664.0,872.0,064.0,264.0,464.0,663.0,864.0,077.0,264.0,464.0,464.0,864.0,164.0,364.0,564.0,565.0,765.0,974.0,164.0,374.0,563.0,564.0,763.0,964.0,164.0,364.0,564.0,173.0,563.0,763.0,174.0,364.0,963.0,165.0,364.0,564.0,764.0,964.0,164.0,164.0,364.0,565.0,964.0,164.0,363.0,764.0,964.0,164.0,364.0,764.0,765.0,965.0,664.0,465.0,664.0,264.0,464.0,264.0,864.0,064.0,263.0,462.0,664.0,064.0,264.0,464.0,665.0,864.0,264.0,464.0,664.0,864.0,063.0,264.0,464.0,664.0,875.0,664.0,876.0,064.0,263.0,464.0,664.0,863.0,063.0,264.0,265.0,464.0,664.0,065.0,064.0,664.0,663.0,863.0,274.0,665.0,164.0,364.0,564.0,764.0,964.0,764.0,975.0,164.0,364.0,565.0,364.0,564.0,965.0,365.0,564.0,765.0,964.0,165.0,164.0,565.0,765.0,964.0,163.0,764.0,975.0,164.0,565.0,365.0,564.0,764.0,964.0,164.0,164.0,363.0,564.0,764.0,
Range,8.2758592000,8.2524480000,8.2524480000,8.4280320000,8.4631488000,8.4865600000,8.5216768000,8.5684992000,8.6036160000,8.6387328000,8.6621440000,8.6738496000,8.6621440000,8.6738496000,8.6855552000,8.7206720000,8.6738496000,8.6738496000,8.6855552000,8.7206720000,11.2490816000,11.2256704000,11.2139648000,11.2139648000,11.2373760000,11.2724928000,11.2959040000,11.2959040000,11.2959040000,11.2841984000,11.2841984000,11.2959040000,11.3076096000,11.3310208000,11.3544320000,11.4012544000,11.4246656000,11.4129600000,11.4129600000,11.4597824000,11.4597824000,11.5300160000,11.5183104000,11.5183104000,11.4831936000,11.4831936000,11.4948992000,11.6002496000,11.5534272000,11.5417216000,10.5701568000,10.5818624000,10.6052736000,10.6052736000,10.6169792000,10.6052736000,10.5701568000,10.5584512000,10.5467456000,10.5701568000,10.6052736000,10.6520960000,10.6872128000,10.8276800000,10.8276800000,10.8510912000,10.8627968000,10.8627968000,10.8745024000,10.9213248000,10.9330304000,10.9447360000,10.9915584000,10.9915584000,11.0032640000,11.0149696000,11.0266752000,11.0032640000,11.2256704000,11.2607872000,11.2959040000,11.3310208000,11.3544320000,11.4480768000,11.4831936000,11.4948992000,11.5183104000,11.5066048000,11.5066048000,11.5066048000,11.6587776000,11.6470720000,11.6353664000,11.6587776000,11.6938944000,11.7407168000,11.7875392000,11.7875392000,11.7875392000,11.7875392000,11.8343616000,11.8694784000,11.8694784000,10.7457408000,10.8627968000,10.8627968000,10.9096192000,10.9564416000,11.0852032000,11.0969088000,11.1086144000,11.1320256000,11.1554368000,11.1905536000,11.2607872000,11.2724928000,11.2841984000,11.2959040000,11.3076096000,11.3895488000,11.4129600000,11.4363712000,11.4714880000,11.4831936000,11.4597824000,11.4831936000,11.5417216000,11.6353664000,11.6119552000,11.6470720000,11.6704832000,11.7056000000,11.7173056000,11.7173056000,11.7290112000,11.7641280000,11.7875392000,11.7173056000,11.7290112000,11.7524224000,11.7758336000,11.7056000000,11.7290112000,11.7056000000,11.6938944000,11.7056000000,11.7056000000,11.9045952000,11.9514176000,11.9280064000,11.8928896000,11.8343616000,11.8811840000,11.9163008000,11.9280064000,11.9163008000,11.9163008000,11.9631232000,11.9514176000,11.9163008000,11.9748288000,11.9865344000,11.9280064000,11.9748288000,11.9748288000,11.9748288000,11.9045952000,11.8928896000,11.9397120000,11.9631232000,11.8460672000,11.9514176000,11.9397120000,11.8694784000,11.9631232000,11.9748288000,11.9631232000,11.9397120000,11.9045952000,11.9045952000,11.8811840000,11.8577728000,11.8343616000,
Depth,8.2662971485,8.2454465181,8.2439954262,8.4205179485,8.4583286215,8.4834840642,8.5183093967,8.5656251498,8.6018274799,8.6367975743,8.6576369833,8.6670297170,8.6547068069,8.6681955922,8.6821481194,8.7168397345,8.6660965132,8.6694078213,8.6802073456,8.7138915109,11.2357222484,11.2174348952,11.2044125237,11.2017756542,11.2255517859,11.2618867969,11.2845817525,11.2852451382,11.2876383057,11.2780616134,11.2810916770,11.2925340869,11.3008080237,11.3213965939,11.3482471462,11.3907928821,11.4230988761,11.3985636048,11.4026144342,11.4591437439,11.4533901243,11.5180702871,11.5175354024,11.5175680658,11.4817795483,11.4779980574,11.4855088564,11.5870962180,11.5456848405,11.5297897588,10.5610212777,10.5767243458,10.5991857219,10.5983579857,10.6098991334,10.5992992809,10.5657545598,10.5565364501,10.5460603498,10.5689294077,10.5999656636,10.6410817131,10.6776581230,10.8163923025,10.8175354982,10.8378007067,10.8552492717,10.8569712546,10.8672211105,10.9138080934,10.9269831274,10.9357843334,10.9803869296,10.9872390907,11.0009371331,11.0098532010,11.0135916444,11.0009082463,11.2134249080,11.2481054226,11.2908882694,11.3230101960,11.3464979753,11.4416846940,11.4744438566,11.4823272256,11.5060132025,11.4988026218,11.5053458065,11.5058733448,11.6461336100,11.6424753657,11.6339078853,11.6579256142,11.6907440880,11.7300447216,11.7724657152,11.7770218821,11.7836105758,11.7833602037,11.8194745900,11.8573835725,11.8564470578,10.7326101437,10.8495941833,10.8491994692,10.9028113112,10.9513649596,11.0784858093,11.0925577292,11.1069810307,11.1294382922,11.1500444151,11.1839006487,11.2570763584,11.2669613799,11.2788686864,11.2946182471,11.3074750844,11.3882705681,11.4112090264,11.4294179194,11.4612346515,11.4759121621,11.4572348176,11.4831236722,11.5407961262,11.6319295736,11.6077177860,11.6457409756,11.6695374250,11.7019945560,11.7089347485,11.7036552997,11.7281504618,11.7635760531,11.7838615784,11.7120170146,11.7268544184,11.7496331083,11.7619660115,11.7025040239,11.7166998163,11.7004623096,11.6882358491,11.6933555603,11.6913035205,11.8967445744,11.9413626017,11.9186754618,11.8873590296,11.8239811389,11.8710636357,11.9099940434,11.9226272739,11.9120490039,11.9067962011,11.9539179262,11.9426042829,11.9017285537,11.9646933405,11.9771047188,11.9201272940,11.9686330119,11.9634763524,11.9666676130,11.8918925142,11.8828064529,11.9367664419,11.9562876811,11.8330695033,11.9378412943,11.9272373170,11.8553206008,11.9488706477,11.9722395660,11.9577886397,11.9313957756,11.8911052682,11.8910234896,11.8742008237,11.8499261532,11.8231369080,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14",
45.000,-50.221823,-49.384066,-49.823639,-44.088695,-40.533092,-41.161494,-43.093080,-44.692616,-43.305464,-45.240848,-49.494577,-48.749820,-50.088952,-49.124786,-51.306220,-52.895789,-54.260139,-55.698250,-54.173027,-50.737293,-59.420764,-59.001889,-61.451322,-60.564517,-63.113321,-64.058800,-63.593038,-56.623162,-53.066766,-55.465014,-59.447862,-57.579806,-60.019986,-61.358847,-58.417076,-58.660322,-62.541375,-60.251677,-62.895832,-68.585656,-61.467791,-60.841571,-55.748071,-66.581102,-59.837841,-55.780361,-58.340035,-58.070726,-58.526873,-58.900829,-58.565279,-64.447763,-58.105163,-53.054586,-53.397319,-52.695481,-60.649216,-57.585546,-56.486490,-63.212280,-60.394361,-49.756242,-49.560854,-61.258989,-75.644631,-65.165333,-59.734449,-60.014321,-53.905805,-59.726819,-52.902478,-55.095829,-54.313537,-53.223185,-59.535956,-66.207982,-58.539997,-52.085528,-57.048570,-54.287378,-52.961546,-56.457861,-54.685810,-54.389560,-56.951255,-60.247684,-58.787579,-51.414439,-57.171187,-55.614631,-58.417687,-54.895470,-53.289356,-55.622111,-54.654422,-52.208863,-53.815762,-50.214760,-49.342548,-51.431569,-50.665886,-53.773014,-50.126184,-64.975503,-58.123407,-68.562718,-54.750298,-54.576450,-54.148952,-67.075270,-59.173000,-51.514536,-48.598685,-48.812122,-48.116505,-51.226859,-47.839849,-52.185892,-51.774147,-47.831960,-57.136508,-62.502389,-49.703803,-47.626598,-51.475383,-52.960694,-49.230642,-49.346762,-49.079760,-57.608192,-64.038530,-63.931545,-56.485220,-64.691905,-62.139870,-59.174264,-56.587575,-53.826595,-56.738554,-55.528629,-59.188552,-55.288202,-55.045769,-53.670581,-53.746534,-54.101197,-55.322245,-57.303716,-59.140452,-63.052058,-56.624052,-63.700098,-57.322586,-54.090713,-55.587421,-59.255299,-55.539211,-57.048390,-57.762021,-61.068670,-58.255879,-59.907272,-64.433255,-56.187982,-59.696510,-54.451427,-61.264508,-62.844816,-51.294426,-56.895538,-57.176751,-55.557036,-57.481352,-63.001797,-58.401169,-60.133958,-54.978104,-59.507307,-61.073175,-58.425214,-56.813105,-61.258374,-57.632972,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-49.526514,-48.646281,-49.048743,-43.435262,-39.945510,-40.483936,-42.065540,-44.542503,-43.140888,-44.714254,-49.959721,-49.305607,-50.540293,-49.429954,-50.972142,-52.674548,-53.317300,-54.974483,-53.245012,-50.578819,-59.914795,-58.756516,-60.698534,-59.275222,-62.385168,-63.351814,-64.025692,-56.678552,-52.764208,-55.258387,-60.789214,-57.540421,-59.480571,-60.326558,-57.642261,-59.422657,-60.809452,-59.579501,-62.022537,-67.062352,-60.919911,-61.676131,-54.960553,-67.228825,-59.327158,-55.323032,-58.016910,-57.905122,-59.006114,-59.007460,-57.372244,-63.867465,-56.264701,-52.873915,-53.347899,-52.766828,-61.173249,-55.975464,-56.078007,-64.551855,-62.152212,-49.209666,-48.981617,-61.199379,-73.622505,-67.501286,-60.296532,-58.161707,-53.328375,-59.378211,-52.242525,-54.509204,-54.589892,-53.224495,-60.139403,-63.824058,-58.136962,-51.730901,-57.412505,-53.189362,-53.022387,-55.612804,-53.325937,-53.815861,-56.422731,-60.742292,-57.686001,-50.666336,-56.216326,-55.381527,-57.933264,-54.494066,-52.671007,-54.995957,-53.714927,-52.449813,-52.970386,-49.364327,-48.350809,-50.991920,-49.680726,-53.635153,-49.699974,-64.994982,-58.207079,-67.936378,-54.416360,-55.136000,-53.306694,-67.188250,-59.447460,-51.373165,-48.779696,-48.924950,-47.324980,-51.067074,-47.785623,-52.120071,-51.722783,-47.934499,-56.758770,-63.414412,-49.359340,-47.523643,-51.268714,-52.885074,-48.861754,-49.361696,-49.200131,-57.883794,-62.885552,-64.517828,-56.264306,-68.808060,-61.897794,-57.413477,-55.901652,-53.165053,-56.101261,-54.851688,-58.472089,-54.980305,-55.046787,-53.470632,-52.938964,-53.706452,-55.013966,-57.225981,-58.497336,-62.372924,-56.137992,-62.873738,-56.898578,-53.642893,-55.091703,-59.132965,-55.974027,-55.503167,-56.680674,-60.601029,-58.121666,-58.436803,-63.353165,-55.377358,-60.593191,-54.135468,-60.709693,-61.859684,-51.092822,-55.507170,-56.740528,-55.203924,-56.632483,-61.287130,-57.171379,-58.755597,-54.273657,-58.134342,-59.601409,-57.063513,-55.972916,-60.030734,-56.742779,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-48.895826,-47.931860,-48.098734,-42.916626,-39.499974,-39.662071,-41.261157,-44.742395,-43.140510,-44.355211,-50.423456,-50.126862,-51.210482,-49.887998,-50.828418,-52.370481,-52.603281,-54.085943,-52.311979,-50.359564,-60.817166,-58.330468,-60.544990,-57.959934,-61.474077,-62.520766,-65.630194,-56.920575,-52.712160,-55.172730,-61.683686,-58.167641,-58.843937,-59.265027,-57.269751,-60.681526,-59.753312,-58.829937,-60.774557,-66.189806,-60.589086,-62.101790,-54.398255,-66.772332,-58.503210,-55.159982,-57.717619,-58.183587,-59.361090,-58.879689,-56.492703,-63.515197,-54.676469,-52.598415,-53.176158,-52.994361,-60.839242,-55.090318,-55.750774,-66.649105,-65.334644,-48.900141,-48.676994,-60.675447,-71.218793,-71.076179,-60.916145,-56.669337,-52.837224,-58.827476,-51.928300,-53.931084,-55.080004,-53.242273,-60.019140,-62.471304,-57.884847,-51.289733,-57.429294,-52.118070,-53.386593,-54.747195,-52.260091,-53.093996,-55.789192,-60.829862,-56.744201,-50.103207,-55.227200,-54.828931,-57.397212,-54.480807,-51.848372,-54.306411,-52.664528,-52.599755,-52.114877,-48.553258,-47.530491,-50.685063,-48.943378,-53.721448,-49.529038,-64.378334,-58.397943,-68.002105,-54.344663,-56.174413,-52.577444,-66.305090,-60.022322,-51.278940,-49.126736,-49.050672,-46.799743,-50.969299,-47.792434,-52.491703,-51.838078,-48.081282,-56.561581,-63.673866,-49.198608,-47.627482,-51.100329,-53.082160,-48.547206,-49.452222,-49.291496,-58.399010,-63.303122,-66.740907,-55.983955,-71.572662,-62.432830,-56.116209,-55.538175,-52.443515,-55.477505,-54.344173,-57.450464,-54.429958,-54.938185,-53.329441,-52.382085,-53.451889,-54.862996,-56.735790,-57.799064,-61.706921,-55.625902,-62.293153,-56.653864,-53.184998,-54.703840,-58.702114,-56.231826,-54.492816,-55.970481,-60.135611,-58.009957,-57.239134,-62.361963,-54.836985,-60.801995,-53.945775,-59.836382,-61.159331,-50.932118,-54.761368,-56.369519,-54.825647,-56.080472,-59.839642,-56.233199,-58.007773,-53.892838,-57.006401,-58.605100,-56.086008,-55.367327,-59.327957,-55.933186,0,Fileset 1: TS pulse compressed wideband pings T1
